symbol,direction,entry,exit,exit_type,pnl_pct,bar,slack,tier,rvol,cluster,score,strategy
AAPL,short,277.28,277.53,tp,0.0005,30,0.6913580246912185,expanded,1.8165393704832686,53,95,boof22
AAPL,long,276.735,277.265,tp,0.0005,30,0.7839999999999593,expanded,1.6435518731988472,2,85,boof22
AAPL,short,277.925,277.77,tp,0.0005,30,0.7336244541484747,expanded,1.4660420356369777,117,95,boof22
AAPL,short,277.845,278.06,sl,-0.0003,30,0.9911504424783871,expanded,1.6484913998664676,20,85,boof22
AAPL,long,278.22,278.46,sl,-0.0003,30,1.0421836228286039,expanded,1.2964688984980213,87,85,boof22
AAPL,short,278.795,278.6,tp,0.0005,30,0.6511627906975638,expanded,2.1141701612769555,9,95,boof22
AAPL,short,278.05,278.05,tp,0.0005,30,0.8558951965065229,expanded,1.6924889009694664,35,85,boof22
AAPL,short,277.83,277.755,tp,0.0005,30,0.610909090909114,expanded,1.111503175723359,20,85,boof22
AAPL,short,277.795,277.67,sl,-0.0003,30,0.8409893992930377,expanded,1.460418691095031,76,85,boof22
AAPL,long,277.78,277.965,sl,-0.0003,30,0.7711864406778975,expanded,0.9359044819868256,76,80,boof22
AAPL,long,277.12,278.08,tp,0.0005,30,0.6921348314607353,expanded,2.617850201216944,39,95,boof22
AAPL,long,278.485,278.87,tp,0.0005,30,1.063291139240519,expanded,1.2448200211261884,67,85,boof22
AAPL,short,278.695,278.135,sl,-0.0003,30,0.7296416938108908,expanded,1.4208499792114824,10,95,boof22
AAPL,short,278.175,278.6,sl,-0.0003,30,0.9364548494985022,expanded,1.5674882270197543,8,85,boof22
AAPL,long,278.12,279.38,sl,-0.0003,30,1.1061728395063581,expanded,1.7540954766068861,33,85,boof22
AAPL,short,278.955,279.55,tp,0.0005,30,0.9841827768013407,expanded,1.702840365305692,81,85,boof22
AAPL,short,279.0,279.225,sl,-0.0003,30,0.6682188591384788,expanded,0.8634447014728706,34,80,boof22
AAPL,long,279.02,278.55,tp,0.0005,30,0.8169761273210109,expanded,1.2435884587702595,34,85,boof22
AAPL,short,279.02,277.6,sl,-0.0003,30,1.0909090909090373,expanded,1.4500346303432843,34,85,boof22
AAPL,short,279.235,274.89,tp,0.0005,30,0.6819484240689914,expanded,2.123376969937252,9,95,boof22
AAPL,short,276.1,276.03,tp,0.0005,30,0.6125000000000659,expanded,0.8718077295032056,33,80,boof22
AAPL,long,276.34,277.46,tp,0.0005,30,0.8169014084505786,expanded,1.4792796399940813,11,85,boof22
AAPL,long,276.52,278.02,sl,-0.0003,30,1.096196868009013,expanded,1.2821841701563084,65,85,boof22
AAPL,short,278.14,277.55,tp,0.0005,30,0.6726726726725536,expanded,1.6910878436270167,33,95,boof22
AAPL,short,278.15,277.64,tp,0.0005,30,0.7874999999998259,expanded,1.5732455325137409,8,95,boof22
AAPL,short,278.08,277.6,tp,0.0005,30,0.9361702127660839,expanded,2.0015203467684546,33,85,boof22
AAPL,long,278.065,277.74,sl,-0.0003,30,0.6712328767122204,expanded,1.7993145468392993,35,95,boof22
AAPL,short,277.79,277.89,tp,0.0005,30,0.6153846153848749,expanded,1.9256871394638617,76,95,boof22
AAPL,short,277.97,278.1,tp,0.0005,30,1.000000000000406,expanded,1.8312582357360132,34,85,boof22
AAPL,short,278.08,277.58,sl,-0.0003,30,1.1618257261412488,expanded,2.4186582205585947,33,85,boof22
AAPL,long,277.83,278.63,tp,0.0005,30,0.62601626016267,expanded,2.079524361139412,20,95,boof22
AAPL,short,278.29,277.63,tp,0.0005,30,1.0671506352085651,expanded,2.6685108597409,29,85,boof22
AAPL,long,274.75,274.075,sl,-0.0003,30,1.0857927247769392,expanded,1.512791837523644,166,85,boof22
AAPL,long,273.88,275.14,tp,0.0005,30,0.6240713224369691,expanded,2.4038136693231484,50,95,boof22
AAPL,short,275.01,275.14,tp,0.0005,30,1.0140845070423328,expanded,1.4644549763033174,7,85,boof22
AAPL,long,274.86,274.91,sl,-0.0003,30,0.705426356589158,expanded,1.4405594405594406,4,90,boof22
AAPL,short,274.61,273.83,tp,0.0005,30,1.0024691358023265,expanded,1.4296103811204812,84,85,boof22
AAPL,long,274.61,273.92,sl,-0.0003,30,0.8387096774193193,expanded,1.617367512666131,84,85,boof22
AAPL,long,273.97,273.81,tp,0.0005,30,0.7950617283950666,expanded,1.1975152047354214,218,85,boof22
AAPL,long,272.98,273.605,tp,0.0005,30,0.9949238578683136,expanded,1.254577328938195,110,85,boof22
AAPL,short,273.17,273.51,sl,-0.0003,30,0.7586206896548635,expanded,0.8287255744041229,5,80,boof22
AAPL,short,274.51,273.465,tp,0.0005,30,0.8100628930815971,expanded,2.7927356222565702,6,85,boof22
AAPL,short,272.8,273.665,tp,0.0005,30,1.0071942446042288,expanded,1.4753914150872725,28,85,boof22
AAPL,long,272.765,272.25,sl,-0.0003,30,0.7713498622591537,expanded,0.8659476117103235,28,80,boof22
AAPL,long,272.51,272.155,sl,-0.0003,30,0.8139534883718293,expanded,1.2606548643553805,161,85,boof22
AAPL,long,271.93,272.95,tp,0.0005,30,0.6970954356846665,expanded,1.3758782201405153,8,95,boof22
AAPL,long,272.125,273.42,tp,0.0005,30,0.8549618320609342,expanded,1.215759774688543,14,85,boof22
AAPL,short,272.445,273.755,tp,0.0005,30,0.7291666666664551,expanded,0.992261607588617,6,80,boof22
AAPL,long,273.16,273.96,sl,-0.0003,30,0.9479166666666818,expanded,1.2478398352759494,5,85,boof22
