date,attn_growth,price_growth,attn_4wk,fwd_1wk,fwd_2wk,fwd_1mo,fwd_3mo,sym
2024-06-10,105.7,8.7,43.8,1.55,5.75,6.42,2.2,ADBE
2024-06-17,141.0,12.2,49.0,4.14,8.42,3.29,-2.09,ADBE
2024-06-24,114.0,24.9,48.8,4.1,0.63,-2.36,-7.21,ADBE
2024-07-01,90.2,24.3,47.5,-3.34,-4.73,-9.02,-12.3,ADBE
2024-07-15,107.9,76.2,18.8,-6.04,-24.38,-22.86,-17.6,AEHR
2024-07-22,100.0,60.1,19.5,-19.52,-25.67,-18.4,-5.15,AEHR
2024-07-29,123.1,27.5,20.8,-7.64,2.02,5.7,-16.12,AEHR
2024-10-07,57.6,23.8,12.0,-2.12,5.87,-25.09,2.31,AEHR
2024-10-14,70.6,27.4,13.5,8.16,-23.02,-31.25,-20.54,AEHR
2024-10-21,68.6,28.2,13.8,-28.83,-29.25,-28.3,-26.83,AEHR
2024-12-30,54.5,47.6,11.8,-5.1,-27.85,-34.39,-57.96,AEHR
2025-01-06,68.8,42.2,12.5,-23.98,-24.28,-34.23,-48.02,AEHR
2025-06-30,91.7,37.6,10.5,-9.55,-3.4,7.95,98.85,AEHR
2025-07-07,139.3,24.6,15.8,6.8,54.08,28.99,66.48,AEHR
2025-07-14,125.0,35.2,17.0,44.26,11.75,21.5,64.3,AEHR
2025-07-21,155.6,73.6,22.0,-22.54,-16.28,-16.74,14.86,AEHR
2025-07-28,102.2,7.9,22.2,8.08,8.73,48.16,54.33,AEHR
2026-01-12,65.7,32.1,13.5,-2.67,-11.0,0.1,191.08,AEHR
2026-01-19,83.3,30.7,15.5,-8.56,-5.88,19.83,242.05,AEHR
2026-01-26,97.1,15.7,16.2,2.93,12.48,45.98,262.99,AEHR
2025-09-29,50.0,13.1,36.5,-2.44,10.42,16.61,27.75,AEIS
2024-09-09,53.5,54.7,54.2,2.09,-6.48,6.98,60.65,AFRM
2025-02-17,51.4,23.0,52.0,-6.42,-24.19,-27.21,-28.08,AFRM
2025-02-24,55.6,5.0,54.2,-18.99,-21.93,-27.98,-19.1,AFRM
2025-01-27,70.5,9.2,39.5,5.97,6.55,9.22,18.23,AGI
2025-02-03,77.5,13.7,44.2,0.54,2.3,7.17,22.08,AGI
2025-02-10,86.7,14.1,48.0,1.75,2.51,12.78,9.98,AGI
2025-02-17,67.5,10.1,49.2,0.75,4.76,15.19,15.76,AGI
2026-02-09,83.2,16.3,56.2,5.72,19.76,1.33,-11.02,AGI
2026-02-16,76.6,10.2,61.2,13.27,4.29,-19.94,-19.79,AGI
2025-05-26,52.6,27.3,35.2,0.03,-1.09,0.33,100.84,ALAB
2025-07-28,51.5,44.4,50.5,36.75,41.76,38.98,42.4,ALAB
2025-08-04,89.3,86.9,65.2,3.66,-0.11,6.65,-7.69,ALAB
2025-08-11,90.0,82.0,70.2,-3.64,-1.96,23.49,-22.34,ALAB
2024-05-13,68.1,13.6,18.8,3.24,1.65,-5.5,-15.82,ALGM
2024-07-08,65.5,12.2,21.8,-8.4,-23.16,-27.39,-32.39,ALGM
2025-02-17,100.0,9.3,26.0,-16.2,4.13,-0.15,-4.47,ALGM
2025-03-24,103.3,11.5,44.8,-14.24,-10.58,-23.09,37.49,ALGM
2025-05-26,83.3,29.7,32.0,13.65,13.02,34.83,21.7,ALGM
2025-07-07,56.6,28.3,28.8,-0.38,-8.32,-16.29,-29.49,ALGM
2025-07-14,333.3,18.3,38.0,-7.97,-14.64,-16.17,-20.66,ALGM
2026-01-12,114.3,24.9,14.0,-1.08,10.67,27.08,19.94,ALGM
2026-01-19,214.3,22.8,21.0,11.88,26.01,18.01,33.77,ALGM
2026-02-02,369.4,32.9,41.2,1.95,-6.35,-23.19,17.75,ALGM
2026-02-09,205.0,27.1,44.8,-8.14,-13.95,-26.55,1.7,ALGM
2026-02-16,126.1,18.0,48.8,-6.32,-17.98,-23.07,18.03,ALGM
2024-02-26,58.9,25.2,43.5,-2.23,-5.52,-1.91,2.48,AMAT
2024-03-04,52.5,10.8,44.8,-3.36,2.28,1.11,8.06,AMAT
2026-01-26,64.4,19.9,41.8,0.06,10.11,15.65,20.86,AMAT
2026-02-02,53.5,7.1,42.8,10.05,16.39,0.82,35.18,AMAT
2026-02-09,53.1,8.5,48.8,5.77,5.03,-3.65,23.18,AMAT
2024-11-11,63.4,7.2,49.2,-2.71,2.61,12.26,12.87,AMZN
2025-10-27,53.7,11.3,56.2,0.08,-3.9,-4.5,-2.01,AMZN
2025-11-03,69.1,13.0,63.2,-3.98,-9.71,-6.09,-13.95,AMZN
2025-11-10,69.7,10.2,64.8,-5.97,-0.63,-3.62,-15.3,AMZN
2024-12-02,87.9,41.1,14.5,-16.59,-24.93,-14.62,-31.96,APLD
2024-12-09,94.3,23.1,16.0,-10.0,-5.73,-6.85,-21.35,APLD
2025-06-02,122.1,157.1,36.8,-19.34,-25.47,-24.6,0.22,APLD
2025-06-09,186.8,63.7,47.8,-7.6,-7.16,-17.89,67.08,APLD
2025-06-16,189.0,40.4,51.8,0.48,1.16,15.49,98.26,APLD
2025-06-23,213.5,52.0,57.0,0.67,-11.56,3.56,109.15,APLD
2025-10-06,85.2,82.0,61.5,0.74,-1.65,-8.86,10.86,APLD
2025-10-13,109.4,67.2,71.2,-2.37,1.23,-30.93,9.23,APLD
2025-10-20,87.0,54.0,74.8,3.68,-7.33,-36.91,12.74,APLD
2025-10-27,68.3,30.6,77.2,-10.62,-31.77,-21.81,-2.25,APLD
2026-01-26,50.3,20.5,64.0,3.16,4.13,-19.51,-0.97,APLD
2024-03-11,73.5,31.5,13.8,-5.28,-6.57,-35.95,-52.32,ARQQ
2024-03-18,117.6,33.6,17.5,-1.36,-22.59,-35.78,-59.18,ARQQ
2024-12-02,356.2,178.9,35.5,3.77,33.54,73.64,-44.79,ARQQ
2024-12-09,418.2,199.2,41.8,28.69,80.13,-7.51,-36.71,ARQQ
2024-12-16,253.7,136.1,58.2,39.97,30.03,-12.23,-41.87,ARQQ
2024-12-23,177.5,113.7,69.8,-7.1,-48.65,-34.67,-64.72,ARQQ
2024-12-30,97.9,73.6,71.2,-44.73,-32.5,-48.31,-69.69,ARQQ
2025-05-19,76.3,65.7,41.8,-14.14,1.75,65.99,22.7,ARQQ
2025-05-26,101.0,27.6,48.2,18.51,10.3,80.38,39.15,ARQQ
2025-06-02,112.4,61.3,50.5,-6.93,63.13,37.3,9.0,ARQQ
2025-06-09,89.5,28.7,53.0,75.27,63.54,45.84,41.76,ARQQ
2025-09-29,58.8,79.2,39.5,-2.8,-16.89,-12.6,-50.84,ARQQ
2025-10-06,90.8,43.9,45.8,-14.49,-11.97,-30.26,-44.62,ARQQ
2025-10-20,75.5,17.2,61.8,2.15,-20.77,-42.94,-43.34,ARQQ
2024-07-01,108.9,44.9,28.2,1.24,-7.05,-11.82,-4.48,ARQT
2024-07-08,253.7,23.1,35.2,-8.19,-5.18,-8.57,-7.82,ARQT
2024-07-15,164.9,14.8,36.8,3.28,-5.13,-12.92,-10.56,ARQT
2024-07-22,81.7,8.3,36.2,-8.14,-3.57,-2.38,-13.11,ARQT
2024-11-04,233.3,10.5,24.0,-14.42,-6.28,14.6,7.3,ARQT
2024-11-11,72.7,6.2,22.8,9.5,40.82,37.04,38.01,ARQT
2024-12-23,50.0,9.7,26.0,2.24,-3.43,-3.15,10.0,ARQT
2025-07-14,76.7,6.2,25.5,1.3,-2.59,15.13,42.33,ARQT
2025-07-21,98.2,8.2,27.2,-3.84,-0.61,7.57,35.33,ARQT
2025-09-29,73.7,16.2,32.0,0.65,4.82,27.06,45.58,ARQT
2025-10-06,95.5,16.0,31.8,4.14,0.3,20.85,40.75,ARQT
2025-10-13,53.4,20.1,32.8,-3.69,21.22,19.73,23.8,ARQT
2024-03-25,50.3,10.4,66.2,3.97,-0.52,11.19,-4.23,ASR
2024-04-01,55.9,12.7,68.8,-4.32,-6.98,2.81,-7.46,ASR
2024-06-10,166.7,125.1,17.0,-1.37,13.6,27.3,191.88,ASTS
2024-06-17,135.1,112.7,20.8,15.18,23.02,27.38,162.9,ASTS
2024-08-12,190.6,141.7,45.5,5.9,-6.41,-3.87,-21.91,ASTS
2024-08-19,219.5,74.4,60.5,-11.63,-20.54,-19.35,-26.66,ASTS
2024-08-26,170.8,56.9,64.0,-10.09,2.72,-12.81,-18.01,ASTS
2024-09-02,133.9,23.1,66.2,14.25,1.49,0.0,-3.03,ASTS
2025-02-10,81.7,54.5,26.2,-10.78,-15.55,-12.31,-16.95,ASTS
2025-02-17,65.7,40.7,26.8,-5.34,16.62,-10.23,-15.87,ASTS
2025-06-16,58.8,90.7,30.8,7.44,-0.74,26.21,-1.83,ASTS
2025-06-23,102.5,114.0,39.0,-7.62,-7.66,10.08,-0.55,ASTS
2025-06-30,78.7,46.2,38.8,-0.04,27.15,15.04,48.6,ASTS
2025-10-13,78.4,85.1,44.5,-11.73,-3.88,-26.46,38.66,ASTS
2025-10-20,78.7,50.1,47.2,8.89,-6.12,-30.3,54.1,ASTS
2025-10-27,50.8,18.4,46.5,-13.78,-23.49,-29.97,38.58,ASTS
2026-01-05,50.8,27.3,43.5,18.53,16.28,4.22,-2.84,ASTS
2026-01-12,83.2,52.7,53.5,-1.9,-3.94,-28.73,-26.12,ASTS
2026-01-19,54.1,57.8,56.0,-2.08,-10.37,-29.38,-32.73,ASTS
