sym,mktcap_B,float_M,sector,industry,beta,atr_pct,avg_gap_pct,price,avg_1mo,avg_3mo,wr_1mo,N,bucket
HIMS,6.98,210.9,Healthcare,Drug Manufacturers - Specialty & Generic,2.398,7.68,1.42,30.17,-11.209999999999999,11.936666666666667,33.33333333333333,3,C_bot
QUBT,2.5,200.4,Technology,Computer Hardware,3.743,9.51,2.22,11.1,0.21846153846153873,-8.033846153846154,53.84615384615385,13,B_mid
HDB,126.98,25557.5,Financial Services,Banks - Regional,0.432,2.47,0.94,24.74,0.71,-11.695,50.0,2,B_mid
ELF,3.8,21.9,Consumer Defensive,Household & Personal Products,2.389,5.52,0.98,63.99,2.4375,-32.4875,50.0,8,B_mid
VNET,2.66,59.1,Technology,Information Technology Services,0.246,7.79,1.84,9.34,-28.3275,-51.5425,25.0,4,C_bot
CTM,0.07,74.4,Technology,Information Technology Services,-4.262,9.97,3.32,0.72,-19.912499999999998,-18.817500000000003,0.0,4,C_bot
FNV,42.88,193.0,Basic Materials,Gold,0.889,4.25,1.36,222.35,2.092857142857143,1.01,71.42857142857143,7,B_mid
NAK,1.23,518.8,Basic Materials,Other Industrial Metals & Mining,,7.6,1.53,2.2,-16.006666666666664,-0.31,0.0,3,C_bot
PPTA,3.25,83.9,Basic Materials,Other Precious Metals & Mining,0.657,6.57,2.43,26.01,0.01888888888888898,21.656666666666666,55.55555555555556,9,B_mid
ONDS,4.92,491.4,Technology,Communication Equipment,2.622,13.53,2.09,9.51,34.847142857142856,37.787142857142854,71.42857142857143,7,A_top
TEM,9.39,114.1,Healthcare,Health Information Services,3.622,8.3,1.58,52.32,-26.05666666666667,-12.790000000000001,0.0,3,C_bot
BABA,270.02,2209.8,Consumer Cyclical,Internet Retail,0.46,3.29,1.62,112.55,-11.434999999999999,-17.035,0.0,2,C_bot
TNGX,5.36,69.6,Healthcare,Biotechnology,1.194,8.22,3.5,32.9,17.044,75.70599999999999,80.0,5,A_top
HYMC,2.54,53.1,Basic Materials,Gold,2.663,9.34,2.72,27.84,21.41846153846154,56.94230769230769,76.92307692307693,13,A_top
MSTR,46.33,329.9,Technology,Software - Application,3.471,8.35,2.48,131.14,13.293846153846154,7.65,46.15384615384615,13,A_top
SMCI,18.55,509.4,Technology,Computer Hardware,1.869,14.83,3.09,30.85,-11.929999999999998,-6.55,14.285714285714285,7,C_bot
DKNG,14.28,481.4,Consumer Cyclical,Gambling,1.654,4.91,0.93,28.79,-21.27,-27.02,0.0,2,C_bot
ALAB,66.71,153.8,Technology,Semiconductors,3.963,8.8,2.5,389.2,17.362499999999997,28.302500000000002,100.0,4,A_top
CDE,19.23,1024.7,Basic Materials,Gold,1.269,6.52,2.27,18.66,19.215,-13.54,100.0,2,A_top
CPNG,30.75,1340.9,Consumer Cyclical,Internet Retail,1.122,5.28,1.11,17.13,0.8499999999999999,9.222,40.0,5,B_mid
BMNR,9.75,529.6,Financial Services,Capital Markets,1.614,7.56,2.21,17.11,1.8449999999999998,-34.432500000000005,50.0,4,B_mid
