symbol,date,direction,entry_price,exit_price,entry_time,exit_time,pnl_pct,exit_type,shares,dollar_pnl,month
AVGO,2026-01-14,short,349.42,350.31,2026-01-14 10:46:00+00:00,2026-01-14 10:56:00+00:00,-0.0025470780149962403,sl,2,-2.54707801499624,2026-01
AMD,2026-01-23,long,257.09,258.25,2026-01-23 10:32:00+00:00,2026-01-23 10:36:00+00:00,0.004512038585709382,tp,3,4.512038585709383,2026-01
GOOGL,2026-01-28,long,337.24,336.2,2026-01-28 09:51:00+00:00,2026-01-28 09:52:00+00:00,-0.0030838571936900143,sl,2,-3.0838571936900143,2026-01
AVGO,2026-01-30,long,328.8,330.6,2026-01-30 10:44:00+00:00,2026-01-30 10:46:00+00:00,0.00547445255474456,tp,3,5.47445255474456,2026-01
AMD,2026-02-09,short,205.51,204.61,2026-02-09 10:33:00+00:00,2026-02-09 10:36:00+00:00,0.004379348936791287,tp,4,4.379348936791287,2026-02
MSFT,2026-03-04,long,405.29,404.45,2026-03-04 10:09:00+00:00,2026-03-04 10:13:00+00:00,-0.0020725899972859727,sl,2,-2.0725899972859727,2026-03
TSLA,2026-03-04,long,396.9,399.88,2026-03-04 10:11:00+00:00,2026-03-04 11:05:00+00:00,0.007508188460569459,tp,2,7.5081884605694595,2026-03
COIN,2026-03-05,long,211.36,212.21,2026-03-05 10:26:00+00:00,2026-03-05 10:32:00+00:00,0.004021574564723667,tp,4,4.021574564723667,2026-03
AVGO,2026-03-09,short,325.0,325.8,2026-03-09 10:03:00+00:00,2026-03-09 10:21:00+00:00,-0.0024615384615384963,sl,3,-2.4615384615384963,2026-03
META,2026-03-10,long,655.77,653.57,2026-03-10 10:30:00+00:00,2026-03-10 10:37:00+00:00,-0.0033548347743872576,sl,1,-3.3548347743872577,2026-03
AMD,2026-03-20,short,203.06,202.15,2026-03-20 09:42:00+00:00,2026-03-20 09:51:00+00:00,0.0044814340588988305,tp,4,4.481434058898831,2026-03
COIN,2026-03-23,short,190.72,191.57,2026-03-23 09:35:00+00:00,2026-03-23 09:39:00+00:00,-0.004456795302013393,sl,5,-4.456795302013393,2026-03
AVGO,2026-03-27,short,305.7,306.42,2026-03-27 11:00:00+00:00,2026-03-27 11:40:00+00:00,-0.0023552502453386566,sl,3,-2.355250245338657,2026-03
AVGO,2026-04-15,short,390.0,390.82,2026-04-15 10:26:00+00:00,2026-04-15 10:46:00+00:00,-0.002102564102564085,sl,2,-2.1025641025640853,2026-04
COIN,2026-04-16,short,195.9,195.01,2026-04-16 10:34:00+00:00,2026-04-16 10:47:00+00:00,0.00454313425216955,tp,5,4.5431342521695495,2026-04
META,2026-04-23,short,661.88,658.29,2026-04-23 10:35:00+00:00,2026-04-23 10:36:00+00:00,0.005423943917326451,tp,1,5.423943917326452,2026-04
AMD,2026-04-28,short,321.0,322.2,2026-04-28 09:40:00+00:00,2026-04-28 09:41:00+00:00,-0.0037383177570093104,sl,3,-3.7383177570093102,2026-04
AMD,2026-05-04,short,358.71,360.3,2026-05-04 09:57:00+00:00,2026-05-04 09:58:00+00:00,-0.004432549970728532,sl,2,-4.432549970728532,2026-05
AMD,2026-05-04,short,355.37,356.95,2026-05-04 09:59:00+00:00,2026-05-04 10:00:00+00:00,-0.0044460702929340805,sl,2,-4.44607029293408,2026-05
NVDA,2026-05-04,short,197.73,196.8,2026-05-04 10:06:00+00:00,2026-05-04 10:20:00+00:00,0.0047033834016081445,tp,5,4.703383401608145,2026-05
COIN,2026-05-05,long,209.13,211.92,2026-05-05 10:55:00+00:00,2026-05-05 10:56:00+00:00,0.013340984076889936,tp,4,13.340984076889935,2026-05
AAPL,2026-05-08,long,290.11,289.49,2026-05-08 10:37:00+00:00,2026-05-08 10:41:00+00:00,-0.0021371204026059236,sl,3,-2.1371204026059236,2026-05
COIN,2026-05-08,short,186.06,186.4611,2026-05-08 11:00:00+00:00,2026-05-08 11:01:00+00:00,-0.0021557562076748647,sl,5,-2.1557562076748646,2026-05
AMD,2026-05-11,long,464.5,466.54,2026-05-11 09:45:00+00:00,2026-05-11 09:47:00+00:00,0.004391819160387557,tp,2,4.391819160387557,2026-05
AAPL,2026-05-14,long,301.08,300.32,2026-05-14 10:06:00+00:00,2026-05-14 10:10:00+00:00,-0.0025242460475620797,sl,3,-2.52424604756208,2026-05
AVGO,2026-06-02,short,488.0,489.0914,2026-06-02 11:00:00+00:00,2026-06-02 11:06:00+00:00,-0.0022364754098361094,sl,2,-2.2364754098361095,2026-06
META,2026-06-09,long,593.7841,592.1315,2026-06-09 10:31:00+00:00,2026-06-09 10:32:00+00:00,-0.002783166474144402,sl,1,-2.783166474144402,2026-06
