pnl,gross,costs,result
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-29.25,-25.0,4.25,loss
-29.25,-25.0,4.25,loss
195.5,200.0,4.5,win
-54.5,-50.0,4.5,loss
-29.25,-25.0,4.25,loss
-29.25,-25.0,4.25,loss
-29.25,-25.0,4.25,loss
95.75,100.0,4.25,win
-29.25,-25.0,4.25,loss
-29.25,-25.0,4.25,loss
195.5,200.0,4.5,win
-29.25,-25.0,4.25,loss
-29.25,-25.0,4.25,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
195.5,200.0,4.5,win
-29.25,-25.0,4.25,loss
95.75,100.0,4.25,win
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
95.75,100.0,4.25,win
-29.25,-25.0,4.25,loss
195.5,200.0,4.5,win
95.75,100.0,4.25,win
-54.5,-50.0,4.5,loss
-29.25,-25.0,4.25,loss
-29.25,-25.0,4.25,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-29.25,-25.0,4.25,loss
95.75,100.0,4.25,win
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-29.25,-25.0,4.25,loss
95.75,100.0,4.25,win
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
195.5,200.0,4.5,win
95.75,100.0,4.25,win
-54.5,-50.0,4.5,loss
195.5,200.0,4.5,win
95.75,100.0,4.25,win
195.5,200.0,4.5,win
195.5,200.0,4.5,win
-29.25,-25.0,4.25,loss
-29.25,-25.0,4.25,loss
-29.25,-25.0,4.25,loss
195.5,200.0,4.5,win
-29.25,-25.0,4.25,loss
95.75,100.0,4.25,win
-29.25,-25.0,4.25,loss
-54.5,-50.0,4.5,loss
-29.25,-25.0,4.25,loss
95.75,100.0,4.25,win
-29.25,-25.0,4.25,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
195.5,200.0,4.5,win
-54.5,-50.0,4.5,loss
-29.25,-25.0,4.25,loss
95.75,100.0,4.25,win
-54.5,-50.0,4.5,loss
-29.25,-25.0,4.25,loss
195.5,200.0,4.5,win
95.75,100.0,4.25,win
-54.5,-50.0,4.5,loss
-29.25,-25.0,4.25,loss
195.5,200.0,4.5,win
-54.5,-50.0,4.5,loss
95.75,100.0,4.25,win
-29.25,-25.0,4.25,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-29.25,-25.0,4.25,loss
195.5,200.0,4.5,win
-54.5,-50.0,4.5,loss
195.5,200.0,4.5,win
195.5,200.0,4.5,win
-29.25,-25.0,4.25,loss
195.5,200.0,4.5,win
-54.5,-50.0,4.5,loss
195.5,200.0,4.5,win
95.75,100.0,4.25,win
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-29.25,-25.0,4.25,loss
-54.5,-50.0,4.5,loss
95.75,100.0,4.25,win
-29.25,-25.0,4.25,loss
-29.25,-25.0,4.25,loss
-54.5,-50.0,4.5,loss
195.5,200.0,4.5,win
-29.25,-25.0,4.25,loss
-29.25,-25.0,4.25,loss
95.75,100.0,4.25,win
-29.25,-25.0,4.25,loss
-29.25,-25.0,4.25,loss
195.5,200.0,4.5,win
95.75,100.0,4.25,win
95.75,100.0,4.25,win
-29.25,-25.0,4.25,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
195.5,200.0,4.5,win
95.75,100.0,4.25,win
95.75,100.0,4.25,win
195.5,200.0,4.5,win
-29.25,-25.0,4.25,loss
95.75,100.0,4.25,win
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
95.75,100.0,4.25,win
-29.25,-25.0,4.25,loss
-54.5,-50.0,4.5,loss
95.75,100.0,4.25,win
-29.25,-25.0,4.25,loss
-29.25,-25.0,4.25,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
95.75,100.0,4.25,win
-29.25,-25.0,4.25,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
195.5,200.0,4.5,win
-29.25,-25.0,4.25,loss
-54.5,-50.0,4.5,loss
95.75,100.0,4.25,win
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
95.75,100.0,4.25,win
-54.5,-50.0,4.5,loss
195.5,200.0,4.5,win
195.5,200.0,4.5,win
-54.5,-50.0,4.5,loss
95.75,100.0,4.25,win
-29.25,-25.0,4.25,loss
95.75,100.0,4.25,win
-29.25,-25.0,4.25,loss
-29.25,-25.0,4.25,loss
-29.25,-25.0,4.25,loss
195.5,200.0,4.5,win
95.75,100.0,4.25,win
-29.25,-25.0,4.25,loss
-29.25,-25.0,4.25,loss
-29.25,-25.0,4.25,loss
-29.25,-25.0,4.25,loss
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
195.5,200.0,4.5,win
195.5,200.0,4.5,win
95.75,100.0,4.25,win
-29.25,-25.0,4.25,loss
195.5,200.0,4.5,win
-29.25,-25.0,4.25,loss
195.5,200.0,4.5,win
95.75,100.0,4.25,win
-54.5,-50.0,4.5,loss
-54.5,-50.0,4.5,loss
-29.25,-25.0,4.25,loss
95.75,100.0,4.25,win
-29.25,-25.0,4.25,loss
-29.25,-25.0,4.25,loss
-54.5,-50.0,4.5,loss
195.5,200.0,4.5,win
-29.25,-25.0,4.25,loss
-29.25,-25.0,4.25,loss
-54.5,-50.0,4.5,loss
95.75,100.0,4.25,win
-54.5,-50.0,4.5,loss
195.5,200.0,4.5,win
195.5,200.0,4.5,win
95.75,100.0,4.25,win
-54.5,-50.0,4.5,loss
-29.25,-25.0,4.25,loss
-54.5,-50.0,4.5,loss
95.75,100.0,4.25,win
95.75,100.0,4.25,win
-29.25,-25.0,4.25,loss
-54.5,-50.0,4.5,loss
95.75,100.0,4.25,win
-29.25,-25.0,4.25,loss
-29.25,-25.0,4.25,loss
-29.25,-25.0,4.25,loss
