symbol,baseline_trades,baseline_wr,baseline_avg,breakout_trades,breakout_wr,breakout_avg
AAPL,1462,51.02599179206566,0.025712274582440433,614,49.34853420195439,0.008922221505558624
MSFT,1400,47.42857142857143,-0.0026636618535553457,518,49.80694980694981,0.024592472002774073
AMZN,1385,51.55234657039711,0.033704969560011525,581,50.4302925989673,0.0249927850449643
META,1418,48.73060648801128,0.00989267273869057,554,46.3898916967509,-0.00403872257664625
GOOGL,1417,48.4121383203952,0.02038419122508806,524,48.282442748091604,0.01813257324087959
NFLX,1450,48.3448275862069,0.008882533244272042,578,48.44290657439446,0.0063009366421805865
TSLA,1496,48.596256684491976,0.017498762899332655,679,51.39911634756995,0.05081597244404315
NVDA,1430,49.93006993006993,0.02010327507395199,616,48.05194805194805,-0.001218514029916522
AMD,1439,52.119527449617784,0.0534877323042839,563,49.37833037300178,0.04349245885642414
CRM,1306,50.76569678407351,0.03166887170630724,431,50.81206496519721,0.02591012674875628
COIN,1185,49.62025316455696,0.05717031819546022,470,48.93617021276596,0.06380780454078062
SHOP,1146,46.8586387434555,0.02032627215384611,422,49.28909952606635,0.038666667102402186
PLTR,1397,48.24624194702935,0.030135575352686808,610,52.131147540983605,0.06702950510157098
RIVN,1433,46.545708304256806,0.026498029140120012,532,44.17293233082707,0.006593954661730397
SNOW,1084,46.77121771217712,0.014582726263862285,379,45.91029023746702,-0.0010928679588185146
UBER,1445,50.24221453287198,0.02966207213807144,536,50.0,0.007162938408472172
LYFT,1409,44.712562100780694,0.004658193214077558,480,42.916666666666664,0.007611886405377975
DKNG,1449,48.24016563146998,0.03729000446645909,554,47.65342960288809,0.03486068027079536
MAR,966,44.927536231884055,-0.005504567427191688,329,43.76899696048632,-0.021040327371237445
ABNB,901,44.83906770255272,-0.0037901147736730196,289,43.25259515570934,-0.011445754754154684
QQQ,1539,50.94217024041585,0.011351674182013778,642,49.37694704049844,-0.0023041415657481827
IWM,1441,51.28383067314365,0.015109561604607807,534,49.62546816479401,0.007462868148514792
XLF,1513,48.90945142101785,0.01004903300042112,468,51.06837606837607,0.032112035509476014
XLK,1302,50.76804915514593,0.027184909254852507,442,49.547511312217196,0.020833089460835976
XLE,1362,48.825256975036716,0.015477703437660695,403,45.40942928039702,-0.01243252422227572
BA,1133,51.809355692850836,0.033141454121835584,404,50.0,0.01667141742424679
DIS,1331,46.35612321562735,-0.0008770061648430324,443,40.63205417607224,-0.03370540073492604
NKE,1464,49.04371584699454,0.023323045443441045,566,47.17314487632509,0.007404831561587049
INTC,1475,44.813559322033896,-0.002372995847593592,679,44.62444771723123,0.001905100022026954
PYPL,1464,48.224043715846996,0.032703304155431254,533,45.96622889305816,0.020164279887151575
BABA,1147,50.30514385353095,0.03228048624613121,430,52.093023255813954,0.04346028883276701
TGT,1151,53.171155516941795,0.05464512295570182,413,53.510895883777245,0.03365863631330851
WMT,1395,49.03225806451613,0.009510106668061215,495,47.878787878787875,0.020711915531831784
COST,870,48.62068965517241,0.017755433434107744,316,46.835443037974684,0.022381214710264063
GME,1187,47.51474304970514,0.030957567099590716,453,45.253863134657834,0.004161010016444695
AMC,540,40.74074074074074,0.043839254631554976,274,40.87591240875913,0.05954196942412467
RIOT,1409,43.15117104329312,0.0233010646431682,560,45.357142857142854,0.04831200077999824
MARA,1551,43.06898774983882,0.022980231503388633,614,44.951140065146575,0.039773182254529534
F,1375,45.163636363636364,0.013417809828580535,506,46.24505928853755,0.023201392783153373
GM,1352,50.665680473372774,0.01882527102724833,512,50.9765625,0.029036107176274327
PFE,1541,48.92926670992862,0.008289739164975206,537,48.78957169459962,0.005313957401223021
KO,1506,48.27357237715803,-7.743685281113605e-05,483,47.4120082815735,-0.003102410736856146
PEP,1092,49.45054945054945,0.009742437053815669,334,51.49700598802395,0.028901095366980416
JPM,1369,48.42951059167275,0.0057454830711630815,447,46.5324384787472,-0.00021709857746878155
V,1446,44.60580912863071,-0.01828882897243519,486,42.38683127572017,-0.02242862998663507
MA,1170,47.69230769230769,0.005582533975702931,357,47.05882352941176,-0.0033138467428907932
HD,1231,50.69049553208773,0.043702109750228986,402,48.00995024875622,0.01871479900863139
LOW,1074,49.34823091247672,0.028706164973224174,327,49.54128440366973,0.01110854344367102
SBUX,1258,48.171701112877585,-0.008114236473209299,433,54.50346420323326,0.028480016391716458
NIO,1079,40.407784986098235,-0.011549990542319345,437,42.10526315789473,0.014855596412363363
