direction,entry,pnl_pct,win,exit_type,timestamp,vol_z,body_atr_ratio
long,180.75,0.8,True,tp,2026-03-09 19:20:00+00:00,2.372858316089904,2.1453831041257163
long,181.985,0.8,True,tp,2026-03-09 19:30:00+00:00,2.4682498853750023,2.1045214327657056
long,182.33,0.8,True,tp,2026-03-09 20:00:00+00:00,2.4347269744385165,0.7267759562841449
long,184.63,0.8,True,tp,2026-03-10 20:00:00+00:00,3.0090792628551606,1.8533210332102976
long,185.98,-0.5,False,sl,2026-03-11 20:00:00+00:00,3.940268820415819,1.0240856378233603
long,184.33,-0.5,False,sl,2026-03-12 13:40:00+00:00,2.3000059853882324,0.6675496688741964
short,182.365,-0.5,False,sl,2026-03-12 14:00:00+00:00,1.8707232736428967,1.4762618690654377
short,182.975,-0.5,False,sl,2026-03-12 19:20:00+00:00,2.030977300153719,0.5941921072226259
short,180.21,-0.5,False,sl,2026-03-13 20:00:00+00:00,4.043083753009473,0.5718954248366009
long,184.47,-0.5,False,sl,2026-03-16 13:40:00+00:00,2.4350660018221912,2.1224489795918355
long,185.405,-0.5,False,sl,2026-03-16 18:20:00+00:00,2.367242726814598,0.8358208955224469
long,187.63,-0.5,False,sl,2026-03-16 19:10:00+00:00,3.700872827092143,5.087771203155786
short,181.785,-0.5,False,sl,2026-03-16 19:30:00+00:00,1.883984516561526,2.0083682008367885
short,181.97,-0.5,False,sl,2026-03-18 12:30:00+00:00,3.3692521377708005,1.116953762465993
short,181.53,-0.5,False,sl,2026-03-18 13:40:00+00:00,2.5757354097456746,1.7418856259660196
short,181.66,0.8,True,tp,2026-03-18 18:40:00+00:00,2.2252701208949803,1.4423548650858353
short,181.21,0.8,True,tp,2026-03-18 19:00:00+00:00,1.9941844678883358,1.172248803827762
short,178.32,0.8,True,tp,2026-03-19 12:20:00+00:00,3.2593144658063533,0.8456375838926254
short,176.59,-0.5,False,sl,2026-03-19 13:40:00+00:00,3.305191780006648,1.815899581589945
short,175.43,0.8,True,tp,2026-03-23 20:00:00+00:00,4.00606162902678,2.203602192639053
short,175.255,-0.5,False,sl,2026-03-24 19:40:00+00:00,2.946073188799853,0.5852842809364587
short,178.315,0.8,True,tp,2026-03-25 19:00:00+00:00,2.8131970786457203,1.152512998266882
short,175.46,0.8,True,tp,2026-03-26 13:40:00+00:00,2.11070117430351,1.307496823379892
short,175.225,0.8,True,tp,2026-03-26 14:10:00+00:00,2.095825042282165,0.7444384156267091
short,173.76,-0.5,False,sl,2026-03-26 14:50:00+00:00,2.1359854641541673,1.3617866004962613
short,171.86,0.8,True,tp,2026-03-26 19:50:00+00:00,2.1346478427365936,0.41000000000002834
short,172.37,0.8,True,tp,2026-03-26 20:10:00+00:00,3.836730362246983,1.1973063973064364
short,167.725,-0.5,False,sl,2026-03-27 18:50:00+00:00,2.0725531736662557,0.539291217257323
short,164.78,-0.5,False,sl,2026-03-30 19:10:00+00:00,1.9074428533894956,0.9847094801223424
short,175.69,0.8,True,tp,2026-04-01 20:00:00+00:00,3.724004777521753,0.7005388760584876
short,171.51,-0.5,False,sl,2026-04-02 13:40:00+00:00,2.8746348303668325,0.7228549734244272
short,176.555,-0.5,False,sl,2026-04-06 13:40:00+00:00,2.965120374883295,1.1261992619926566
long,177.63,-0.5,False,sl,2026-04-06 20:00:00+00:00,3.3717441113672786,0.9414694894147337
short,174.89,-0.5,False,sl,2026-04-07 14:10:00+00:00,1.8765099513231551,0.7233584499462045
short,176.225,-0.5,False,sl,2026-04-07 19:30:00+00:00,2.486417113318728,0.5154639175257781
long,177.87,0.8,True,tp,2026-04-07 20:00:00+00:00,3.120329438849888,2.0864120225423237
long,183.73,0.8,True,tp,2026-04-09 20:00:00+00:00,3.79543526387295,0.7171824973319372
long,185.26,0.8,True,tp,2026-04-10 13:40:00+00:00,3.5113215129951763,1.7191097467383167
long,189.245,-0.5,False,sl,2026-04-10 19:10:00+00:00,1.9419557762363802,1.3229491173415795
long,186.28,0.8,True,tp,2026-04-13 13:40:00+00:00,2.4602452414414078,0.4830560690080113
long,189.33,0.8,True,tp,2026-04-13 20:00:00+00:00,4.119344935660414,1.3442622950819796
long,204.44,-0.5,False,sl,2026-05-06 14:00:00+00:00,2.036666797529191,1.3119383825417228
long,207.62,-0.5,False,sl,2026-05-06 19:30:00+00:00,2.4607864463852223,0.7255900046274917
long,207.67,-0.5,False,sl,2026-05-06 20:00:00+00:00,3.739683779323498,0.3470562195661815
long,215.79,0.8,True,tp,2026-05-08 13:40:00+00:00,3.1732384784126446,3.857715430861705
