symbol,date,time,window,direction,entry,mfe,bar1_body_pct,bar2_body_pct,bar1_rvol,bar2_rvol,bar1_close_vs_vwap,bar2_close_vs_vwap,vwap_slope,is_runner
TSLA,2025-01-02,14:33:00,2:30-4PM,short,381.85,-2.21,0.86,0.17,3.4,2.4,-2.78,-2.75,-1.098,1
TSLA,2025-01-02,14:35:00,2:30-4PM,short,375.78,-0.63,1.31,0.24,3.6,2.8,-3.68,-3.62,-1.513,0
TSLA,2025-01-03,14:37:00,2:30-4PM,long,386.88,0.79,0.44,0.25,3.1,1.6,0.91,1.12,0.21,0
TSLA,2025-01-07,14:31:00,2:30-4PM,long,409.01,1.3,0.5,0.26,6.5,3.8,0.51,0.75,0.055,0
TSLA,2025-01-08,14:31:00,2:30-4PM,long,396.63,0.69,0.57,0.27,7.0,5.0,0.79,0.97,0.108,0
TSLA,2025-01-10,14:31:00,2:30-4PM,long,395.87,0.86,1.12,0.5,6.2,5.6,0.29,0.75,-0.223,0
TSLA,2025-01-10,14:32:00,2:30-4PM,long,397.86,0.36,0.5,0.53,5.6,4.6,0.75,1.13,-0.148,0
TSLA,2025-01-14,14:37:00,2:30-4PM,long,419.87,0.66,0.4,0.18,3.0,1.5,1.16,1.33,0.386,0
TSLA,2025-01-15,14:39:00,2:30-4PM,long,412.5,1.28,0.87,0.31,2.5,2.7,0.84,1.06,0.343,0
TSLA,2025-01-17,14:32:00,2:30-4PM,long,424.43,0.65,0.54,0.29,2.6,3.7,0.71,0.88,0.54,0
TSLA,2025-01-21,14:30:00,2:30-4PM,short,421.96,-2.95,1.09,1.39,16.2,6.3,-1.03,-2.06,-0.519,1
TSLA,2025-01-21,14:33:00,2:30-4PM,short,418.15,-2.51,0.91,0.17,3.5,2.6,-2.32,-2.26,-1.362,1
TSLA,2025-01-21,14:35:00,2:30-4PM,short,416.52,-2.13,0.48,0.89,2.1,2.2,-1.64,-2.33,-1.708,1
TSLA,2025-01-21,14:36:00,2:30-4PM,short,415.37,-1.86,0.89,0.27,2.2,2.1,-2.33,-2.4,-1.878,0
TSLA,2025-01-22,14:30:00,2:30-4PM,long,422.44,1.32,0.57,0.77,15.2,5.5,0.19,0.86,-0.059,0
TSLA,2025-01-22,14:31:00,2:30-4PM,long,425.88,0.5,0.77,0.8,5.5,5.1,0.86,1.48,0.041,0
TSLA,2025-01-27,14:30:00,2:30-4PM,long,400.11,1.35,0.41,0.95,15.5,5.2,1.15,1.93,0.303,0
TSLA,2025-01-28,14:30:00,2:30-4PM,short,392.32,-1.48,0.53,0.62,17.0,7.7,-0.55,-1.01,-0.181,0
TSLA,2025-01-29,14:32:00,2:30-4PM,long,398.58,-0.02,0.43,0.5,5.8,4.0,0.15,0.63,-0.101,0
TSLA,2025-01-30,14:34:00,2:30-4PM,short,403.37,-4.68,0.98,0.11,2.5,2.0,-0.52,-0.58,0.784,1
TSLA,2025-01-31,14:30:00,2:30-4PM,long,406.0,2.18,0.43,0.75,15.3,7.5,0.51,1.0,0.288,1
TSLA,2025-02-06,14:31:00,2:30-4PM,short,371.04,-1.49,0.71,0.33,5.5,4.1,-0.31,-0.6,0.042,0
TSLA,2025-02-07,14:30:00,2:30-4PM,long,374.42,1.64,0.44,0.7,15.8,6.9,0.25,0.84,0.042,0
TSLA,2025-02-07,14:31:00,2:30-4PM,long,376.76,1.01,0.7,0.59,6.9,6.1,0.84,1.25,0.15,0
TSLA,2025-02-10,14:35:00,2:30-4PM,short,351.9,-0.39,0.56,0.34,2.8,2.4,-0.89,-1.1,-0.354,0
TSLA,2025-02-12,14:30:00,2:30-4PM,long,334.58,1.05,0.85,0.56,14.0,5.5,0.78,1.25,0.07,0
TSLA,2025-02-12,14:35:00,2:30-4PM,long,334.64,1.03,0.44,0.68,2.5,2.4,0.49,1.14,0.234,0
TSLA,2025-02-12,14:36:00,2:30-4PM,long,336.13,0.59,0.68,0.42,2.4,2.8,1.14,1.5,0.281,0
TSLA,2025-02-13,14:31:00,2:30-4PM,long,347.69,0.9,0.42,0.65,5.8,4.5,0.2,0.77,-0.012,0
TSLA,2025-02-13,14:32:00,2:30-4PM,long,348.33,0.71,0.65,0.14,4.5,3.5,0.77,0.87,0.052,0
TSLA,2025-02-14,14:40:00,2:30-4PM,short,354.06,-0.69,0.48,0.29,2.2,1.6,-1.26,-1.45,-0.421,0
TSLA,2025-02-18,14:31:00,2:30-4PM,long,358.39,0.2,1.14,0.17,5.4,3.2,0.23,0.35,-0.336,0
TSLA,2025-02-18,14:34:00,2:30-4PM,short,353.15,-0.17,0.93,0.46,2.8,2.6,-0.61,-1.04,-0.313,0
TSLA,2025-02-19,14:30:00,2:30-4PM,long,357.4,2.27,0.51,0.56,17.0,7.4,0.35,0.69,0.112,1
TSLA,2025-02-20,10:02:00,9:30-11AM,long,362.45,0.12,0.62,0.02,12.3,3.8,0.6,0.66,0.069,0
TSLA,2025-02-21,14:32:00,2:30-4PM,long,354.52,0.03,0.48,0.11,3.8,3.1,0.14,0.21,-0.249,0
TSLA,2025-02-25,14:30:00,2:30-4PM,short,321.93,-2.93,0.48,1.08,16.4,8.8,-1.01,-1.69,-0.347,1
TSLA,2025-02-25,14:36:00,2:30-4PM,short,319.69,-3.03,0.75,0.39,3.2,3.3,-1.51,-1.7,-1.193,1
TSLA,2025-02-26,14:35:00,2:30-4PM,long,308.5,0.16,0.6,0.47,2.8,2.8,0.48,0.88,-0.512,0
TSLA,2025-02-26,15:22:00,2:30-4PM,short,300.59,-2.12,0.66,0.4,2.4,2.7,-1.35,-1.69,-0.062,1
TSLA,2025-02-27,14:31:00,2:30-4PM,long,294.84,0.81,0.69,0.38,4.4,3.0,0.07,0.43,-0.349,0
TSLA,2025-02-28,14:30:00,2:30-4PM,short,274.68,-0.39,0.85,0.88,16.4,8.1,-0.92,-1.5,-0.283,0
TSLA,2025-03-03,14:35:00,2:30-4PM,long,303.47,0.15,0.58,0.52,2.5,2.6,0.46,0.96,-0.124,0
TSLA,2025-03-03,14:37:00,2:30-4PM,short,297.82,-2.06,0.98,0.87,2.2,2.1,-0.08,-0.89,-0.045,1
TSLA,2025-03-04,10:18:00,9:30-11AM,short,280.99,-0.52,0.5,0.18,5.1,3.1,-0.73,-0.89,-0.028,0
TSLA,2025-03-05,14:36:00,2:30-4PM,short,268.31,-0.22,1.23,0.77,3.7,2.6,-1.24,-1.9,-0.611,0
TSLA,2025-03-06,14:35:00,2:30-4PM,short,265.5,-0.41,0.51,0.24,3.1,2.4,-1.53,-1.61,-1.116,0
TSLA,2025-03-07,14:30:00,2:30-4PM,long,262.59,1.39,1.17,0.15,15.9,5.1,0.57,0.61,0.03,0
TSLA,2025-03-12,14:31:00,2:30-4PM,short,244.04,-0.52,0.48,0.42,2.1,1.8,-0.57,-1.0,-0.005,0
TSLA,2025-03-19,15:25:00,2:30-4PM,long,235.2,0.8,0.42,0.21,2.6,2.3,1.2,1.41,0.042,0
TSLA,2025-04-02,15:20:00,2:30-4PM,long,272.23,3.45,1.03,0.22,3.7,3.3,3.95,4.06,0.23,1
TSLA,2025-04-02,15:22:00,2:30-4PM,long,275.42,2.25,1.06,0.12,2.8,2.2,5.06,5.05,0.433,1
TSLA,2025-04-04,10:08:00,9:30-11AM,short,260.53,-3.78,0.54,0.33,5.2,3.6,-1.64,-1.89,-0.165,1
TSLA,2025-04-04,10:16:00,9:30-11AM,short,255.02,-1.7,0.76,0.38,2.2,2.8,-3.02,-3.16,-0.81,0
TSLA,2025-04-14,15:27:00,2:30-4PM,short,249.01,-0.53,0.43,0.1,2.0,1.8,-2.67,-2.73,-0.151,0
TSLA,2025-06-06,14:46:00,2:30-4PM,long,300.94,1.52,0.45,0.15,2.1,1.6,1.12,1.26,0.044,0
TSLA,2025-06-10,15:08:00,2:30-4PM,long,318.68,0.8,0.46,0.07,2.9,1.6,1.2,1.25,0.053,0
TSLA,2025-06-26,15:14:00,2:30-4PM,short,324.91,-0.4,0.49,0.49,2.3,3.6,-0.37,-0.82,0.03,0
NVDA,2025-01-07,14:30:00,2:30-4PM,short,151.86,-4.13,0.54,0.22,16.0,5.5,-0.13,-0.31,0.053,1
NVDA,2025-01-07,14:33:00,2:30-4PM,short,150.46,-3.86,0.53,0.18,2.6,2.3,-0.96,-1.08,-0.079,1
NVDA,2025-01-07,14:56:00,2:30-4PM,short,146.81,-1.61,1.2,0.07,2.2,2.2,-2.46,-2.42,-0.341,0
NVDA,2025-01-08,14:30:00,2:30-4PM,long,143.17,0.1,0.53,0.94,15.5,5.3,0.07,0.94,0.105,0
NVDA,2025-01-10,14:30:00,2:30-4PM,short,136.37,-1.29,0.52,0.27,16.1,6.1,-0.39,-0.56,-0.052,0
NVDA,2025-01-14,14:30:00,2:30-4PM,short,135.19,-1.36,0.49,0.14,16.2,3.8,-0.14,-0.26,0.051,0
NVDA,2025-01-21,14:37:00,2:30-4PM,short,137.98,-0.19,0.67,0.23,2.1,1.8,-0.45,-0.63,0.137,0
NVDA,2025-01-22,14:31:00,2:30-4PM,long,146.21,0.83,0.97,0.46,6.9,4.5,0.58,0.93,-0.056,0
NVDA,2025-01-28,14:31:00,2:30-4PM,short,119.66,-2.85,1.12,0.53,5.1,3.9,-1.49,-1.85,-0.373,1
NVDA,2025-01-28,14:34:00,2:30-4PM,short,118.76,-2.12,0.56,0.42,2.1,2.0,-1.99,-2.28,-0.721,1
NVDA,2025-01-30,14:32:00,2:30-4PM,short,122.43,-0.96,0.55,0.18,4.0,3.2,-0.44,-0.59,0.047,0
NVDA,2025-01-31,14:59:00,2:30-4PM,long,125.3,1.07,0.44,0.24,2.1,1.5,0.83,1.04,0.074,0
NVDA,2025-02-10,14:30:00,2:30-4PM,long,131.74,2.09,0.48,0.8,15.6,6.0,0.43,1.1,0.166,1
NVDA,2025-02-18,14:30:00,2:30-4PM,long,142.8,0.44,0.68,0.41,16.5,4.5,0.61,0.89,0.323,0
NVDA,2025-02-24,14:30:00,2:30-4PM,long,137.57,0.74,0.41,0.13,17.0,5.5,0.54,0.57,0.209,0
NVDA,2025-02-25,14:51:00,2:30-4PM,short,126.22,-1.36,0.57,0.1,2.4,1.8,-2.05,-2.05,-0.391,0
NVDA,2025-02-26,14:33:00,2:30-4PM,short,129.32,-0.21,0.63,0.19,2.9,2.6,-0.37,-0.53,0.29,0
NVDA,2025-02-27,14:32:00,2:30-4PM,short,132.2,-5.23,0.51,0.89,3.6,2.6,-0.01,-0.87,0.197,1
NVDA,2025-02-27,14:33:00,2:30-4PM,short,131.88,-5.0,0.89,0.26,2.6,2.6,-0.87,-1.06,0.153,1
NVDA,2025-02-28,14:31:00,2:30-4PM,short,116.73,-0.11,0.6,0.17,3.9,3.1,-1.29,-1.36,-0.516,0
NVDA,2025-02-28,14:35:00,2:30-4PM,long,119.03,0.47,1.04,0.07,2.1,2.3,0.55,0.58,-0.599,0
