symbol,date,time,mfe,entry,rvol1,rvol2,side
TSLA,2025-04-04,10:08:00,-3.78,260.53,5.2,3.6,short
NVDA,2025-04-04,10:16:00,-2.49,99.35,7.3,1.9,short
AMD,2025-04-04,10:16:00,-3.08,91.0,4.5,2.5,short
PLTR,2025-04-04,10:16:00,-2.15,80.99,3.4,3.2,short
HOOD,2025-04-04,10:09:00,-3.75,37.3,5.2,5.6,short
MSTR,2025-04-04,10:10:00,-4.93,287.66,2.2,1.9,short
COIN,2025-04-07,10:02:00,2.58,147.2,2.2,2.6,long
PLTR,2025-04-07,10:02:00,2.04,69.19,4.7,3.2,long
HOOD,2025-04-07,10:02:00,3.56,32.05,4.2,3.4,long
TSLA,2025-01-02,14:33:00,-2.21,381.85,3.4,2.4,short
TSLA,2025-01-21,14:30:00,-2.95,421.96,16.2,6.3,short
TSLA,2025-01-21,14:33:00,-2.51,418.15,3.5,2.6,short
TSLA,2025-01-21,14:35:00,-2.13,416.52,2.1,2.2,short
TSLA,2025-01-30,14:34:00,-4.68,403.37,2.5,2.0,short
TSLA,2025-02-25,14:30:00,-2.93,321.93,16.4,8.8,short
TSLA,2025-02-25,14:36:00,-3.03,319.69,3.2,3.3,short
TSLA,2025-02-26,15:22:00,-2.12,300.59,2.4,2.7,short
TSLA,2025-03-03,14:37:00,-2.06,297.82,2.2,2.1,short
NVDA,2025-01-07,14:30:00,-4.13,151.86,16.0,5.5,short
NVDA,2025-01-07,14:33:00,-3.86,150.46,2.6,2.3,short
NVDA,2025-01-28,14:31:00,-2.85,119.66,5.1,3.9,short
NVDA,2025-01-28,14:34:00,-2.12,118.76,2.1,2.0,short
NVDA,2025-02-27,14:32:00,-5.23,132.2,3.6,2.6,short
NVDA,2025-02-27,14:33:00,-5.0,131.88,2.6,2.6,short
NVDA,2025-03-03,14:30:00,-3.32,122.71,17.1,4.4,short
NVDA,2025-03-03,14:34:00,-2.78,121.79,3.0,3.3,short
NVDA,2025-03-03,14:35:00,-2.71,121.69,3.3,2.3,short
GOOGL,2025-05-07,14:49:00,-4.08,160.8,11.7,5.8,short
GOOGL,2025-05-07,14:50:00,-3.59,159.99,5.8,5.2,short
GOOGL,2025-05-07,14:51:00,-2.82,158.71,5.2,4.8,short
GOOGL,2025-05-07,14:54:00,-2.44,157.68,3.1,2.8,short
AVGO,2025-01-07,14:30:00,-2.55,236.52,15.9,2.3,short
AVGO,2025-01-07,14:33:00,-2.3,233.89,2.6,2.0,short
AVGO,2025-01-07,14:34:00,-2.23,233.73,2.0,1.6,short
AVGO,2025-01-28,14:30:00,-3.22,205.52,17.3,3.3,short
AVGO,2025-01-28,14:31:00,-2.79,204.6,3.3,3.5,short
AVGO,2025-01-28,14:32:00,-2.33,203.64,3.5,1.9,short
AVGO,2025-03-03,14:33:00,-4.03,199.02,3.8,2.9,short
AVGO,2025-03-03,14:35:00,-3.18,197.27,2.3,1.9,short
SHOP,2025-02-20,14:30:00,-2.26,125.92,16.2,5.3,short
UBER,2025-02-24,14:33:00,-2.2,77.32,2.5,4.0,short
COIN,2025-01-07,14:35:00,-3.62,283.26,2.4,1.9,short
COIN,2025-01-07,14:56:00,-3.19,280.5,2.4,1.7,short
COIN,2025-01-21,14:34:00,-5.0,293.32,3.2,2.6,short
COIN,2025-01-21,14:35:00,-3.96,290.0,2.6,2.8,short
COIN,2025-01-21,14:36:00,-3.78,289.25,2.8,2.3,short
COIN,2025-02-14,14:33:00,-3.21,285.68,2.4,1.9,short
COIN,2025-02-24,14:32:00,-3.56,235.9,3.5,3.7,short
PLTR,2025-01-07,14:33:00,-2.16,73.84,2.3,3.6,short
RKLB,2025-01-02,14:32:00,-5.39,25.05,3.7,2.3,short
RKLB,2025-01-02,14:33:00,-4.56,24.83,2.3,4.5,short
RKLB,2025-01-02,14:34:00,-3.23,24.49,4.5,5.9,short
RKLB,2025-01-08,14:52:00,-2.09,26.84,2.1,1.8,short
RKLB,2025-02-14,14:31:00,-3.38,27.98,3.8,4.5,short
RKLB,2025-02-14,14:32:00,-2.63,27.77,4.5,4.1,short
RKLB,2025-02-14,14:33:00,-2.45,27.72,4.1,3.2,short
RKLB,2025-02-20,14:31:00,-6.92,25.73,4.9,3.7,short
RKLB,2025-02-20,14:32:00,-5.95,25.38,3.7,4.6,short
RKLB,2025-02-24,14:51:00,-5.85,23.07,2.1,2.6,short
RKLB,2025-02-24,14:52:00,-5.28,22.93,2.6,3.0,short
RKLB,2025-03-07,14:31:00,-3.08,18.36,3.2,2.0,short
RKLB,2025-03-07,14:32:00,-2.49,18.26,2.0,3.0,short
MSTR,2025-01-07,14:34:00,-2.05,363.06,2.3,2.3,short
MSTR,2025-01-16,14:30:00,-2.32,354.76,16.5,8.3,short
MSTR,2025-01-16,14:31:00,-2.13,354.1,8.3,4.9,short
MSTR,2025-02-24,14:30:00,-4.96,300.92,16.3,5.1,short
MSTR,2025-02-24,14:32:00,-3.82,296.82,8.2,3.2,short
TSLA,2025-01-31,14:30:00,2.18,406.0,15.3,7.5,long
TSLA,2025-02-19,14:30:00,2.27,357.4,17.0,7.4,long
TSLA,2025-04-02,15:20:00,3.45,272.23,3.7,3.3,long
TSLA,2025-04-02,15:22:00,2.25,275.42,2.8,2.2,long
NVDA,2025-02-10,14:30:00,2.09,131.74,15.6,6.0,long
META,2025-01-30,14:36:00,2.19,695.55,2.4,1.6,long
META,2025-02-03,14:30:00,2.03,683.62,18.2,3.9,long
CRM,2025-01-27,14:30:00,2.29,336.2,18.6,6.1,long
AVGO,2025-01-13,14:30:00,2.07,224.61,17.3,3.2,long
SHOP,2025-03-06,14:31:00,2.44,103.89,3.4,2.7,long
UBER,2025-01-30,14:30:00,4.28,64.46,17.3,4.9,long
UBER,2025-02-03,14:30:00,2.21,66.11,19.0,3.8,long
COIN,2025-01-23,14:31:00,2.43,294.73,4.9,4.4,long
COIN,2025-01-23,14:32:00,2.17,295.46,4.4,5.8,long
COIN,2025-02-28,14:35:00,2.05,205.49,3.4,2.8,long
COIN,2025-06-18,15:25:00,6.99,260.89,4.6,5.4,long
COIN,2025-06-18,15:28:00,5.64,265.0,4.2,3.6,long
PLTR,2025-01-23,14:30:00,2.11,76.8,17.0,4.3,long
PLTR,2025-02-12,14:30:00,2.62,112.73,15.7,6.3,long
PLTR,2025-02-18,14:30:00,2.15,122.37,16.2,6.3,long
PLTR,2025-03-04,14:30:00,2.55,81.91,14.8,4.7,long
PLTR,2025-03-07,14:30:00,3.37,81.36,13.5,4.0,long
HOOD,2025-01-15,14:35:00,2.83,44.45,2.2,3.0,long
HOOD,2025-01-15,14:38:00,2.81,44.46,2.1,1.6,long
HOOD,2025-02-03,14:30:00,3.4,49.11,15.7,3.1,long
HOOD,2025-02-03,14:33:00,2.44,49.57,3.1,2.2,long
HOOD,2025-02-03,14:34:00,2.13,49.72,2.2,2.0,long
HOOD,2025-02-12,14:31:00,2.3,54.14,4.7,2.3,long
HOOD,2025-02-13,14:33:00,3.43,64.69,2.8,3.0,long
HOOD,2025-02-13,14:34:00,3.02,64.95,3.0,2.7,long
HOOD,2025-02-26,14:37:00,3.67,48.22,2.1,2.8,long
HOOD,2025-03-14,14:38:00,2.29,38.27,2.3,1.8,long
RKLB,2025-01-03,14:31:00,7.73,25.5,7.4,4.2,long
RKLB,2025-01-07,14:32:00,2.22,29.31,2.2,4.0,long
RKLB,2025-01-07,14:33:00,2.15,29.33,4.0,2.6,long
RKLB,2025-01-08,14:30:00,2.91,27.52,18.0,3.3,long
RKLB,2025-01-21,14:30:00,10.25,26.55,13.7,9.3,long
RKLB,2025-01-21,14:31:00,7.0,27.36,9.3,6.1,long
RKLB,2025-01-21,14:32:00,4.92,27.9,6.1,4.5,long
RKLB,2025-01-21,14:34:00,3.48,28.28,2.2,2.5,long
RKLB,2025-01-21,15:26:00,3.64,30.53,2.2,2.0,long
RKLB,2025-01-23,14:30:00,2.85,29.49,15.8,5.2,long
RKLB,2025-01-29,14:30:00,2.27,29.58,15.2,6.7,long
RKLB,2025-01-30,14:32:00,2.99,29.92,3.4,8.2,long
RKLB,2025-01-30,14:33:00,2.45,30.07,8.2,6.3,long
RKLB,2025-02-04,14:31:00,2.49,29.43,5.7,5.0,long
RKLB,2025-02-07,14:31:00,4.07,28.53,6.4,6.7,long
RKLB,2025-02-07,14:32:00,3.45,28.7,6.7,6.0,long
RKLB,2025-02-07,14:39:00,2.31,29.02,3.3,3.3,long
RKLB,2025-02-28,14:31:00,11.34,17.11,3.5,2.2,long
RKLB,2025-02-28,14:36:00,4.19,18.38,2.2,2.4,long
RKLB,2025-04-02,15:20:00,2.27,18.72,2.7,1.7,long
MSTR,2025-01-23,14:30:00,2.96,378.97,16.7,8.2,long
MSTR,2025-01-23,14:31:00,2.26,381.59,8.2,6.9,long
MSTR,2025-02-03,14:30:00,2.62,315.24,14.7,4.1,long
MSTR,2025-02-28,14:35:00,2.1,240.84,2.0,2.3,long
MSTR,2025-03-04,14:34:00,3.42,246.0,2.7,2.9,long
