symbol,date,time,mfe,entry,rvol1,rvol2
TSLA,2025-01-02,14:33:00,-2.21,381.85,3.4,2.4
TSLA,2025-01-21,14:30:00,-2.95,421.96,16.2,6.3
TSLA,2025-01-21,14:33:00,-2.51,418.15,3.5,2.6
TSLA,2025-01-21,14:35:00,-2.13,416.52,2.1,2.2
TSLA,2025-01-30,14:34:00,-4.68,403.37,2.5,2.0
TSLA,2025-02-25,14:30:00,-2.93,321.93,16.4,8.8
TSLA,2025-02-25,14:36:00,-3.03,319.69,3.2,3.3
TSLA,2025-02-26,15:22:00,-2.12,300.59,2.4,2.7
TSLA,2025-03-03,14:37:00,-2.06,297.82,2.2,2.1
NVDA,2025-01-07,14:30:00,-4.13,151.86,16.0,5.5
NVDA,2025-01-07,14:33:00,-3.86,150.46,2.6,2.3
NVDA,2025-01-28,14:31:00,-2.85,119.66,5.1,3.9
NVDA,2025-01-28,14:34:00,-2.12,118.76,2.1,2.0
NVDA,2025-02-27,14:32:00,-5.23,132.2,3.6,2.6
NVDA,2025-02-27,14:33:00,-5.0,131.88,2.6,2.6
NVDA,2025-03-03,14:30:00,-3.32,122.71,17.1,4.4
NVDA,2025-03-03,14:34:00,-2.78,121.79,3.0,3.3
NVDA,2025-03-03,14:35:00,-2.71,121.69,3.3,2.3
GOOGL,2025-05-07,14:49:00,-4.08,160.8,11.7,5.8
GOOGL,2025-05-07,14:50:00,-3.59,159.99,5.8,5.2
GOOGL,2025-05-07,14:51:00,-2.82,158.71,5.2,4.8
GOOGL,2025-05-07,14:54:00,-2.44,157.68,3.1,2.8
AVGO,2025-01-07,14:30:00,-2.55,236.52,15.9,2.3
AVGO,2025-01-07,14:33:00,-2.3,233.89,2.6,2.0
AVGO,2025-01-07,14:34:00,-2.23,233.73,2.0,1.6
AVGO,2025-01-28,14:30:00,-3.22,205.52,17.3,3.3
AVGO,2025-01-28,14:31:00,-2.79,204.6,3.3,3.5
AVGO,2025-01-28,14:32:00,-2.33,203.64,3.5,1.9
AVGO,2025-03-03,14:33:00,-4.03,199.02,3.8,2.9
AVGO,2025-03-03,14:35:00,-3.18,197.27,2.3,1.9
SHOP,2025-02-20,14:30:00,-2.26,125.92,16.2,5.3
UBER,2025-02-24,14:33:00,-2.2,77.32,2.5,4.0
COIN,2025-01-07,14:35:00,-3.62,283.26,2.4,1.9
COIN,2025-01-07,14:56:00,-3.19,280.5,2.4,1.7
COIN,2025-01-21,14:34:00,-5.0,293.32,3.2,2.6
COIN,2025-01-21,14:35:00,-3.96,290.0,2.6,2.8
COIN,2025-01-21,14:36:00,-3.78,289.25,2.8,2.3
COIN,2025-02-14,14:33:00,-3.21,285.68,2.4,1.9
COIN,2025-02-24,14:32:00,-3.56,235.9,3.5,3.7
PLTR,2025-01-07,14:33:00,-2.16,73.84,2.3,3.6
RKLB,2025-01-02,14:32:00,-5.39,25.05,3.7,2.3
RKLB,2025-01-02,14:33:00,-4.56,24.83,2.3,4.5
RKLB,2025-01-02,14:34:00,-3.23,24.49,4.5,5.9
RKLB,2025-01-08,14:52:00,-2.09,26.84,2.1,1.8
RKLB,2025-02-14,14:31:00,-3.38,27.98,3.8,4.5
RKLB,2025-02-14,14:32:00,-2.63,27.77,4.5,4.1
RKLB,2025-02-14,14:33:00,-2.45,27.72,4.1,3.2
RKLB,2025-02-20,14:31:00,-6.92,25.73,4.9,3.7
RKLB,2025-02-20,14:32:00,-5.95,25.38,3.7,4.6
RKLB,2025-02-24,14:51:00,-5.85,23.07,2.1,2.6
RKLB,2025-02-24,14:52:00,-5.28,22.93,2.6,3.0
RKLB,2025-03-07,14:31:00,-3.08,18.36,3.2,2.0
RKLB,2025-03-07,14:32:00,-2.49,18.26,2.0,3.0
MSTR,2025-01-07,14:34:00,-2.05,363.06,2.3,2.3
MSTR,2025-01-16,14:30:00,-2.32,354.76,16.5,8.3
MSTR,2025-01-16,14:31:00,-2.13,354.1,8.3,4.9
MSTR,2025-02-24,14:30:00,-4.96,300.92,16.3,5.1
MSTR,2025-02-24,14:32:00,-3.82,296.82,8.2,3.2
