symbol,date,time,window,direction,mfe,entry,LONG_SCORE,bar1_rvol,bar1_body_pct,bar2_body_pct,vwap_slope,is_runner
TSLA,2025-01-03,14:37:00,2:30-4PM,long,0.79,386.88,0,3.1,0.44,0.25,0.21,0
TSLA,2025-01-07,14:31:00,2:30-4PM,long,1.3,409.01,0,6.5,0.5,0.26,0.055,0
TSLA,2025-01-08,14:31:00,2:30-4PM,long,0.69,396.63,0,7.0,0.57,0.27,0.108,0
TSLA,2025-01-10,14:31:00,2:30-4PM,long,0.86,395.87,2,6.2,1.12,0.5,-0.223,0
TSLA,2025-01-10,14:32:00,2:30-4PM,long,0.36,397.86,1,5.6,0.5,0.53,-0.148,0
TSLA,2025-01-14,14:37:00,2:30-4PM,long,0.66,419.87,1,3.0,0.4,0.18,0.386,0
TSLA,2025-01-15,14:39:00,2:30-4PM,long,1.28,412.5,1,2.5,0.87,0.31,0.343,0
TSLA,2025-01-17,14:32:00,2:30-4PM,long,0.65,424.43,1,2.6,0.54,0.29,0.54,0
TSLA,2025-01-22,14:30:00,2:30-4PM,long,1.32,422.44,2,15.2,0.57,0.77,-0.059,0
TSLA,2025-01-22,14:31:00,2:30-4PM,long,0.5,425.88,1,5.5,0.77,0.8,0.041,0
TSLA,2025-01-27,14:30:00,2:30-4PM,long,1.35,400.11,3,15.5,0.41,0.95,0.303,0
TSLA,2025-01-29,14:32:00,2:30-4PM,long,-0.02,398.58,1,5.8,0.43,0.5,-0.101,0
TSLA,2025-01-31,14:30:00,2:30-4PM,long,2.18,406.0,3,15.3,0.43,0.75,0.288,1
TSLA,2025-02-07,14:30:00,2:30-4PM,long,1.64,374.42,2,15.8,0.44,0.7,0.042,0
TSLA,2025-02-07,14:31:00,2:30-4PM,long,1.01,376.76,1,6.9,0.7,0.59,0.15,0
TSLA,2025-02-12,14:30:00,2:30-4PM,long,1.05,334.58,2,14.0,0.85,0.56,0.07,0
TSLA,2025-02-12,14:35:00,2:30-4PM,long,1.03,334.64,1,2.5,0.44,0.68,0.234,0
TSLA,2025-02-12,14:36:00,2:30-4PM,long,0.59,336.13,1,2.4,0.68,0.42,0.281,0
TSLA,2025-02-13,14:31:00,2:30-4PM,long,0.9,347.69,1,5.8,0.42,0.65,-0.012,0
TSLA,2025-02-13,14:32:00,2:30-4PM,long,0.71,348.33,0,4.5,0.65,0.14,0.052,0
TSLA,2025-02-18,14:31:00,2:30-4PM,long,0.2,358.39,1,5.4,1.14,0.17,-0.336,0
TSLA,2025-02-19,14:30:00,2:30-4PM,long,2.27,357.4,2,17.0,0.51,0.56,0.112,1
TSLA,2025-02-20,10:02:00,9:30-11AM,long,0.12,362.45,1,12.3,0.62,0.02,0.069,0
TSLA,2025-02-21,14:32:00,2:30-4PM,long,0.03,354.52,0,3.8,0.48,0.11,-0.249,0
TSLA,2025-02-26,14:35:00,2:30-4PM,long,0.16,308.5,0,2.8,0.6,0.47,-0.512,0
TSLA,2025-02-27,14:31:00,2:30-4PM,long,0.81,294.84,0,4.4,0.69,0.38,-0.349,0
TSLA,2025-03-03,14:35:00,2:30-4PM,long,0.15,303.47,1,2.5,0.58,0.52,-0.124,0
TSLA,2025-03-07,14:30:00,2:30-4PM,long,1.39,262.59,2,15.9,1.17,0.15,0.03,0
TSLA,2025-03-19,15:25:00,2:30-4PM,long,0.8,235.2,0,2.6,0.42,0.21,0.042,0
TSLA,2025-04-02,15:20:00,2:30-4PM,long,3.45,272.23,1,3.7,1.03,0.22,0.23,1
TSLA,2025-04-02,15:22:00,2:30-4PM,long,2.25,275.42,2,2.8,1.06,0.12,0.433,1
TSLA,2025-06-06,14:46:00,2:30-4PM,long,1.52,300.94,0,2.1,0.45,0.15,0.044,0
TSLA,2025-06-10,15:08:00,2:30-4PM,long,0.8,318.68,0,2.9,0.46,0.07,0.053,0
NVDA,2025-01-08,14:30:00,2:30-4PM,long,0.1,143.17,2,15.5,0.53,0.94,0.105,0
NVDA,2025-01-22,14:31:00,2:30-4PM,long,0.83,146.21,1,6.9,0.97,0.46,-0.056,0
NVDA,2025-01-31,14:59:00,2:30-4PM,long,1.07,125.3,0,2.1,0.44,0.24,0.074,0
NVDA,2025-02-10,14:30:00,2:30-4PM,long,2.09,131.74,2,15.6,0.48,0.8,0.166,1
NVDA,2025-02-18,14:30:00,2:30-4PM,long,0.44,142.8,2,16.5,0.68,0.41,0.323,0
NVDA,2025-02-24,14:30:00,2:30-4PM,long,0.74,137.57,1,17.0,0.41,0.13,0.209,0
NVDA,2025-02-28,14:35:00,2:30-4PM,long,0.47,119.03,1,2.1,1.04,0.07,-0.599,0
NVDA,2025-03-04,14:33:00,2:30-4PM,long,1.57,113.36,1,2.8,0.98,0.34,0.146,0
NVDA,2025-03-07,14:30:00,2:30-4PM,long,1.37,111.95,1,15.4,0.49,0.12,-0.064,0
NVDA,2025-04-07,10:02:00,9:30-11AM,long,1.42,91.23,1,5.5,1.43,0.27,0.082,0
NVDA,2025-05-01,15:16:00,2:30-4PM,long,0.28,114.62,0,5.2,0.48,0.17,0.058,0
AAPL,2025-01-15,14:30:00,2:30-4PM,long,0.67,236.54,1,17.7,0.45,0.35,0.09,0
AAPL,2025-01-27,14:30:00,2:30-4PM,long,0.48,226.62,3,16.4,0.61,0.55,0.492,0
AAPL,2025-01-28,14:30:00,2:30-4PM,long,1.1,233.04,2,13.4,0.79,0.15,0.404,0
AAPL,2025-02-11,14:30:00,2:30-4PM,long,0.73,230.22,1,13.4,0.58,0.29,0.228,0
AAPL,2025-02-13,14:30:00,2:30-4PM,long,0.14,238.67,2,19.0,0.65,0.1,0.287,0
AAPL,2025-02-24,14:30:00,2:30-4PM,long,0.56,246.76,2,16.4,0.44,0.27,0.44,0
AAPL,2025-03-03,14:32:00,2:30-4PM,long,0.32,243.25,0,3.0,0.44,0.22,0.033,0
AAPL,2025-03-06,14:36:00,2:30-4PM,long,0.1,236.22,0,3.6,0.62,0.11,0.045,0
AMZN,2025-02-03,14:30:00,2:30-4PM,long,1.18,235.51,2,17.7,0.42,0.26,0.277,0
AMZN,2025-04-07,10:02:00,9:30-11AM,long,1.41,165.64,0,2.9,0.82,0.08,0.029,0
MSFT,2025-03-06,14:32:00,2:30-4PM,long,0.23,397.22,0,3.6,0.47,0.08,-0.329,0
META,2025-01-15,14:31:00,2:30-4PM,long,0.38,611.56,1,3.5,0.53,0.11,0.61,0
META,2025-01-27,14:30:00,2:30-4PM,long,0.13,640.1,3,16.6,1.32,0.78,0.211,0
META,2025-01-30,14:36:00,2:30-4PM,long,2.19,695.55,1,2.4,0.64,0.52,0.183,1
META,2025-01-30,14:38:00,2:30-4PM,long,0.78,705.26,2,3.0,1.04,0.45,0.295,0
META,2025-02-03,14:30:00,2:30-4PM,long,2.03,683.62,3,18.2,0.97,0.25,0.415,1
META,2025-02-03,14:34:00,2:30-4PM,long,1.28,688.68,2,2.8,0.51,0.5,0.664,0
META,2025-03-07,14:34:00,2:30-4PM,long,1.11,627.84,0,3.4,0.62,0.09,-0.149,0
META,2025-04-07,10:02:00,9:30-11AM,long,1.47,489.82,0,4.5,0.58,0.26,0.046,0
META,2025-04-07,10:05:00,9:30-11AM,long,1.25,490.87,0,2.3,0.42,0.18,0.067,0
GOOGL,2025-01-21,14:30:00,2:30-4PM,long,0.55,201.18,2,18.5,0.71,0.47,0.718,0
GOOGL,2025-01-30,14:30:00,2:30-4PM,long,0.9,199.6,2,18.1,0.59,0.21,0.468,0
GOOGL,2025-02-03,15:21:00,2:30-4PM,long,0.85,201.62,0,2.1,0.42,0.14,-0.019,0
GOOGL,2025-02-11,14:32:00,2:30-4PM,long,0.07,186.8,0,4.0,0.42,0.08,0.09,0
GOOGL,2025-03-03,14:31:00,2:30-4PM,long,0.21,173.0,0,4.6,0.77,0.06,0.093,0
GOOGL,2025-04-07,10:02:00,9:30-11AM,long,1.05,140.95,0,2.7,0.59,0.07,0.016,0
NFLX,2025-01-13,14:33:00,2:30-4PM,long,0.33,844.3,1,2.6,0.5,0.15,0.449,0
NFLX,2025-01-21,14:31:00,2:30-4PM,long,0.25,867.85,0,3.8,0.67,0.19,-0.338,0
NFLX,2025-01-23,14:32:00,2:30-4PM,long,0.66,971.63,2,5.0,0.64,0.64,0.283,0
NFLX,2025-01-30,14:37:00,2:30-4PM,long,0.19,992.66,0,5.6,0.59,0.33,-0.023,0
NFLX,2025-02-04,14:32:00,2:30-4PM,long,1.34,992.72,1,6.5,0.56,0.33,0.272,0
NFLX,2025-02-28,14:35:00,2:30-4PM,long,0.42,965.55,0,2.8,0.57,0.21,-0.165,0
NFLX,2025-03-03,14:31:00,2:30-4PM,long,0.03,993.47,0,6.1,0.64,0.27,-0.256,0
AMD,2025-01-03,14:33:00,2:30-4PM,long,0.3,123.0,1,3.6,0.46,0.13,0.369,0
AMD,2025-01-06,14:36:00,2:30-4PM,long,0.38,129.67,0,2.0,0.54,0.23,-0.158,0
AMD,2025-01-30,14:30:00,2:30-4PM,long,0.24,120.15,3,18.5,0.9,0.46,0.476,0
AMD,2025-02-11,14:30:00,2:30-4PM,long,1.3,109.93,1,17.3,0.72,0.19,-0.066,0
AMD,2025-02-20,14:34:00,2:30-4PM,long,0.61,115.84,0,3.6,0.68,0.32,0.102,0
AMD,2025-02-28,14:35:00,2:30-4PM,long,0.46,100.18,0,2.4,0.49,0.42,-0.278,0
AMD,2025-03-04,14:30:00,2:30-4PM,long,1.55,97.42,2,17.1,0.83,0.64,0.008,0
AMD,2025-03-04,14:34:00,2:30-4PM,long,1.08,97.87,1,2.6,0.51,0.42,0.262,0
AMD,2025-03-06,14:37:00,2:30-4PM,long,0.67,99.82,0,2.1,0.43,0.31,-0.604,0
AMD,2025-06-23,10:01:00,9:30-11AM,long,0.31,129.8,2,13.6,0.79,0.76,0.029,0
CRM,2025-01-27,14:30:00,2:30-4PM,long,2.29,336.2,3,18.6,0.53,0.6,0.744,1
CRM,2025-01-27,14:31:00,2:30-4PM,long,1.6,338.5,2,6.1,0.6,0.65,0.957,0
CRM,2025-01-27,14:32:00,2:30-4PM,long,0.92,340.76,2,5.3,0.65,0.68,1.292,0
