symbol,date,direction,tp,sl,pnl
SPY,2025-12-01,short,0.0025,0.0025,-0.0025
SPY,2025-12-01,short,0.0025,0.004,-0.004
SPY,2025-12-01,short,0.0025,0.005,-0.003928524825231058
SPY,2025-12-01,short,0.005,0.0025,-0.0025
SPY,2025-12-01,short,0.005,0.004,-0.004
SPY,2025-12-01,short,0.005,0.005,-0.003928524825231058
SPY,2025-12-01,short,0.0075,0.0025,-0.0025
SPY,2025-12-01,short,0.0075,0.004,-0.004
SPY,2025-12-01,short,0.0075,0.005,-0.003928524825231058
SPY,2025-12-01,short,0.0025,0.0025,-0.0025
SPY,2025-12-01,short,0.0025,0.004,-0.004
SPY,2025-12-01,short,0.0025,0.005,-0.003093649180183001
SPY,2025-12-01,short,0.005,0.0025,-0.0025
SPY,2025-12-01,short,0.005,0.004,-0.004
SPY,2025-12-01,short,0.005,0.005,-0.003093649180183001
SPY,2025-12-01,short,0.0075,0.0025,-0.0025
SPY,2025-12-01,short,0.0075,0.004,-0.004
SPY,2025-12-01,short,0.0075,0.005,-0.003093649180183001
SPY,2025-12-01,short,0.0025,0.0025,-0.0025
SPY,2025-12-01,short,0.0025,0.004,-0.004
SPY,2025-12-01,short,0.0025,0.005,-0.0031083808429457635
SPY,2025-12-01,short,0.005,0.0025,-0.0025
SPY,2025-12-01,short,0.005,0.004,-0.004
SPY,2025-12-01,short,0.005,0.005,-0.0031083808429457635
SPY,2025-12-01,short,0.0075,0.0025,-0.0025
SPY,2025-12-01,short,0.0075,0.004,-0.004
SPY,2025-12-01,short,0.0075,0.005,-0.0031083808429457635
SPY,2025-12-01,short,0.0025,0.0025,-0.0025
SPY,2025-12-01,short,0.0025,0.004,-0.004
SPY,2025-12-01,short,0.0025,0.005,-0.0034164371861515547
SPY,2025-12-01,short,0.005,0.0025,-0.0025
SPY,2025-12-01,short,0.005,0.004,-0.004
SPY,2025-12-01,short,0.005,0.005,-0.0034164371861515547
SPY,2025-12-01,short,0.0075,0.0025,-0.0025
SPY,2025-12-01,short,0.0075,0.004,-0.004
SPY,2025-12-01,short,0.0075,0.005,-0.0034164371861515547
SPY,2025-12-01,short,0.0025,0.0025,-0.0025
SPY,2025-12-01,short,0.0025,0.004,-0.004
SPY,2025-12-01,short,0.0025,0.005,-0.005
SPY,2025-12-01,short,0.005,0.0025,-0.0025
SPY,2025-12-01,short,0.005,0.004,-0.004
SPY,2025-12-01,short,0.005,0.005,-0.005
SPY,2025-12-01,short,0.0075,0.0025,-0.0025
SPY,2025-12-01,short,0.0075,0.004,-0.004
SPY,2025-12-01,short,0.0075,0.005,-0.005
SPY,2025-12-01,long,0.0025,0.0025,0.0012322858903266024
SPY,2025-12-01,long,0.0025,0.004,0.0012322858903266024
SPY,2025-12-01,long,0.0025,0.005,0.0012322858903266024
SPY,2025-12-01,long,0.005,0.0025,0.0012322858903266024
SPY,2025-12-01,long,0.005,0.004,0.0012322858903266024
SPY,2025-12-01,long,0.005,0.005,0.0012322858903266024
SPY,2025-12-01,long,0.0075,0.0025,0.0012322858903266024
SPY,2025-12-01,long,0.0075,0.004,0.0012322858903266024
SPY,2025-12-01,long,0.0075,0.005,0.0012322858903266024
SPY,2025-12-01,long,0.0025,0.0025,-0.0025
SPY,2025-12-01,long,0.0025,0.004,-0.004
SPY,2025-12-01,long,0.0025,0.005,-0.002425503237715798
SPY,2025-12-01,long,0.005,0.0025,-0.0025
SPY,2025-12-01,long,0.005,0.004,-0.004
SPY,2025-12-01,long,0.005,0.005,-0.002425503237715798
SPY,2025-12-01,long,0.0075,0.0025,-0.0025
SPY,2025-12-01,long,0.0075,0.004,-0.004
SPY,2025-12-01,long,0.0075,0.005,-0.002425503237715798
SPY,2025-12-01,long,0.0025,0.0025,-0.0025
SPY,2025-12-01,long,0.0025,0.004,-0.004
SPY,2025-12-01,long,0.0025,0.005,-0.0024098327034074328
SPY,2025-12-01,long,0.005,0.0025,-0.0025
SPY,2025-12-01,long,0.005,0.004,-0.004
SPY,2025-12-01,long,0.005,0.005,-0.0024098327034074328
SPY,2025-12-01,long,0.0075,0.0025,-0.0025
SPY,2025-12-01,long,0.0075,0.004,-0.004
SPY,2025-12-01,long,0.0075,0.005,-0.0024098327034074328
SPY,2025-12-01,long,0.0025,0.0025,-0.0025
SPY,2025-12-01,long,0.0025,0.004,-0.004
SPY,2025-12-01,long,0.0025,0.005,-0.003991065870894545
SPY,2025-12-01,long,0.005,0.0025,-0.0025
SPY,2025-12-01,long,0.005,0.004,-0.004
SPY,2025-12-01,long,0.005,0.005,-0.003991065870894545
SPY,2025-12-01,long,0.0075,0.0025,-0.0025
SPY,2025-12-01,long,0.0075,0.004,-0.004
SPY,2025-12-01,long,0.0075,0.005,-0.003991065870894545
SPY,2025-12-01,short,0.0025,0.0025,0.0004629255424679877
SPY,2025-12-01,short,0.0025,0.004,0.0004629255424679877
SPY,2025-12-01,short,0.0025,0.005,0.0004629255424679877
SPY,2025-12-01,short,0.005,0.0025,0.0004629255424679877
SPY,2025-12-01,short,0.005,0.004,0.0004629255424679877
SPY,2025-12-01,short,0.005,0.005,0.0004629255424679877
SPY,2025-12-01,short,0.0075,0.0025,0.0004629255424679877
SPY,2025-12-01,short,0.0075,0.004,0.0004629255424679877
SPY,2025-12-01,short,0.0075,0.005,0.0004629255424679877
SPY,2025-12-01,short,0.0025,0.0025,0.00027919826015391304
SPY,2025-12-01,short,0.0025,0.004,0.00027919826015391304
SPY,2025-12-01,short,0.0025,0.005,0.00027919826015391304
SPY,2025-12-01,short,0.005,0.0025,0.00027919826015391304
SPY,2025-12-01,short,0.005,0.004,0.00027919826015391304
SPY,2025-12-01,short,0.005,0.005,0.00027919826015391304
SPY,2025-12-01,short,0.0075,0.0025,0.00027919826015391304
SPY,2025-12-01,short,0.0075,0.004,0.00027919826015391304
SPY,2025-12-01,short,0.0075,0.005,0.00027919826015391304
SPY,2025-12-01,short,0.0025,0.0025,-0.0004117586506080392
SPY,2025-12-01,short,0.0025,0.004,-0.0004117586506080392
SPY,2025-12-01,short,0.0025,0.005,-0.0004117586506080392
SPY,2025-12-01,short,0.005,0.0025,-0.0004117586506080392
SPY,2025-12-01,short,0.005,0.004,-0.0004117586506080392
SPY,2025-12-01,short,0.005,0.005,-0.0004117586506080392
SPY,2025-12-01,short,0.0075,0.0025,-0.0004117586506080392
SPY,2025-12-01,short,0.0075,0.004,-0.0004117586506080392
SPY,2025-12-01,short,0.0075,0.005,-0.0004117586506080392
SPY,2025-12-02,long,0.0025,0.0025,-0.0025
SPY,2025-12-02,long,0.0025,0.004,-0.004
SPY,2025-12-02,long,0.0025,0.005,-0.000425154354935675
SPY,2025-12-02,long,0.005,0.0025,-0.0025
SPY,2025-12-02,long,0.005,0.004,-0.004
SPY,2025-12-02,long,0.005,0.005,-0.000425154354935675
SPY,2025-12-02,long,0.0075,0.0025,-0.0025
SPY,2025-12-02,long,0.0075,0.004,-0.004
SPY,2025-12-02,long,0.0075,0.005,-0.000425154354935675
SPY,2025-12-02,long,0.0025,0.0025,-0.0025
SPY,2025-12-02,long,0.0025,0.004,0.0025
SPY,2025-12-02,long,0.0025,0.005,0.0025
SPY,2025-12-02,long,0.005,0.0025,-0.0025
SPY,2025-12-02,long,0.005,0.004,0.002267224301122546
SPY,2025-12-02,long,0.005,0.005,0.002267224301122546
SPY,2025-12-02,long,0.0075,0.0025,-0.0025
SPY,2025-12-02,long,0.0075,0.004,0.002267224301122546
SPY,2025-12-02,long,0.0075,0.005,0.002267224301122546
SPY,2025-12-02,long,0.0025,0.0025,-0.0025
SPY,2025-12-02,long,0.0025,0.004,-0.004
SPY,2025-12-02,long,0.0025,0.005,0.0020832355357353126
SPY,2025-12-02,long,0.005,0.0025,-0.0025
SPY,2025-12-02,long,0.005,0.004,-0.004
SPY,2025-12-02,long,0.005,0.005,0.0020832355357353126
SPY,2025-12-02,long,0.0075,0.0025,-0.0025
SPY,2025-12-02,long,0.0075,0.004,-0.004
SPY,2025-12-02,long,0.0075,0.005,0.0020832355357353126
SPY,2025-12-02,long,0.0025,0.0025,-0.0025
SPY,2025-12-02,long,0.0025,0.004,-0.004
SPY,2025-12-02,long,0.0025,0.005,-0.005
SPY,2025-12-02,long,0.005,0.0025,-0.0025
SPY,2025-12-02,long,0.005,0.004,-0.004
SPY,2025-12-02,long,0.005,0.005,-0.005
SPY,2025-12-02,long,0.0075,0.0025,-0.0025
SPY,2025-12-02,long,0.0075,0.004,-0.004
SPY,2025-12-02,long,0.0075,0.005,-0.005
SPY,2025-12-02,short,0.0025,0.0025,-0.001717229536347965
SPY,2025-12-02,short,0.0025,0.004,-0.001717229536347965
SPY,2025-12-02,short,0.0025,0.005,-0.001717229536347965
SPY,2025-12-02,short,0.005,0.0025,-0.001717229536347965
SPY,2025-12-02,short,0.005,0.004,-0.001717229536347965
SPY,2025-12-02,short,0.005,0.005,-0.001717229536347965
SPY,2025-12-02,short,0.0075,0.0025,-0.001717229536347965
SPY,2025-12-02,short,0.0075,0.004,-0.001717229536347965
SPY,2025-12-02,short,0.0075,0.005,-0.001717229536347965
SPY,2025-12-02,short,0.0025,0.0025,-0.0025
SPY,2025-12-02,short,0.0025,0.004,-0.0025118246717001622
SPY,2025-12-02,short,0.0025,0.005,-0.0025118246717001622
SPY,2025-12-02,short,0.005,0.0025,-0.0025
SPY,2025-12-02,short,0.005,0.004,-0.0025118246717001622
SPY,2025-12-02,short,0.005,0.005,-0.0025118246717001622
SPY,2025-12-02,short,0.0075,0.0025,-0.0025
SPY,2025-12-02,short,0.0075,0.004,-0.0025118246717001622
SPY,2025-12-02,short,0.0075,0.005,-0.0025118246717001622
SPY,2025-12-02,short,0.0025,0.0025,-0.0025
SPY,2025-12-02,short,0.0025,0.004,-0.0017196019929745575
SPY,2025-12-02,short,0.0025,0.005,-0.0017196019929745575
SPY,2025-12-02,short,0.005,0.0025,-0.0025
SPY,2025-12-02,short,0.005,0.004,-0.0017196019929745575
SPY,2025-12-02,short,0.005,0.005,-0.0017196019929745575
SPY,2025-12-02,short,0.0075,0.0025,-0.0025
SPY,2025-12-02,short,0.0075,0.004,-0.0017196019929745575
SPY,2025-12-02,short,0.0075,0.005,-0.0017196019929745575
SPY,2025-12-02,long,0.0025,0.0025,2.9334976091967806e-05
SPY,2025-12-02,long,0.0025,0.004,2.9334976091967806e-05
SPY,2025-12-02,long,0.0025,0.005,2.9334976091967806e-05
SPY,2025-12-02,long,0.005,0.0025,2.9334976091967806e-05
SPY,2025-12-02,long,0.005,0.004,2.9334976091967806e-05
SPY,2025-12-02,long,0.005,0.005,2.9334976091967806e-05
SPY,2025-12-02,long,0.0075,0.0025,2.9334976091967806e-05
SPY,2025-12-02,long,0.0075,0.004,2.9334976091967806e-05
SPY,2025-12-02,long,0.0075,0.005,2.9334976091967806e-05
SPY,2025-12-02,long,0.0025,0.0025,-0.0008205609119949288
SPY,2025-12-02,long,0.0025,0.004,-0.0008205609119949288
SPY,2025-12-02,long,0.0025,0.005,-0.0008205609119949288
SPY,2025-12-02,long,0.005,0.0025,-0.0008205609119949288
SPY,2025-12-02,long,0.005,0.004,-0.0008205609119949288
SPY,2025-12-02,long,0.005,0.005,-0.0008205609119949288
SPY,2025-12-02,long,0.0075,0.0025,-0.0008205609119949288
SPY,2025-12-02,long,0.0075,0.004,-0.0008205609119949288
SPY,2025-12-02,long,0.0075,0.005,-0.0008205609119949288
SPY,2025-12-03,long,0.0025,0.0025,0.0019777322004102295
SPY,2025-12-03,long,0.0025,0.004,0.0019777322004102295
SPY,2025-12-03,long,0.0025,0.005,0.0019777322004102295
SPY,2025-12-03,long,0.005,0.0025,0.0019777322004102295
