symbol,date,direction,tp,sl,pnl
SPY,2025-12-15,long,0.0025,0.0025,-2.9195375452501768e-05
SPY,2025-12-15,long,0.0025,0.004,-2.9195375452501768e-05
SPY,2025-12-15,long,0.0025,0.005,-2.9195375452501768e-05
SPY,2025-12-15,long,0.005,0.0025,-2.9195375452501768e-05
SPY,2025-12-15,long,0.005,0.004,-2.9195375452501768e-05
SPY,2025-12-15,long,0.005,0.005,-2.9195375452501768e-05
SPY,2025-12-15,long,0.0075,0.0025,-2.9195375452501768e-05
SPY,2025-12-15,long,0.0075,0.004,-2.9195375452501768e-05
SPY,2025-12-15,long,0.0075,0.005,-2.9195375452501768e-05
SPY,2025-12-15,short,0.0025,0.0025,0.0025
SPY,2025-12-15,short,0.0025,0.004,0.0025
SPY,2025-12-15,short,0.0025,0.005,0.0025
SPY,2025-12-15,short,0.005,0.0025,0.0028252722801264053
SPY,2025-12-15,short,0.005,0.004,0.0028252722801264053
SPY,2025-12-15,short,0.005,0.005,0.0028252722801264053
SPY,2025-12-15,short,0.0075,0.0025,0.0028252722801264053
SPY,2025-12-15,short,0.0075,0.004,0.0028252722801264053
SPY,2025-12-15,short,0.0075,0.005,0.0028252722801264053
SPY,2025-12-15,short,0.0025,0.0025,-0.0025
SPY,2025-12-15,short,0.0025,0.004,-0.0019416618860596565
SPY,2025-12-15,short,0.0025,0.005,-0.0019416618860596565
SPY,2025-12-15,short,0.005,0.0025,-0.0025
SPY,2025-12-15,short,0.005,0.004,-0.0019416618860596565
SPY,2025-12-15,short,0.005,0.005,-0.0019416618860596565
SPY,2025-12-15,short,0.0075,0.0025,-0.0025
SPY,2025-12-15,short,0.0075,0.004,-0.0019416618860596565
SPY,2025-12-15,short,0.0075,0.005,-0.0019416618860596565
SPY,2025-12-17,long,0.0025,0.0025,-0.00017611576676402623
SPY,2025-12-17,long,0.0025,0.004,-0.00017611576676402623
SPY,2025-12-17,long,0.0025,0.005,-0.00017611576676402623
SPY,2025-12-17,long,0.005,0.0025,-0.00017611576676402623
SPY,2025-12-17,long,0.005,0.004,-0.00017611576676402623
SPY,2025-12-17,long,0.005,0.005,-0.00017611576676402623
SPY,2025-12-17,long,0.0075,0.0025,-0.00017611576676402623
SPY,2025-12-17,long,0.0075,0.004,-0.00017611576676402623
SPY,2025-12-17,long,0.0075,0.005,-0.00017611576676402623
SPY,2025-12-17,long,0.0025,0.0025,0.0
SPY,2025-12-17,long,0.0025,0.004,0.0
SPY,2025-12-17,long,0.0025,0.005,0.0
SPY,2025-12-17,long,0.005,0.0025,0.0
SPY,2025-12-17,long,0.005,0.004,0.0
SPY,2025-12-17,long,0.005,0.005,0.0
SPY,2025-12-17,long,0.0075,0.0025,0.0
SPY,2025-12-17,long,0.0075,0.004,0.0
SPY,2025-12-17,long,0.0075,0.005,0.0
SPY,2025-12-17,long,0.0025,0.0025,-0.00039625465966124893
SPY,2025-12-17,long,0.0025,0.004,-0.00039625465966124893
SPY,2025-12-17,long,0.0025,0.005,-0.00039625465966124893
SPY,2025-12-17,long,0.005,0.0025,-0.00039625465966124893
SPY,2025-12-17,long,0.005,0.004,-0.00039625465966124893
SPY,2025-12-17,long,0.005,0.005,-0.00039625465966124893
SPY,2025-12-17,long,0.0075,0.0025,-0.00039625465966124893
SPY,2025-12-17,long,0.0075,0.004,-0.00039625465966124893
SPY,2025-12-17,long,0.0075,0.005,-0.00039625465966124893
SPY,2025-12-19,long,0.0025,0.0025,-0.0019116241452833682
SPY,2025-12-19,long,0.0025,0.004,-0.0019116241452833682
SPY,2025-12-19,long,0.0025,0.005,-0.0019116241452833682
SPY,2025-12-19,long,0.005,0.0025,-0.0019116241452833682
SPY,2025-12-19,long,0.005,0.004,-0.0019116241452833682
SPY,2025-12-19,long,0.005,0.005,-0.0019116241452833682
SPY,2025-12-19,long,0.0075,0.0025,-0.0019116241452833682
SPY,2025-12-19,long,0.0075,0.004,-0.0019116241452833682
SPY,2025-12-19,long,0.0075,0.005,-0.0019116241452833682
SPY,2025-12-22,long,0.0025,0.0025,0.0
SPY,2025-12-22,long,0.0025,0.004,0.0
SPY,2025-12-22,long,0.0025,0.005,0.0
SPY,2025-12-22,long,0.005,0.0025,0.0
SPY,2025-12-22,long,0.005,0.004,0.0
SPY,2025-12-22,long,0.005,0.005,0.0
SPY,2025-12-22,long,0.0075,0.0025,0.0
SPY,2025-12-22,long,0.0075,0.004,0.0
SPY,2025-12-22,long,0.0075,0.005,0.0
SPY,2025-12-22,long,0.0025,0.0025,0.0008774495466511009
SPY,2025-12-22,long,0.0025,0.004,0.0008774495466511009
SPY,2025-12-22,long,0.0025,0.005,0.0008774495466511009
SPY,2025-12-22,long,0.005,0.0025,0.0008774495466511009
SPY,2025-12-22,long,0.005,0.004,0.0008774495466511009
SPY,2025-12-22,long,0.005,0.005,0.0008774495466511009
SPY,2025-12-22,long,0.0075,0.0025,0.0008774495466511009
SPY,2025-12-22,long,0.0075,0.004,0.0008774495466511009
SPY,2025-12-22,long,0.0075,0.005,0.0008774495466511009
SPY,2025-12-22,long,0.0025,0.0025,-0.000409386651071111
SPY,2025-12-22,long,0.0025,0.004,-0.000409386651071111
SPY,2025-12-22,long,0.0025,0.005,-0.000409386651071111
SPY,2025-12-22,long,0.005,0.0025,-0.000409386651071111
SPY,2025-12-22,long,0.005,0.004,-0.000409386651071111
SPY,2025-12-22,long,0.005,0.005,-0.000409386651071111
SPY,2025-12-22,long,0.0075,0.0025,-0.000409386651071111
SPY,2025-12-22,long,0.0075,0.004,-0.000409386651071111
SPY,2025-12-22,long,0.0075,0.005,-0.000409386651071111
SPY,2025-12-22,long,0.0025,0.0025,-0.0008704230595289422
SPY,2025-12-22,long,0.0025,0.004,-0.0008704230595289422
SPY,2025-12-22,long,0.0025,0.005,-0.0008704230595289422
SPY,2025-12-22,long,0.005,0.0025,-0.0008704230595289422
SPY,2025-12-22,long,0.005,0.004,-0.0008704230595289422
SPY,2025-12-22,long,0.005,0.005,-0.0008704230595289422
SPY,2025-12-22,long,0.0075,0.0025,-0.0008704230595289422
SPY,2025-12-22,long,0.0075,0.004,-0.0008704230595289422
