datetime,open,high,low,close,volume,trade_count,vwap
2025-12-15 09:02:00+00:00,9.95,10.0,9.95,10.0,1733.0,10.0,9.985016
2025-12-15 12:11:00+00:00,9.94,9.98,9.94,9.98,642.0,5.0,9.956758
2025-12-15 12:18:00+00:00,9.88,9.98,9.88,9.98,1770.0,8.0,9.962955
2025-12-15 12:24:00+00:00,9.83,9.83,9.83,9.83,267.0,2.0,9.83
2025-12-15 12:34:00+00:00,9.98,10.0,9.8,9.8,1956.0,15.0,9.962
2025-12-15 12:52:00+00:00,9.81,9.81,9.8,9.8,712.0,14.0,9.802273
2025-12-15 13:00:00+00:00,10.0,10.0,9.78,9.78,2301.0,30.0,9.966922
2025-12-15 13:13:00+00:00,9.78,9.78,9.78,9.78,3120.0,1.0,9.78
2025-12-15 13:58:00+00:00,9.84,9.84,9.84,9.84,100.0,1.0,9.84
2025-12-15 14:00:00+00:00,9.85,9.85,9.85,9.85,111.0,1.0,9.85
2025-12-15 14:02:00+00:00,9.85,9.85,9.85,9.85,211.0,2.0,9.85
2025-12-15 14:06:00+00:00,9.92,9.92,9.92,9.92,100.0,1.0,9.92
2025-12-15 14:29:00+00:00,9.84,9.84,9.84,9.84,506.0,5.0,9.84
2025-12-15 14:30:00+00:00,9.82,9.8736,9.8,9.845,14215.0,34.0,9.824193
2025-12-15 14:31:00+00:00,9.9,9.9,9.85,9.89,2924.0,16.0,9.896071
2025-12-15 14:32:00+00:00,9.89,9.89,9.88,9.89,1535.0,49.0,9.888824
2025-12-15 14:33:00+00:00,9.89,9.94,9.89,9.89,5621.0,37.0,9.90499
2025-12-15 14:34:00+00:00,9.88,9.89,9.79,9.81,3318.0,46.0,9.831688
2025-12-15 14:35:00+00:00,9.82,9.82,9.82,9.82,552.0,8.0,9.82
2025-12-15 14:36:00+00:00,9.79,9.79,9.79,9.79,263.0,14.0,9.79
2025-12-15 14:37:00+00:00,9.82,9.82,9.77,9.82,1470.0,21.0,9.807862
2025-12-15 14:38:00+00:00,9.8045,9.8045,9.7,9.7,3424.0,32.0,9.709364
2025-12-15 14:39:00+00:00,9.68,9.68,9.65,9.65,1018.0,18.0,9.668889
2025-12-15 14:41:00+00:00,9.65,9.65,9.65,9.65,453.0,16.0,9.65
2025-12-15 14:42:00+00:00,9.65,9.65,9.63,9.63,2315.0,33.0,9.632378
2025-12-15 14:43:00+00:00,9.53,9.53,9.53,9.53,169.0,8.0,9.53
2025-12-15 14:44:00+00:00,9.59,9.59,9.59,9.59,269.0,8.0,9.59
2025-12-15 14:45:00+00:00,9.5,9.5,9.5,9.5,689.0,43.0,9.5
2025-12-15 14:46:00+00:00,9.5,9.5,9.49,9.49,2123.0,38.0,9.4985
2025-12-15 14:48:00+00:00,9.45,9.47,9.45,9.47,652.0,39.0,9.460476
2025-12-15 14:49:00+00:00,9.45,9.45,9.4428,9.4428,1289.0,26.0,9.443455
2025-12-15 14:50:00+00:00,9.43,9.43,9.4213,9.4213,1493.0,18.0,9.424129
2025-12-15 14:51:00+00:00,9.42,9.42,9.42,9.42,219.0,13.0,9.42
2025-12-15 14:52:00+00:00,9.4,9.4,9.39,9.39,2791.0,29.0,9.397104
2025-12-15 14:53:00+00:00,9.375,9.38,9.375,9.38,1175.0,44.0,9.375556
2025-12-15 14:54:00+00:00,9.36,9.4,9.3218,9.3515,7335.0,57.0,9.372636
2025-12-15 14:55:00+00:00,9.36,9.42,9.36,9.36,1439.0,32.0,9.398033
2025-12-15 14:56:00+00:00,9.38,9.45,9.38,9.45,1357.0,36.0,9.426
2025-12-15 14:58:00+00:00,9.4296,9.4296,9.4296,9.4296,139.0,12.0,9.4296
2025-12-15 14:59:00+00:00,9.39,9.39,9.31,9.31,11585.0,68.0,9.341811
2025-12-15 15:01:00+00:00,9.3,9.3,9.25,9.3,1799.0,42.0,9.293258
2025-12-15 15:02:00+00:00,9.29,9.3,9.29,9.3,934.0,32.0,9.29678
2025-12-15 15:03:00+00:00,9.28,9.29,9.27,9.27,8483.0,60.0,9.279968
2025-12-15 15:04:00+00:00,9.24,9.33,9.24,9.33,4510.0,39.0,9.262739
2025-12-15 15:05:00+00:00,9.35,9.36,9.35,9.35,2264.0,35.0,9.352333
2025-12-15 15:06:00+00:00,9.39,9.4,9.39,9.4,783.0,17.0,9.398333
2025-12-15 15:08:00+00:00,9.365,9.4173,9.365,9.4173,1134.0,15.0,9.39115
2025-12-15 15:10:00+00:00,9.35,9.35,9.35,9.35,491.0,25.0,9.35
2025-12-15 15:11:00+00:00,9.29,9.29,9.29,9.29,395.0,14.0,9.29
2025-12-15 15:13:00+00:00,9.325,9.37,9.32,9.36,1528.0,54.0,9.350714
2025-12-15 15:14:00+00:00,9.32,9.32,9.3163,9.3163,737.0,12.0,9.319079
2025-12-15 15:15:00+00:00,9.32,9.32,9.26,9.26,2648.0,38.0,9.299964
2025-12-15 15:17:00+00:00,9.2723,9.2723,9.2723,9.2723,462.0,6.0,9.2723
2025-12-15 15:18:00+00:00,9.2514,9.28,9.25,9.28,2564.0,35.0,9.254578
2025-12-15 15:21:00+00:00,9.36,9.36,9.36,9.36,1584.0,10.0,9.36
2025-12-15 15:24:00+00:00,9.27,9.27,9.27,9.27,633.0,15.0,9.27
2025-12-15 15:25:00+00:00,9.255,9.255,9.24,9.24,1414.0,20.0,9.251111
2025-12-15 15:27:00+00:00,9.24,9.24,9.22,9.22,1644.0,6.0,9.22125
2025-12-15 15:28:00+00:00,9.26,9.26,9.26,9.26,190.0,6.0,9.26
2025-12-15 15:29:00+00:00,9.22,9.22,9.22,9.22,150.0,7.0,9.22
2025-12-15 15:30:00+00:00,9.25,9.25,9.25,9.25,1169.0,15.0,9.25
2025-12-15 15:31:00+00:00,9.29,9.33,9.29,9.33,1563.0,34.0,9.306981
2025-12-15 15:32:00+00:00,9.33,9.36,9.33,9.36,661.0,17.0,9.342876
