symbol,date,entry_time,score,support,touches,entry_price,mfe,mae,pnl
TSLA,2026-01-05,2026-01-05 13:02:00+00:00,14,444.84,80,446.099202,0.0003828699967053308,-0.015544080708756729,-0.004373022841677288
TSLA,2026-01-12,2026-01-12 13:02:00+00:00,13,441.83,74,441.88805993999995,0.006544508263908953,-0.0036836477098317498,-0.0023491468408104858
TSLA,2026-01-16,2026-01-16 14:34:00+00:00,13,440.36,80,442.9610745,0.009682398176501635,-0.0023954125115795426,-0.0007476379281718909
TSLA,2026-01-28,2026-01-28 22:17:00+00:00,14,443.831,51,445.68912,0.010682064664266397,-0.007155480932538812,-0.002352581548322284
TSLA,2026-02-10,2026-02-10 14:32:00+00:00,13,419.0,78,422.41446599999995,0.007257170970087163,-0.004011382507908525,-0.0024726094489385766
TSLA,2026-03-16,2026-03-16 13:32:00+00:00,13,396.28,80,398.72972999999996,0.007725207749118787,-0.0014288626032474077,0.007198535208297766
TSLA,2026-04-10,2026-04-10 13:32:00+00:00,13,346.626,60,349.5699,0.0017450015004151008,-0.013959725937502113,-0.006541181034179491
TSLA,2026-04-28,2026-04-28 13:33:00+00:00,14,373.58,60,377.935572,0.006917655266385013,-0.006497065060602409,0.006275746914873611
TSLA,2026-05-05,2026-05-05 13:32:00+00:00,14,395.5,80,398.53469099999995,0.008996228135131283,-0.004453040199704878,0.002949075768161992
TSLA,2026-05-06,2026-05-06 11:02:00+00:00,14,390.9,55,391.72832999999997,0.0029144432826699908,-0.0017826895491576996,0.0010509068874339905
AMD,2025-12-16,2025-12-16 14:35:00+00:00,13,206.9,52,208.40167200000002,0.004070639126158166,-0.010372623114079478,0.0015418686276182758
AMD,2025-12-22,2025-12-22 13:03:00+00:00,13,216.73,58,217.59351,0.0020979026442470745,-0.008587158688694413,0.0009489713181243424
AMD,2026-01-21,2026-01-21 22:43:00+00:00,13,251.0,71,252.0504,0.0032303063196884416,-0.0013901981508460514,0.0024582385110279185
AMD,2026-01-28,2026-01-28 22:20:00+00:00,11,254.0501,40,255.8926683,0.0023733845288915734,-0.0015735827942046114,0.0021127283700295737
AMD,2026-02-06,2026-02-06 14:34:00+00:00,14,198.39,46,201.350262,0.025476192327974226,-0.006259053191596956,0.0061571213649576325
AMD,2026-02-12,2026-02-12 14:33:00+00:00,13,215.7,66,217.6660245,0.0036311385840559164,-0.02768013296443516,-0.018588222527121993
AMD,2026-02-18,2026-02-18 15:08:00+00:00,10,198.1,54,199.5439008,0.008950908511055948,-0.003627777131236655,0.0007181337010326767
AMD,2026-02-20,2026-02-20 15:23:00+00:00,12,201.29,42,203.135619,0.005534632505784209,-0.009971264566850794,0.0047720877548314096
AMD,2026-03-09,2026-03-09 13:32:00+00:00,13,189.53,62,191.70833399999998,0.0035035826872295292,-0.01013693019730688,-0.005160620716676748
AMD,2026-03-23,2026-03-23 13:30:00+00:00,11,205.4,33,206.46128399999998,0.01282427362991713,-0.0032513795661562673,0.008348858277952126
AMD,2026-03-25,2026-03-25 12:09:00+00:00,11,209.7,57,211.0422,0.0021218505114143087,-0.005886026586151949,-0.0010528699947215062
AMD,2026-04-01,2026-04-01 13:34:00+00:00,13,207.5602,38,208.631718,0.009434241441658395,-0.004842590617022155,0.004305586938607267
AMD,2026-04-23,2026-04-23 20:11:00+00:00,11,303.75,55,319.41387000000003,0.0018350173710364195,-0.013442966643871871,-0.0021410153541548244
AMD,2026-05-08,2026-05-08 13:29:00+00:00,13,416.2,54,419.11380599999995,0.03742705149636626,-0.009791626859459656,0.02750134649584899
AMD,2026-06-01,2026-06-01 13:34:00+00:00,13,496.79,51,503.50178022,0.002737070322567409,-0.033171243630364756,-0.031284457848624526
AMD,2026-06-02,2026-06-02 13:34:00+00:00,13,504.1,70,509.711922,0.0200860085042312,-0.008203304297049624,0.0128760535446137
AMD,2026-06-03,2026-06-03 12:07:00+00:00,13,535.0,54,539.5478880000001,0.003173234550776211,-0.007279961774217995,-0.006946349125548059
META,2025-12-30,2025-12-30 14:32:00+00:00,13,659.18,77,661.247223,0.01659406137120377,-0.0004646114029879383,0.014144145600442182
META,2026-01-22,2026-01-22 13:02:00+00:00,13,624.06,44,629.2658279999999,0.0027558655227025264,-0.02149461705713334,0.002199661793807172
