symbol,direction,n,wr,pf,ev,total
FCX,LONG,31,0.5161290322580645,2.1996712912740803,0.001973652769515422,0.06118323585497809
NEM,LONG,22,0.5,2.12692863506799,0.001624164464639396,0.03573161822206671
MU,LONG,41,0.5853658536585366,2.011824523247069,0.0014264257913092825,0.05848345744368058
KLAC,LONG,22,0.5454545454545454,1.8972576326187292,0.0013866708867743996,0.03050675950903679
SCCO,LONG,21,0.5714285714285714,1.803481064920918,0.0011707866945990526,0.024586520586580105
TER,SHORT,31,0.5483870967741935,1.802800535633151,0.0012326872740689675,0.038213305496137995
PANW,LONG,18,0.5,1.715002420634656,0.0012155041150789152,0.021879074071420472
CRWD,LONG,27,0.5185185185185185,1.574050842200827,0.0009397424898250574,0.02537304722527655
QCOM,LONG,21,0.5238095238095238,1.4486376545012678,0.0006665465180248445,0.013997476878521736
TSLA,LONG,26,0.4230769230769231,1.4458136058102748,0.0007721902310849592,0.02007694600820894
MSFT,LONG,21,0.47619047619047616,1.4195071066477996,0.0006195695647712216,0.013010960860195653
NET,SHORT,37,0.5135135135135135,1.4171005621111452,0.0006560549772496256,0.024274034158236146
TER,LONG,32,0.46875,1.2932222386251877,0.0005296326685167455,0.016948245392535855
CORZ,LONG,48,0.4791666666666667,1.2885265233854266,0.0005109323851616925,0.02452475448776124
APP,LONG,42,0.40476190476190477,1.2839094489097427,0.0005645315296096031,0.02371032424360333
DDOG,LONG,30,0.4666666666666667,1.2750761911694344,0.0004988048266539078,0.014964144799617236
HOOD,LONG,42,0.42857142857142855,1.2314883374766386,0.00044974876995461203,0.018889448338093705
COIN,LONG,44,0.4772727272727273,1.2262963329487957,0.00040219030083172343,0.01769637323659583
QCOM,SHORT,36,0.4722222222222222,1.2201844031629328,0.00039510867900904064,0.014223912444325464
NET,LONG,35,0.4,1.1884659900337313,0.0003844706196688116,0.013456471688408406
META,SHORT,16,0.5,1.1658445207213852,0.00026940675623549613,0.004310508099767938
ZS,LONG,32,0.4375,1.1576543309568572,0.00030151390795498946,0.009648445054559663
MDB,LONG,38,0.42105263157894735,1.057350219575634,0.00010833842657819881,0.004116860209971555
SMCI,LONG,40,0.375,1.0504864407750494,0.00010728368664697993,0.004291347465879197
SCCO,SHORT,19,0.42105263157894735,1.0230036452771338,4.5280859650779266e-05,0.000860336333364806
MU,SHORT,55,0.36363636363636365,1.0048916027512729,1.058364958911737e-05,0.0005821007274014554
PLTR,LONG,60,0.36666666666666664,1.0041305184249552,8.725335771041087e-06,0.0005235201462624652
AMZN,LONG,16,0.4375,0.9928774342877138,-1.2867960712833624e-05,-0.000205887371405338
TSLA,SHORT,43,0.5116279069767442,0.949284711252319,-8.311608525982795e-05,-0.0035739916661726018
AVGO,SHORT,29,0.3103448275862069,0.8316522639437893,-0.00039474641558008,-0.011447646051822321
META,LONG,18,0.3888888888888889,0.7974921800702297,-0.00038898272177092895,-0.007001688991876721
AMD,SHORT,34,0.35294117647058826,0.793782567308413,-0.00044459675679486734,-0.01511628973102549
CRWD,SHORT,42,0.38095238095238093,0.7869437200512187,-0.0004484327416064824,-0.01883417514747226
APP,SHORT,39,0.358974358974359,0.7838031058199354,-0.0004711983591103971,-0.018376736005305486
FCX,SHORT,24,0.3333333333333333,0.7364683227672646,-0.0005656887318925466,-0.01357652956542112
NEM,SHORT,23,0.43478260869565216,0.7340672595131409,-0.0005110533534573552,-0.01175422712951917
COIN,SHORT,45,0.3333333333333333,0.7315031751476331,-0.0006085928029986986,-0.027386676134941435
HOOD,SHORT,42,0.3333333333333333,0.7311468391564071,-0.0005926624293501709,-0.024891822032707175
CORZ,SHORT,32,0.28125,0.6899073933252109,-0.0007577888075615157,-0.024249241841968503
AVGO,LONG,32,0.375,0.668978136298074,-0.0007034214603665927,-0.022509486731730966
DDOG,SHORT,36,0.3333333333333333,0.5577159177322217,-0.0010025105864736308,-0.036090381113050705
AAPL,SHORT,14,0.2857142857142857,0.5401938673935164,-0.0008242580685088898,-0.011539612959124456
KLAC,SHORT,34,0.3235294117647059,0.5356754329234695,-0.00106794650427602,-0.03631018114538468
SMCI,SHORT,44,0.2727272727272727,0.4651602530527998,-0.0013045259711024317,-0.05739914272850699
PANW,SHORT,38,0.2631578947368421,0.45747663946684813,-0.001359163787440949,-0.051648223922756066
ZS,SHORT,38,0.3157894736842105,0.4540399749576007,-0.001225898399173575,-0.046584139168595856
NVDA,SHORT,21,0.23809523809523808,0.4399315494131895,-0.0013234756041005044,-0.02779298768611059
MDB,SHORT,30,0.3333333333333333,0.4059497571977431,-0.001346513883685116,-0.040395416510553485
AMZN,SHORT,15,0.26666666666666666,0.4000049512739254,-0.0013913216708297226,-0.020869825062445838
MSFT,SHORT,16,0.25,0.38054217301803156,-0.001429358422526521,-0.022869734760424337
PLTR,SHORT,66,0.24242424242424243,0.3633559490997725,-0.0016398407371672524,-0.10822948865303866
AMD,LONG,39,0.2564102564102564,0.3438583048844208,-0.001658860798420413,-0.06469557113839611
NVDA,LONG,19,0.2631578947368421,0.1966839293291996,-0.0020125181559963214,-0.03823784496393011
AAPL,LONG,13,0.15384615384615385,0.06826588374630017,-0.0020748190762564633,-0.026972647991334024
