Symbol,Side,Trades,WR,PF,EV%,Total%
PANW,LONG,143,50.349650349650354,1.2090048719145556,0.04105255303907729,5.870515084588052
MSFT,LONG,55,50.90909090909091,1.1361826516639313,0.025929085646481186,1.4260997105564652
AVGO,SHORT,169,47.337278106508876,1.0354440905234203,0.007410803592979445,1.2524258072135261
AAPL,SHORT,57,43.859649122807014,1.018392053468578,0.003947978494740165,0.2250347742001894
SMCI,SHORT,299,49.49832775919732,1.0059483028745788,0.0011965281418784806,0.35776191442166566
AAPL,LONG,71,46.478873239436616,0.9793028358190886,-0.004251744647688283,-0.3018738699858681
MSFT,SHORT,79,44.303797468354425,0.9791071754701828,-0.00454515649207372,-0.35906736287382396
NVDA,LONG,121,47.107438016528924,0.9721934245416489,-0.0057782536324243565,-0.6991686895233471
HOOD,SHORT,281,48.39857651245551,0.9694346255324756,-0.00630886732781643,-1.772791719116417
COIN,LONG,187,49.73262032085562,0.9568616361310166,-0.008673810061357045,-1.6220024814737672
AMZN,LONG,66,46.96969696969697,0.9504514058270611,-0.010510307854865796,-0.6936803184211425
APP,SHORT,299,48.49498327759198,0.9416209466449713,-0.012027256477156426,-3.5961496866697718
AVGO,LONG,148,45.94594594594595,0.9098866249255325,-0.019366563850660205,-2.8662514498977107
AMD,SHORT,192,46.875,0.8861712865085175,-0.024188601616940003,-4.644211510452481
META,SHORT,105,42.857142857142854,0.8684620369619404,-0.029393349514676714,-3.086301699041055
PLTR,SHORT,223,45.2914798206278,0.8610112000085519,-0.030275193404467167,-6.7513681291961785
NVDA,SHORT,125,41.6,0.8453306781195037,-0.03528920627386574,-4.411150784233217
AMZN,SHORT,93,43.01075268817204,0.8308086926199267,-0.03856834103717798,-3.5868557164575523
COIN,SHORT,306,45.09803921568628,0.8298824105097272,-0.037228287861543544,-11.391856085632325
NET,LONG,248,41.935483870967744,0.768799147360458,-0.053596640549546014,-13.291966856287413
TSLA,SHORT,168,42.26190476190476,0.7659315536831249,-0.052889469952139646,-8.88543095195946
NET,SHORT,227,41.85022026431718,0.7336161153744667,-0.06196065686444126,-14.065069108228165
DDOG,SHORT,209,41.62679425837321,0.7230684765252346,-0.06466152318453845,-13.514258345568535
MU,LONG,278,43.884892086330936,0.7208920277438505,-0.06264869593087674,-17.416337468783734
ZS,SHORT,249,41.76706827309237,0.7198182806599672,-0.06526321173382292,-16.250539721721907
CRWD,LONG,230,41.73913043478261,0.7044751775591397,-0.06855789955268345,-15.768316897117193
META,LONG,89,39.325842696629216,0.699766461401176,-0.07125441230055132,-6.341642694749068
SMCI,LONG,241,45.643153526970956,0.6976918084725158,-0.06573007981759411,-15.840949236040181
DDOG,LONG,183,43.71584699453552,0.6912721062526163,-0.06950595203493007,-12.719589222392202
ZS,LONG,208,41.82692307692308,0.6896141446365557,-0.07222440095957065,-15.022675399590696
AMD,LONG,246,43.08943089430895,0.6797915289665188,-0.0723930873810332,-17.808699495734164
PANW,SHORT,152,38.15789473684211,0.6687758650921207,-0.08193439126668592,-12.454027472536259
QCOM,LONG,162,42.592592592592595,0.6512017213349762,-0.07963411920373402,-12.90072731100491
QCOM,SHORT,156,40.38461538461539,0.6377570383241288,-0.08485935847856968,-13.23805992265687
APP,LONG,268,42.16417910447761,0.6371450047643756,-0.08394406606197281,-22.49700970460871
CRWD,SHORT,175,38.285714285714285,0.6183083974775611,-0.09422329845125346,-16.489077228969357
HOOD,LONG,217,42.3963133640553,0.6017713822298668,-0.09175774602998457,-19.91143088850665
PLTR,LONG,195,38.97435897435898,0.5966965520817916,-0.09795817925031305,-19.10184495381105
TSLA,LONG,168,39.88095238095239,0.5951416286649781,-0.09650829638943535,-16.21339379342514
MU,SHORT,277,40.07220216606498,0.589697601353482,-0.09835407678746858,-27.244079270128797
