date,side,pm_low,ep,gap_pct,mfe_15m,mae_15m,mfe_30m,mae_30m,mfe_60m,mae_60m,hit_+0.50%,hit_+0.75%,hit_+1.00%,pm_high
2026-01-14,short,622.23,622.04,-0.6847237961470263,0.45173943797825633,0.22667352581828853,0.7700469423188161,0.22667352581828853,0.7700469423188161,0.22667352581828853,True,True,False,
2026-01-14,long,,623.19,-0.6847237961470263,0.041720823504868644,0.6354402349203351,0.041720823504868644,0.9531603523805025,0.041720823504868644,0.9531603523805025,False,False,False,623.15
2026-01-30,long,,627.18,-0.6336451269672392,0.17156159316305078,0.3156988424375625,0.17156159316305078,0.34280429860645706,0.17156159316305078,0.47673714085268915,False,False,False,625.9
2026-01-30,short,625.0,624.73,-0.6336451269672392,0.08643734093127649,0.454596385638601,0.08643734093127649,0.5410337265698774,0.15686776687529302,0.5410337265698774,False,False,False,
2026-02-05,short,599.69,598.81,-0.9881227317716939,0.24381690352531232,0.9026235366810986,0.24381690352531232,1.0019872747616108,0.6496217498037753,1.0019872747616108,True,False,False,
2026-02-05,long,,602.99,-0.9881227317716939,0.30182921773162674,0.1724738387037867,0.30182921773162674,0.9734821472992925,0.30182921773162674,1.338330652249631,False,False,False,602.53
2026-02-20,long,,602.35,-0.5452345834507157,0.5959990039013915,0.056445588113228494,1.1006889682078518,0.056445588113228494,1.1006889682078518,0.056445588113228494,True,True,True,601.75
2026-02-27,short,602.7,602.54,-0.9901315249339047,0.004978922561153237,0.5667673515451386,0.004978922561153237,0.7949679689315361,0.004978922561153237,0.8455870149699651,False,False,False,
2026-02-27,long,,606.09,-0.9901315249339047,0.2045900773812485,0.0849708789123705,0.21613951723340516,0.0849708789123705,0.3101849560296318,0.0849708789123705,False,False,False,605.75
2026-03-03,long,,598.06,-1.9274730696488636,0.22238571380798602,0.4130020399290897,0.22238571380798602,0.511654349061958,0.22238571380798602,1.0350132093769757,False,False,False,596.75
2026-03-03,short,594.74,594.72,-1.9274730696488636,0.47921711057304656,0.02017756255044467,0.47921711057304656,0.02017756255044467,0.47921711057304656,0.5683346785041693,False,False,False,
2026-03-06,long,,604.34,-1.379967472195313,0.16546976867326338,0.18699738557766885,0.16546976867326338,0.39878214250257826,0.19194493166098026,0.39878214250257826,False,False,False,604.33
2026-03-12,short,603.59,602.89,-0.7819187462961743,0.3051966362022976,0.207334671333079,0.6070759176632501,0.207334671333079,0.6783990446018398,0.207334671333079,True,False,False,
2026-03-19,short,589.63,588.15,-0.9226890756302536,0.1819263793249913,0.33324832100655216,0.1819263793249913,0.6443934370483853,0.1819263793249913,0.7175040380855271,False,False,False,
2026-03-19,long,,591.61,-0.9226890756302536,0.055779990196251066,0.21635874985209388,0.12846300772468194,0.3416101823836578,0.12846300772468194,0.43271749970420703,False,False,False,591.47
2026-03-26,short,581.32,581.32,-0.9301771928034408,0.1496593958577039,0.37500860111469586,0.1496593958577039,0.5315488887359661,0.1496593958577039,0.5693937934356198,False,False,False,
2026-03-26,long,,582.6,-0.9301771928034408,0.3106762787504197,0.07037418468931826,0.3484380363885981,0.07037418468931826,0.3484380363885981,0.1596292481977452,False,False,False,582.34
2026-03-27,long,,570.56,-0.5349643647516075,0.015773976444200758,0.4662086371284297,0.015773976444200758,0.7729248457655581,0.015773976444200758,0.7729248457655581,False,False,False,570.54
2026-03-27,short,569.41,569.02,-0.5349643647516075,0.19682963691961697,0.2803064918632082,0.5043759446065172,0.2803064918632082,0.5043759446065172,0.2803064918632082,True,False,False,
2026-04-02,long,,574.72,-1.7729707528280274,0.098969933184857,0.48719376391983366,0.5219933184855234,0.48719376391983366,1.266703786191532,0.48719376391983366,True,True,True,573.36
2026-04-28,long,,658.555,-0.9670422365487678,0.16475465223102648,0.23612302693016532,0.16475465223102648,0.23612302693016532,0.16475465223102648,0.6066311849427921,False,False,False,657.81
2026-04-28,short,654.77,654.68,-0.9670422365487678,0.12525203152684308,0.2428667440581707,0.12525203152684308,0.2657787010447866,0.12525203152684308,0.2657787010447866,False,False,False,
2026-05-12,long,,708.82,-0.6954961018565151,0.19186817527720718,0.27369430885133805,0.19186817527720718,0.5159278801388277,0.19186817527720718,0.8041533816765957,False,False,False,708.78
2026-05-12,short,705.99,705.92,-0.6954961018565151,0.10723594741613048,0.2904011786038175,0.33431550317316605,0.36264732547598305,0.4518925657298194,0.36264732547598305,False,False,False,
2026-05-15,short,710.06,709.6,-1.3420208110473553,0.5425591882750878,0.04791431792559637,0.5707440811725011,0.1056933483652762,0.5707440811725011,0.4326381059751883,True,False,False,
2026-05-15,long,,710.68,-1.3420208110473553,0.2800135081893411,0.10271852310461875,0.2800135081893411,0.10271852310461875,0.2800135081893411,0.20262284009680037,False,False,False,710.24
2026-05-19,long,,701.99,-0.8135151223107243,0.44729981908574,0.24216869186171391,0.44729981908574,0.24216869186171391,0.44729981908574,0.9601276371458295,False,False,False,701.62
2026-05-19,short,699.57,699.4101,-0.8135151223107243,0.5919416948654409,0.1286655711720332,0.5948012475084441,0.1286655711720332,0.5948012475084441,0.1286655711720332,True,False,False,
2026-05-21,short,708.91,708.62,-0.5065955655346637,0.09596116395246394,0.22861336118088746,0.09596116395246394,0.40077897886032454,0.26107081369422575,0.46146030312438,False,False,False,
2026-05-21,long,,710.21,-0.5065955655346637,0.004224102730174556,0.2689345404880362,0.23654975288998323,0.2689345404880362,0.23654975288998323,0.4843637797271306,False,False,False,709.9
