date,side,gap_pct,config,exit_bars,ep,K,delta,opt_entry,opt_exit,und_move,pnl_pct,pnl_dollar
2026-01-14,short,-0.685,0DTE ATM,15,622.04,622,0.489,3.041,3.869,0.3087,27.23,82.8
2026-01-14,short,-0.685,0DTE ATM,30,622.04,622,0.489,3.041,5.396,0.6945,77.42,235.45
2026-01-14,short,-0.685,0DTE ATM,60,622.04,622,0.489,3.041,4.776,0.5755,57.05,173.49
2026-01-14,short,-0.685,1DTE ATM,15,622.04,622,0.486,4.276,5.02,0.3087,17.41,74.44
2026-01-14,short,-0.685,1DTE ATM,30,622.04,622,0.486,4.276,6.436,0.6945,50.51,215.97
2026-01-14,short,-0.685,1DTE ATM,60,622.04,622,0.486,4.276,5.892,0.5755,37.79,161.6
2026-01-14,short,-0.685,0DTE ~45d,15,622.04,621,0.438,2.573,3.298,0.3087,28.21,72.57
2026-01-14,short,-0.685,0DTE ~45d,30,622.04,621,0.438,2.573,4.697,0.6945,82.59,212.46
2026-01-14,short,-0.685,0DTE ~45d,60,622.04,621,0.438,2.573,4.108,0.5755,59.67,153.51
2026-01-14,short,-0.685,1DTE ~45d,15,622.04,621,0.45,3.801,4.474,0.3087,17.7,67.27
2026-01-14,short,-0.685,1DTE ~45d,30,622.04,621,0.45,3.801,5.798,0.6945,52.54,199.7
2026-01-14,short,-0.685,1DTE ~45d,60,622.04,621,0.45,3.801,5.279,0.5755,38.89,147.82
2026-01-14,long,-0.685,0DTE ATM,15,621.06,621,0.512,3.201,2.579,-0.1336,-19.42,-62.17
2026-01-14,long,-0.685,0DTE ATM,30,621.06,621,0.512,3.201,1.526,-0.5362,-52.31,-167.46
2026-01-14,long,-0.685,0DTE ATM,60,621.06,621,0.512,3.201,1.778,-0.3687,-44.44,-142.26
2026-01-14,long,-0.685,1DTE ATM,15,621.06,621,0.515,4.559,3.882,-0.1336,-14.85,-67.73
2026-01-14,long,-0.685,1DTE ATM,30,621.06,621,0.515,4.559,2.753,-0.5362,-39.62,-180.65
2026-01-14,long,-0.685,1DTE ATM,60,621.06,621,0.515,4.559,3.09,-0.3687,-32.22,-146.92
2026-01-14,long,-0.685,0DTE ~45d,15,621.06,622,0.461,2.72,2.145,-0.1336,-21.14,-57.51
2026-01-14,long,-0.685,0DTE ~45d,30,621.06,622,0.461,2.72,1.225,-0.5362,-54.95,-149.46
2026-01-14,long,-0.685,0DTE ~45d,60,621.06,622,0.461,2.72,1.431,-0.3687,-47.39,-128.9
2026-01-14,long,-0.685,1DTE ~45d,15,621.06,623,0.443,3.617,3.006,-0.1336,-16.89,-61.1
2026-01-14,long,-0.685,1DTE ~45d,30,621.06,623,0.443,3.617,2.064,-0.5362,-42.92,-155.24
2026-01-14,long,-0.685,1DTE ~45d,60,621.06,623,0.443,3.617,2.331,-0.3687,-35.56,-128.6
2026-01-30,long,-0.634,0DTE ATM,15,627.18,627,0.518,3.302,2.621,-0.1499,-20.64,-68.14
2026-01-30,long,-0.634,0DTE ATM,30,627.18,627,0.518,3.302,2.522,-0.1626,-23.62,-77.99
2026-01-30,long,-0.634,0DTE ATM,60,627.18,627,0.518,3.302,1.797,-0.3906,-45.58,-150.51
2026-01-30,long,-0.634,1DTE ATM,15,627.18,627,0.519,4.671,3.934,-0.1499,-15.78,-73.73
2026-01-30,long,-0.634,1DTE ATM,30,627.18,627,0.519,4.671,3.852,-0.1626,-17.54,-81.95
2026-01-30,long,-0.634,1DTE ATM,60,627.18,627,0.519,4.671,3.118,-0.3906,-33.25,-155.32
2026-01-30,long,-0.634,0DTE ~45d,15,627.18,628,0.467,2.814,2.185,-0.1499,-22.38,-62.98
2026-01-30,long,-0.634,0DTE ~45d,30,627.18,628,0.467,2.814,2.092,-0.1626,-25.67,-72.25
2026-01-30,long,-0.634,0DTE ~45d,60,627.18,628,0.467,2.814,1.449,-0.3906,-48.5,-136.49
2026-01-30,long,-0.634,1DTE ~45d,15,627.18,628,0.483,4.177,3.476,-0.1499,-16.79,-70.16
