sym,time,open,high,low,close,volume,trade_count,vwap
QQQ,2025-12-08 08:00:00-05:00,627.55,627.55,627.52,627.52,342.0,6.0,627.540323
QQQ,2025-12-08 08:01:00-05:00,627.54,627.54,627.54,627.54,100.0,2.0,627.54
QQQ,2025-12-08 08:03:00-05:00,627.54,627.54,627.54,627.54,50.0,1.0,627.54
QQQ,2025-12-08 08:04:00-05:00,627.51,627.51,627.51,627.51,50.0,1.0,627.51
QQQ,2025-12-08 08:06:00-05:00,627.54,627.6,627.54,627.6,101.0,3.0,627.57
QQQ,2025-12-08 08:13:00-05:00,627.62,627.71,627.62,627.71,380.0,4.0,627.639474
QQQ,2025-12-08 08:14:00-05:00,627.73,627.73,627.73,627.73,200.0,3.0,627.73
QQQ,2025-12-08 08:16:00-05:00,627.73,627.75,627.73,627.75,300.0,3.0,627.736667
QQQ,2025-12-08 08:18:00-05:00,627.82,627.82,627.82,627.82,80.0,2.0,627.82
QQQ,2025-12-08 08:19:00-05:00,627.8,627.8,627.8,627.8,50.0,1.0,627.8
QQQ,2025-12-08 08:20:00-05:00,628.11,628.11,628.11,628.11,215.0,5.0,628.11
QQQ,2025-12-08 08:21:00-05:00,628.13,628.13,628.06,628.06,615.0,6.0,628.116897
QQQ,2025-12-08 08:22:00-05:00,627.94,627.94,627.93,627.93,166.0,2.0,627.936024
QQQ,2025-12-08 08:24:00-05:00,627.48,627.48,627.48,627.48,108.0,1.0,627.48
QQQ,2025-12-08 08:25:00-05:00,627.51,627.51,627.51,627.51,200.0,1.0,627.51
QQQ,2025-12-08 08:30:00-05:00,627.63,627.63,627.63,627.63,50.0,1.0,627.63
QQQ,2025-12-08 08:33:00-05:00,627.22,627.22,627.22,627.22,40.0,1.0,627.22
QQQ,2025-12-08 08:39:00-05:00,627.21,627.24,627.21,627.24,240.0,4.0,627.215
QQQ,2025-12-08 08:40:00-05:00,627.22,627.22,627.22,627.22,50.0,1.0,627.22
QQQ,2025-12-08 08:50:00-05:00,627.43,627.43,627.43,627.43,50.0,1.0,627.43
QQQ,2025-12-08 08:58:00-05:00,627.59,627.59,627.59,627.59,150.0,2.0,627.59
QQQ,2025-12-08 09:04:00-05:00,627.86,627.86,627.86,627.86,150.0,1.0,627.86
QQQ,2025-12-08 09:09:00-05:00,627.82,627.82,627.82,627.82,280.0,1.0,627.82
QQQ,2025-12-08 09:18:00-05:00,627.56,627.56,627.56,627.56,59.0,2.0,627.56
QQQ,2025-12-08 09:20:00-05:00,627.78,627.83,627.78,627.83,250.0,4.0,627.796
QQQ,2025-12-08 09:21:00-05:00,627.81,627.84,627.81,627.84,300.0,4.0,627.83
QQQ,2025-12-08 09:27:00-05:00,627.13,627.13,627.12,627.12,600.0,2.0,627.125
QQQ,2025-12-09 08:05:00-05:00,624.06,624.06,624.06,624.06,40.0,1.0,624.06
QQQ,2025-12-09 08:15:00-05:00,623.8,623.8,623.8,623.8,100.0,1.0,623.8
QQQ,2025-12-09 08:16:00-05:00,623.83,623.83,623.83,623.83,200.0,1.0,623.83
QQQ,2025-12-09 08:21:00-05:00,623.88,623.89,623.88,623.89,580.0,6.0,623.883636
QQQ,2025-12-09 08:25:00-05:00,623.73,623.73,623.73,623.73,200.0,1.0,623.73
QQQ,2025-12-09 08:27:00-05:00,623.82,623.83,623.82,623.83,180.0,3.0,623.826667
QQQ,2025-12-09 08:34:00-05:00,623.25,623.25,623.25,623.25,160.0,1.0,623.25
QQQ,2025-12-09 08:36:00-05:00,623.06,623.06,622.81,622.81,400.0,6.0,623.0
QQQ,2025-12-09 08:37:00-05:00,623.16,623.16,623.14,623.14,580.0,4.0,623.147143
QQQ,2025-12-09 08:43:00-05:00,623.24,623.24,623.24,623.24,50.0,1.0,623.24
QQQ,2025-12-09 08:51:00-05:00,623.02,623.02,623.02,623.02,200.0,1.0,623.02
QQQ,2025-12-09 09:10:00-05:00,622.8,622.8,622.8,622.8,200.0,1.0,622.8
QQQ,2025-12-09 09:14:00-05:00,623.01,623.01,623.01,623.01,200.0,1.0,623.01
QQQ,2025-12-09 09:16:00-05:00,622.88,622.88,622.88,622.88,200.0,1.0,622.88
QQQ,2025-12-09 09:20:00-05:00,622.73,622.73,622.73,622.73,50.0,1.0,622.73
QQQ,2025-12-09 09:24:00-05:00,622.72,622.72,622.72,622.72,55.0,1.0,622.72
QQQ,2025-12-09 09:26:00-05:00,622.56,622.56,622.56,622.56,280.0,1.0,622.56
QQQ,2025-12-10 08:14:00-05:00,624.3,624.3,624.3,624.3,206.0,2.0,624.3
QQQ,2025-12-10 08:15:00-05:00,624.23,624.23,624.23,624.23,40.0,1.0,624.23
QQQ,2025-12-10 08:19:00-05:00,624.4,624.4,624.4,624.4,100.0,1.0,624.4
QQQ,2025-12-10 08:20:00-05:00,624.76,624.78,624.76,624.78,180.0,4.0,624.77
QQQ,2025-12-10 08:22:00-05:00,625.12,625.12,625.12,625.12,91.0,3.0,625.12
QQQ,2025-12-10 08:30:00-05:00,625.17,625.17,625.17,625.17,75.0,2.0,625.17
QQQ,2025-12-10 08:34:00-05:00,624.73,624.73,624.73,624.73,200.0,1.0,624.73
QQQ,2025-12-10 08:38:00-05:00,624.73,624.73,624.73,624.73,50.0,1.0,624.73
QQQ,2025-12-10 09:00:00-05:00,624.57,624.57,624.57,624.57,50.0,1.0,624.57
QQQ,2025-12-10 09:09:00-05:00,624.19,624.19,624.19,624.19,226.0,2.0,624.19
QQQ,2025-12-10 09:17:00-05:00,624.04,624.04,624.04,624.04,127.0,3.0,624.04
QQQ,2025-12-10 09:29:00-05:00,623.8,623.8,623.8,623.8,160.0,1.0,623.8
QQQ,2025-12-11 08:17:00-05:00,624.73,624.74,624.73,624.74,96.0,2.0,624.734792
QQQ,2025-12-11 08:28:00-05:00,624.53,624.53,624.53,624.53,200.0,1.0,624.53
QQQ,2025-12-11 08:31:00-05:00,624.13,624.13,624.11,624.11,430.0,5.0,624.1175
QQQ,2025-12-11 08:32:00-05:00,624.02,624.02,624.02,624.02,100.0,2.0,624.02
QQQ,2025-12-11 08:33:00-05:00,624.09,624.09,624.09,624.09,70.0,2.0,624.09
QQQ,2025-12-11 08:37:00-05:00,624.08,624.08,624.05,624.07,620.0,8.0,624.068305
QQQ,2025-12-11 08:42:00-05:00,623.62,623.63,623.62,623.63,150.0,2.0,623.623333
QQQ,2025-12-11 08:43:00-05:00,623.7,623.7,623.7,623.7,40.0,1.0,623.7
QQQ,2025-12-11 08:46:00-05:00,623.91,623.91,623.9,623.9,430.0,6.0,623.90375
QQQ,2025-12-11 08:47:00-05:00,623.73,623.75,623.73,623.75,300.0,4.0,623.743333
QQQ,2025-12-11 08:48:00-05:00,623.79,623.79,623.79,623.79,50.0,1.0,623.79
QQQ,2025-12-11 08:56:00-05:00,623.95,623.95,623.95,623.95,300.0,1.0,623.95
QQQ,2025-12-11 09:10:00-05:00,624.13,624.39,624.13,624.39,443.0,5.0,624.219571
QQQ,2025-12-11 09:11:00-05:00,624.49,624.49,624.49,624.49,300.0,1.0,624.49
QQQ,2025-12-11 09:17:00-05:00,624.3,624.3,624.3,624.3,135.0,1.0,624.3
QQQ,2025-12-11 09:18:00-05:00,624.39,624.39,624.39,624.39,50.0,1.0,624.39
QQQ,2025-12-11 09:22:00-05:00,624.48,624.62,624.48,624.62,480.0,7.0,624.527778
QQQ,2025-12-11 09:24:00-05:00,624.27,624.27,624.25,624.25,142.0,3.0,624.26
QQQ,2025-12-11 09:29:00-05:00,623.9,623.94,623.89,623.94,700.0,3.0,623.901429
QQQ,2025-12-12 08:26:00-05:00,622.91,622.91,622.91,622.91,40.0,1.0,622.91
QQQ,2025-12-12 08:30:00-05:00,622.75,622.75,622.75,622.75,40.0,1.0,622.75
QQQ,2025-12-12 08:37:00-05:00,622.69,622.69,622.69,622.69,50.0,1.0,622.69
QQQ,2025-12-12 08:53:00-05:00,623.4,623.4,623.4,623.4,40.0,1.0,623.4
