date,side,ep,mfe_5m,mae_5m,mfe_10m,mae_10m,mfe_15m,mae_15m,hit_+0.25%,hit_+0.50%,hit_+0.75%
2025-12-15,short,612.13,0.10618659435086947,0.037573718001081176,0.1143547939163324,0.09899857873327472,0.1143547939163324,0.17479947070067633,False,False,False
2025-12-15,short,611.79,0.05067098187285596,0.09316922473398552,0.058843720884619505,0.20431847529380998,0.058843720884619505,0.23047124013143103,False,False,False
2025-12-15,short,611.71,0.02613983750469884,0.10625950205162205,0.04577332396071446,0.21742328881331469,0.04577332396071446,0.24357947393372822,False,False,False
2025-12-15,long,614.29,0.10092952839863983,0.00813947809665704,0.10092952839863983,0.220124045646181,0.10092952839863983,0.3809275749238826,False,False,False
2025-12-15,long,614.41,0.08137888380722971,0.03255155352288078,0.08137888380722971,0.25552969515469093,0.08137888380722971,0.4003841083315576,False,False,False
2025-12-16,long,611.195,0.1300730536080889,0.13661760976448373,0.21188000556286601,0.13661760976448373,0.21188000556286601,0.14970672207725474,False,False,False
2025-12-16,long,610.7,0.2538071065989773,0.05567381693139541,0.2931062714917248,0.06877353856231747,0.2931062714917248,0.06877353856231747,True,False,False
2025-12-16,long,610.77,0.28161173600537476,0.039294660837960134,0.28161173600537476,0.08022659921083372,0.28161173600537476,0.1178839825138804,True,False,False
2025-12-16,short,609.29,0.19530929442464853,0.031183836924954387,0.3807710613993232,0.031183836924954387,0.3807710613993232,0.057443910124903214,True,False,False
2025-12-16,short,609.31,0.3151105348673022,0.021335609131658623,0.38404096436951934,0.021335609131658623,0.38404096436951934,0.05415962318032544,True,False,False
2025-12-16,short,609.31,0.35925883376277506,0.014770806321910333,0.38404096436951934,0.034465214751117884,0.38404096436951934,0.05415962318032544,True,False,False
2025-12-17,short,611.13,0.36653412530885554,0.044180452604189256,0.36653412530885554,0.044180452604189256,0.36653412530885554,0.044180452604189256,True,False,False
2025-12-17,short,610.67,0.3504347683691661,0.058918892364135105,0.5190364681415406,0.058918892364135105,0.8515237362241362,0.058918892364135105,True,True,True
