date,side,entry_dist,mfe_5m,mae_5m,mfe_10m,mae_10m,mfe_15m,mae_15m,hit_+0.25%,hit_+0.50%,hit_+0.60%,hit_+0.75%,hit_+1.00%
2025-12-15,long,0.43699758500707403,0.0559,0.0853,0.2192,0.0853,0.2192,0.0853,False,False,False,False,False
2025-12-16,long,0.4132792984909302,0.3119,0.0207,0.3119,0.0207,0.3119,0.0207,True,False,False,False,False
2025-12-17,long,0.41158847503030316,0.111,0.0459,0.111,0.219,0.111,0.2442,False,False,False,False,False
2025-12-17,long,0.4123511556073059,0.0119,0.1868,0.0445,0.1868,0.1037,0.1868,False,False,False,False,False
2025-12-17,long,0.47822033984800166,0.1529,0.0141,0.1529,0.0141,0.1529,0.098,False,False,False,False,False
2025-12-17,long,0.4202264153822093,0.0624,0.0282,0.0827,0.0282,0.0827,0.0297,False,False,False,False,False
2025-12-17,long,0.42838394077178554,0.0847,0.0015,0.0847,0.1441,0.0847,0.1441,False,False,False,False,False
2025-12-18,long,0.46240843251676306,0.1851,0.0118,0.1851,0.0592,0.1851,0.0592,False,False,False,False,False
2026-01-02,long,0.42838676240631207,0.0616,0.0909,0.1862,0.0909,0.2565,0.0909,True,False,False,False,False
2026-01-02,long,0.40540043942548076,0.0161,0.1145,0.0455,0.1145,0.1291,0.1526,False,False,False,False,False
2026-01-02,long,0.4336466139170814,0.0632,0.0338,0.1176,0.0338,0.1403,0.0338,False,False,False,False,False
2026-01-02,long,0.4098380766452636,0.0581,0.0537,0.1051,0.0537,0.2095,0.0537,False,False,False,False,False
2026-01-20,long,0.43163955630287587,0.0088,0.0662,0.0088,0.0853,0.0088,0.1692,False,False,False,False,False
2026-01-20,long,0.5138411721772136,0.0,0.1274,0.056,0.1274,0.056,0.1274,False,False,False,False,False
2026-01-20,long,0.5507851062854022,0.0376,0.07,0.0376,0.0789,0.0376,0.101,False,False,False,False,False
2026-01-21,short,0.4041811132365524,0.1008,0.0095,0.1365,0.0095,0.138,0.0095,False,False,False,False,False
2026-01-21,long,0.4902873613207902,0.101,0.0707,0.2365,0.0707,0.2535,0.0707,True,False,False,False,False
2026-01-21,short,0.43700343817868764,0.0117,0.1958,0.0117,0.3317,0.0117,0.4851,False,False,False,False,False
2026-01-21,short,0.7944639455011195,0.0378,0.1397,0.0378,0.2022,0.0378,0.2022,False,False,False,False,False
2026-01-21,short,0.8599464911175732,0.1075,0.0603,0.2005,0.0603,0.2005,0.0603,False,False,False,False,False
2026-01-29,long,0.4966676411345634,0.0376,0.1419,0.0391,0.1419,0.0391,0.2389,False,False,False,False,False
2026-01-29,long,0.48314755431887535,0.0493,0.193,0.0493,0.2975,0.0493,0.3875,False,False,False,False,False
