sym,time,open,high,low,close,volume,trade_count,vwap
SPY,2025-12-08 08:00:00-05:00,686.77,686.82,686.77,686.82,200.0,3.0,686.795
SPY,2025-12-08 08:02:00-05:00,686.77,686.77,686.77,686.77,100.0,1.0,686.77
SPY,2025-12-08 08:03:00-05:00,686.77,686.77,686.77,686.77,100.0,1.0,686.77
SPY,2025-12-08 08:06:00-05:00,686.8,686.8,686.8,686.8,50.0,1.0,686.8
SPY,2025-12-08 08:10:00-05:00,686.81,686.81,686.81,686.81,50.0,1.0,686.81
SPY,2025-12-08 08:13:00-05:00,687.02,687.02,687.02,687.02,100.0,1.0,687.02
SPY,2025-12-08 08:21:00-05:00,687.21,687.21,687.21,687.21,105.0,2.0,687.21
SPY,2025-12-08 08:22:00-05:00,686.94,686.94,686.94,686.94,125.0,2.0,686.94
SPY,2025-12-08 08:23:00-05:00,686.91,686.91,686.91,686.91,165.0,5.0,686.91
SPY,2025-12-08 08:26:00-05:00,686.96,686.96,686.96,686.96,100.0,1.0,686.96
SPY,2025-12-08 08:29:00-05:00,686.94,686.94,686.94,686.94,59.0,2.0,686.94
SPY,2025-12-08 08:32:00-05:00,686.63,686.65,686.54,686.54,300.0,5.0,686.602
SPY,2025-12-08 08:43:00-05:00,686.68,686.68,686.68,686.68,50.0,1.0,686.68
SPY,2025-12-08 08:45:00-05:00,686.79,686.79,686.79,686.79,100.0,1.0,686.79
SPY,2025-12-08 08:46:00-05:00,686.79,686.79,686.79,686.79,100.0,1.0,686.79
SPY,2025-12-08 08:47:00-05:00,686.91,686.92,686.91,686.92,200.0,3.0,686.915
SPY,2025-12-08 08:50:00-05:00,686.87,686.87,686.87,686.87,116.0,2.0,686.87
SPY,2025-12-08 08:52:00-05:00,686.82,686.82,686.82,686.82,100.0,1.0,686.82
SPY,2025-12-08 08:56:00-05:00,686.89,686.89,686.89,686.89,103.0,2.0,686.89
SPY,2025-12-08 09:02:00-05:00,686.96,686.96,686.96,686.96,55.0,10.0,686.96
SPY,2025-12-08 09:04:00-05:00,687.11,687.11,687.11,687.11,93.0,16.0,687.11
SPY,2025-12-08 09:07:00-05:00,687.12,687.12,687.12,687.12,116.0,14.0,687.12
SPY,2025-12-08 09:09:00-05:00,687.09,687.09,687.09,687.09,100.0,1.0,687.09
SPY,2025-12-08 09:14:00-05:00,687.17,687.17,687.17,687.17,193.0,70.0,687.17
SPY,2025-12-08 09:15:00-05:00,686.96,686.96,686.96,686.96,143.0,75.0,686.96
SPY,2025-12-08 09:16:00-05:00,686.97,686.97,686.97,686.97,93.0,39.0,686.97
SPY,2025-12-08 09:22:00-05:00,686.89,686.89,686.89,686.89,133.0,5.0,686.89
SPY,2025-12-08 09:25:00-05:00,686.82,686.82,686.82,686.82,80.0,1.0,686.82
SPY,2025-12-08 09:27:00-05:00,686.77,686.77,686.67,686.67,249.0,16.0,686.714796
SPY,2025-12-08 09:28:00-05:00,686.64,686.64,686.64,686.64,112.0,4.0,686.64
SPY,2025-12-08 09:29:00-05:00,686.71,686.71,686.71,686.71,100.0,1.0,686.71
SPY,2025-12-09 08:04:00-05:00,683.87,683.87,683.87,683.87,100.0,1.0,683.87
SPY,2025-12-09 08:17:00-05:00,683.92,683.95,683.92,683.95,460.0,9.0,683.94
SPY,2025-12-09 08:18:00-05:00,683.95,683.95,683.95,683.95,200.0,2.0,683.95
SPY,2025-12-09 08:20:00-05:00,683.9,683.9,683.9,683.9,101.0,3.0,683.9
SPY,2025-12-09 08:23:00-05:00,683.83,683.85,683.83,683.85,140.0,2.0,683.835714
SPY,2025-12-09 08:34:00-05:00,683.37,683.37,683.37,683.37,52.0,2.0,683.37
SPY,2025-12-09 08:35:00-05:00,683.25,683.25,683.25,683.25,100.0,1.0,683.25
SPY,2025-12-09 08:36:00-05:00,683.16,683.16,683.16,683.16,100.0,3.0,683.16
SPY,2025-12-09 08:37:00-05:00,683.2,683.2,683.2,683.2,61.0,2.0,683.2
SPY,2025-12-09 08:42:00-05:00,683.28,683.28,683.28,683.28,106.0,2.0,683.28
SPY,2025-12-09 08:47:00-05:00,683.45,683.45,683.44,683.44,835.0,11.0,683.447143
SPY,2025-12-09 08:49:00-05:00,683.33,683.33,683.33,683.33,100.0,1.0,683.33
SPY,2025-12-09 08:51:00-05:00,683.26,683.26,683.26,683.26,45.0,1.0,683.26
SPY,2025-12-09 09:06:00-05:00,683.06,683.06,683.06,683.06,384.0,112.0,683.06
SPY,2025-12-09 09:07:00-05:00,683.01,683.01,683.01,683.01,105.0,7.0,683.01
SPY,2025-12-09 09:08:00-05:00,683.06,683.06,683.06,683.06,267.0,64.0,683.06
SPY,2025-12-09 09:09:00-05:00,682.91,682.94,682.91,682.94,298.0,47.0,682.926542
SPY,2025-12-09 09:11:00-05:00,683.0,683.01,683.0,683.01,139.0,14.0,683.004123
SPY,2025-12-09 09:12:00-05:00,683.06,683.06,683.06,683.06,55.0,13.0,683.06
SPY,2025-12-09 09:13:00-05:00,683.04,683.06,683.04,683.06,286.0,58.0,683.052993
SPY,2025-12-09 09:15:00-05:00,683.01,683.01,683.01,683.01,156.0,55.0,683.01
SPY,2025-12-09 09:17:00-05:00,682.94,682.94,682.94,682.94,182.0,10.0,682.94
SPY,2025-12-09 09:19:00-05:00,682.89,682.89,682.89,682.89,211.0,41.0,682.89
SPY,2025-12-09 09:22:00-05:00,683.04,683.09,683.04,683.09,443.0,46.0,683.074436
SPY,2025-12-09 09:23:00-05:00,683.09,683.09,683.09,683.09,368.0,78.0,683.09
SPY,2025-12-09 09:24:00-05:00,682.87,682.87,682.87,682.87,207.0,38.0,682.87
SPY,2025-12-09 09:25:00-05:00,682.92,682.92,682.77,682.77,282.0,36.0,682.853333
SPY,2025-12-09 09:26:00-05:00,682.72,682.72,682.72,682.72,200.0,26.0,682.72
SPY,2025-12-09 09:28:00-05:00,682.87,682.87,682.87,682.87,206.0,57.0,682.87
SPY,2025-12-10 08:18:00-05:00,682.79,682.79,682.79,682.79,65.0,2.0,682.79
SPY,2025-12-10 08:20:00-05:00,683.15,683.19,683.15,683.19,390.0,8.0,683.168571
SPY,2025-12-10 08:29:00-05:00,683.63,683.63,683.53,683.53,201.0,3.0,683.58
SPY,2025-12-10 08:30:00-05:00,683.55,683.71,683.45,683.58,353.0,4.0,683.58881
SPY,2025-12-10 08:31:00-05:00,683.43,683.43,683.43,683.43,57.0,1.0,683.43
SPY,2025-12-10 08:39:00-05:00,683.19,683.21,683.19,683.21,220.0,3.0,683.2
SPY,2025-12-10 08:46:00-05:00,683.09,683.09,683.09,683.09,100.0,1.0,683.09
SPY,2025-12-10 08:48:00-05:00,683.04,683.04,683.04,683.04,70.0,2.0,683.04
SPY,2025-12-10 09:10:00-05:00,682.62,682.62,682.62,682.62,70.0,2.0,682.62
SPY,2025-12-11 08:13:00-05:00,685.25,685.29,685.25,685.29,430.0,8.0,685.277143
SPY,2025-12-11 08:14:00-05:00,685.33,685.33,685.33,685.33,85.0,2.0,685.33
SPY,2025-12-11 08:19:00-05:00,685.53,685.53,685.53,685.53,51.0,2.0,685.53
SPY,2025-12-11 08:26:00-05:00,685.3,685.3,685.3,685.3,99.0,1.0,685.3
SPY,2025-12-11 08:30:00-05:00,685.3,685.3,685.3,685.3,50.0,1.0,685.3
SPY,2025-12-11 08:36:00-05:00,684.98,684.98,684.98,684.98,125.0,1.0,684.98
SPY,2025-12-11 08:37:00-05:00,684.82,684.82,684.82,684.82,50.0,1.0,684.82
SPY,2025-12-11 08:38:00-05:00,684.93,684.93,684.93,684.93,125.0,1.0,684.93
SPY,2025-12-11 08:42:00-05:00,684.9,684.9,684.9,684.9,175.0,2.0,684.9
SPY,2025-12-11 09:06:00-05:00,684.77,684.77,684.77,684.77,50.0,1.0,684.77
SPY,2025-12-11 09:14:00-05:00,685.22,685.24,685.22,685.24,225.0,3.0,685.228889
SPY,2025-12-11 09:22:00-05:00,685.53,685.53,685.53,685.53,325.0,5.0,685.53
SPY,2025-12-12 08:03:00-05:00,688.41,688.41,688.4,688.4,320.0,3.0,688.40625
SPY,2025-12-12 08:04:00-05:00,688.31,688.31,688.31,688.31,50.0,1.0,688.31
SPY,2025-12-12 08:06:00-05:00,688.37,688.37,688.37,688.37,60.0,1.0,688.37
SPY,2025-12-12 08:14:00-05:00,688.75,688.77,688.75,688.77,130.0,2.0,688.757692
SPY,2025-12-12 08:16:00-05:00,688.85,688.85,688.85,688.85,80.0,1.0,688.85
SPY,2025-12-12 08:19:00-05:00,688.71,688.71,688.7,688.7,101.0,3.0,688.705
SPY,2025-12-12 08:22:00-05:00,688.72,688.72,688.72,688.72,100.0,2.0,688.72
SPY,2025-12-12 08:27:00-05:00,688.77,688.77,688.77,688.77,50.0,2.0,688.77
SPY,2025-12-12 08:31:00-05:00,688.88,688.88,688.88,688.88,50.0,1.0,688.88
SPY,2025-12-12 08:35:00-05:00,688.7,688.7,688.68,688.68,160.0,3.0,688.685714
SPY,2025-12-12 08:36:00-05:00,688.73,688.73,688.73,688.73,50.0,1.0,688.73
SPY,2025-12-12 08:37:00-05:00,688.7,688.7,688.6,688.6,232.0,5.0,688.656522
SPY,2025-12-12 08:38:00-05:00,688.6,688.68,688.6,688.68,322.0,7.0,688.65625
SPY,2025-12-12 08:39:00-05:00,688.67,688.67,688.67,688.67,115.0,3.0,688.67
SPY,2025-12-12 08:46:00-05:00,688.74,688.74,688.74,688.74,101.0,2.0,688.74
SPY,2025-12-12 08:48:00-05:00,688.79,688.79,688.79,688.79,50.0,1.0,688.79
SPY,2025-12-12 08:55:00-05:00,689.19,689.2,689.19,689.2,100.0,2.0,689.195
SPY,2025-12-12 08:56:00-05:00,689.24,689.24,689.24,689.24,51.0,2.0,689.24
SPY,2025-12-12 08:58:00-05:00,689.35,689.35,689.35,689.35,50.0,1.0,689.35
SPY,2025-12-12 09:11:00-05:00,689.01,689.01,689.01,689.01,133.0,13.0,689.01
SPY,2025-12-12 09:13:00-05:00,689.01,689.01,689.01,689.01,259.0,13.0,689.01
SPY,2025-12-12 09:14:00-05:00,688.98,688.98,688.95,688.95,90.0,3.0,688.966517
SPY,2025-12-15 08:00:00-05:00,684.93,684.93,684.93,684.93,100.0,1.0,684.93
SPY,2025-12-15 08:04:00-05:00,684.93,684.93,684.93,684.93,40.0,1.0,684.93
