sym,or,tpsl,n,wr,pf,tpd,tot
SPY,OR60,TP1.00/SL0.50,142,2.112676056338028,4.263859769167786,1.1833333333333333,3.7035878669587574
SPY,OR60,TP0.75/SL0.50,142,5.633802816901409,2.3755581006498367,1.1833333333333333,3.474277729364429
SPY,OR30,TP1.00/SL0.50,165,1.8181818181818181,1.6548006427469244,1.3306451612903225,1.1870927998794558
QQQ,OR15,TP1.00/SL0.50,172,6.395348837209303,1.4544373251200635,1.3870967741935485,3.4369377696684524
SPY,OR30,TP0.75/SL0.50,165,6.0606060606060606,1.3146892823580154,1.3306451612903225,1.7952299827468936
SPY,OR30,TP0.50/SL0.25,165,14.545454545454545,1.3093972464561718,1.3306451612903225,2.8354779021587744
QQQ,OR60,TP1.00/SL0.50,128,4.6875,1.1904129004501616,1.103448275862069,0.959732041100136
SPY,OR60,TP0.50/SL0.25,142,15.492957746478872,1.1903738768274965,1.1833333333333333,1.7592058141291944
QQQ,OR15,TP0.75/SL0.50,172,14.534883720930234,1.1626645923813999,1.3870967741935485,2.62325104517394
QQQ,OR60,TP0.50/SL0.25,128,18.75,1.1285397293795916,1.103448275862069,1.366789943144544
SPY,OR15,TP0.50/SL0.25,184,13.586956521739129,1.1012360006699446,1.4838709677419355,1.1491179071556408
QQQ,OR30,TP1.00/SL0.50,152,5.921052631578947,1.0204729121986398,1.2357723577235773,0.18055962836953032
QQQ,OR30,TP0.50/SL0.25,152,19.736842105263158,0.9347054476251809,1.2357723577235773,-1.04783628694013
SPY,OR15,TP0.75/SL0.50,184,4.891304347826087,0.9321453739816595,1.4838709677419355,-0.4913597582610607
QQQ,OR60,TP0.75/SL0.50,128,8.59375,0.9285690557347956,1.103448275862069,-0.6346380880866256
SPY,OR15,TP1.00/SL0.50,184,2.717391304347826,0.8961064454601044,1.4838709677419355,-0.5796942710670456
QQQ,OR30,TP0.75/SL0.50,152,10.526315789473683,0.8637054661127714,1.2357723577235773,-1.8936251660044445
QQQ,OR15,TP0.50/SL0.25,172,20.348837209302324,0.8205926226459939,1.3870967741935485,-3.826050852823133
