label,n,wr,avg,tot,pf,tpd
QQQ | 09:30-10:00,17,52.94117647058824,0.16826651771755197,2.8605308011983834,4.215997591656232,1.0
QQQ | 09:30-10:00 + 14:00-15:30,69,37.68115942028986,0.11419138661811573,7.879205676649986,3.608322458681083,1.3269230769230769
QQQ | 14:00-15:30,52,32.69230769230769,0.09651297837406927,5.018674875451603,3.354720458951639,1.3
QQQ | 09:30-10:00 + 13:30-15:30,81,34.5679012345679,0.09978253529681258,8.082385359041819,3.2037171704959775,1.396551724137931
QQQ | 13:30-15:30,64,29.6875,0.08159147746630369,5.221854557843436,2.8796188560200253,1.391304347826087
QQQ | 11:00-12:00 + 14:00-15:30,85,32.94117647058823,0.0780388726195908,6.633304172665219,2.2838580776463306,1.5178571428571428
QQQ | 09:30-10:00 + 13:30-15:00,61,36.0655737704918,0.08301904653421416,5.064161838587063,2.209832211209451,1.22
QQQ | 11:00-12:00 + 13:30-15:30,97,30.927835051546392,0.07047921500058818,6.836483855057053,2.175963682668034,1.5901639344262295
QQQ | 09:30-10:30 + 14:00-15:30,96,35.41666666666667,0.075965811154315,7.29271787081424,2.033360681537006,1.476923076923077
QQQ | 09:30-10:30 + 13:30-15:30,108,33.33333333333333,0.06940645882598216,7.495897553206074,1.972974802058297,1.542857142857143
SPY | 11:00-12:00,36,38.88888888888889,0.05922407326753398,2.1320666376312234,1.9400922765227713,1.1612903225806452
QQQ | 09:30-15:55,216,31.944444444444443,0.06410101724535132,13.845819724995886,1.9106587448031458,2.4
QQQ | 13:30-15:00,44,29.545454545454547,0.05008252357701542,2.2036310373886785,1.6685025439758516,1.2222222222222223
SPY | 11:00-12:00 + 13:30-15:30,95,27.368421052631582,0.035191000204592524,3.3431450194362897,1.6677135711767428,1.6101694915254237
QQQ | 09:30-11:00 + 14:00-15:30,117,33.33333333333333,0.054896275187138965,6.422864196895259,1.6405482405959413,1.647887323943662
SPY | 11:00-12:00 + 14:00-15:30,84,27.380952380952383,0.03390160149551507,2.847734525623266,1.6325114638020009,1.4736842105263157
QQQ | 09:30-11:00 + 13:30-15:30,129,31.782945736434108,0.051364681234783646,6.62604387928709,1.6207673897430817,1.6973684210526316
QQQ | 09:30-12:00 + 14:00-15:30,150,33.33333333333333,0.05358328996072584,8.037493494108876,1.6153102002654758,1.9230769230769231
QQQ | 11:00-12:00 + 13:30-15:00,77,31.16883116883117,0.04958779655327657,3.8182603346022956,1.6030349534850177,1.4
QQQ | 09:30-12:00 + 13:30-15:30,162,32.098765432098766,0.050868352941362396,8.240673176500708,1.6010997682523231,1.975609756097561
SPY | 11:00-12:00 + 13:30-15:00,80,28.749999999999996,0.03402478158576182,2.7219825268609457,1.5757132968152334,1.509433962264151
QQQ | 09:30-11:30 + 14:00-15:30,135,32.592592592592595,0.05022673943755148,6.78060982406945,1.5736852513658266,1.7763157894736843
QQQ | 09:30-11:30 + 13:30-15:30,147,31.292517006802722,0.04750877215279785,6.983789506461283,1.5602175183935054,1.8148148148148149
QQQ | 09:45-11:00 + 14:00-15:30,108,32.407407407407405,0.04818887459936835,5.2043984567317825,1.5452142992918114,1.6363636363636365
QQQ | 09:30-10:30 + 13:30-15:00,88,34.090909090909086,0.050882659463083145,4.477674032751317,1.5445751057045054,1.3968253968253967
QQQ | 11:00-12:00,33,33.33333333333333,0.048928160521624776,1.6146292972136176,1.5319380910316664,1.2692307692307692
QQQ | 09:45-11:00 + 13:30-15:30,120,30.833333333333336,0.04506315115936345,5.407578139123614,1.5305488933774065,1.6901408450704225
QQQ | 09:30-10:30,44,38.63636363636363,0.05168279534915088,2.2740429953626387,1.4616449135105793,1.2222222222222223
SPY | 13:30-15:30,59,20.33898305084746,0.02052675223398418,1.2110783818050668,1.4421734356177758,1.475
QQQ | 10:00-12:00 + 14:00-15:30,133,30.82706766917293,0.03892453152564279,5.176962692910491,1.4252810997215548,1.821917808219178
QQQ | 10:00-12:00 + 13:30-15:30,145,29.655172413793103,0.037104430174498784,5.380142375302324,1.4196725527542084,1.8831168831168832
QQQ | 10:00-11:00 + 14:00-15:30,100,30.0,0.03562333395696875,3.5623333956968746,1.3898515397814277,1.5873015873015872
QQQ | 10:00-11:00 + 13:30-15:30,112,28.57142857142857,0.03362065248293489,3.7655130780887074,1.3848452257272972,1.6470588235294117
QQQ | 09:30-12:00 + 13:30-15:00,142,32.3943661971831,0.03677781447919684,5.222449656045951,1.3670659762075799,1.775
QQQ | 10:00-11:30 + 14:00-15:30,118,29.66101694915254,0.03322100866839887,3.9200790228710667,1.3586557515899649,1.6619718309859155
QQQ | 10:00-11:30 + 13:30-15:30,130,28.46153846153846,0.03171737465586845,4.123258705262899,1.3561674741006269,1.7105263157894737
QQQ | 09:30-11:00 + 13:30-15:00,109,32.11009174311927,0.033099269347085625,3.6078203588323334,1.3223518987813485,1.5352112676056338
SPY | 14:00-15:30,48,18.75,0.014909747666500888,0.7156678879920426,1.320305063041356,1.3333333333333333
SPY | 10:00-12:00 + 13:30-15:30,150,28.000000000000004,0.021733075199093246,3.2599612798639868,1.3137583379305517,1.829268292682927
QQQ | 09:30-11:30 + 13:30-15:00,127,31.496062992125985,0.031224929023673423,3.9655659860065247,1.3054092293690132,1.6493506493506493
SPY | 09:30-15:55,235,26.382978723404253,0.01973601136517071,4.637962670815117,1.3038888302249214,2.5
SPY | 10:00-12:00 + 14:00-15:30,139,28.05755395683453,0.01988885457590621,2.764550786050963,1.2796585897330761,1.7160493827160495
QQQ | 09:30-12:00,98,33.6734693877551,0.03080427161895176,3.0188186186572725,1.2761658153262179,1.6333333333333333
SPY | 10:00-12:00,91,32.967032967032964,0.022515196681966148,2.0488828980589195,1.267788725588725,1.5166666666666666
SPY | 10:00-12:00 + 13:30-15:00,135,28.888888888888886,0.019546657683619576,2.6387987872886427,1.260977774230349,1.7532467532467533
SPY | 09:30-12:00 + 13:30-15:30,169,28.994082840236686,0.019336211698472505,3.2678197770418533,1.2597180869400666,1.898876404494382
SPY | 09:30-10:00 + 13:30-15:30,78,24.358974358974358,0.015627395884396576,1.218936878982933,1.2471955537919601,1.4444444444444444
SPY | 10:00-11:30 + 13:30-15:30,132,25.0,0.015953384136896304,2.105846706070312,1.240829115785538,1.6296296296296295
SPY | 13:30-15:00,44,20.454545454545457,0.01340717930067552,0.5899158892297228,1.2397950080840956,1.3333333333333333
SPY | 09:30-12:00 + 14:00-15:30,158,29.11392405063291,0.017546894197650813,2.7724092832288285,1.2295498620746428,1.7954545454545454
QQQ | 09:45-11:00 + 13:30-15:00,100,31.0,0.02389354618668857,2.389354618668857,1.2230822264766188,1.5151515151515151
SPY | 09:30-12:00 + 13:30-15:00,154,29.87012987012987,0.017186086262769535,2.6466572844665084,1.2151169276236589,1.811764705882353
SPY | 09:30-12:00,110,33.63636363636363,0.01869764904760715,2.0567413952367866,1.2089492390499121,1.5942028985507246
SPY | 10:00-11:30 + 14:00-15:30,121,24.793388429752067,0.01330939018394453,1.6104362122572882,1.1954516347883581,1.5125
SPY | 09:30-11:30 + 13:30-15:30,151,26.490066225165563,0.013998047703630317,2.113705203248178,1.1932743440562656,1.7159090909090908
QQQ | 09:30-11:30,83,32.53012048192771,0.021228131911058396,1.7619349486178468,1.1818665480953272,1.537037037037037
QQQ | 09:30-11:00,65,33.84615384615385,0.021602912637594698,1.4041893214436554,1.1778397910751828,1.4130434782608696
QQQ | 10:00-12:00 + 13:30-15:00,125,29.599999999999998,0.018895350838780536,2.361918854847567,1.1770808581192351,1.6891891891891893
SPY | 10:00-11:30 + 13:30-15:00,117,25.64102564102564,0.012689608662350154,1.484684213494968,1.1753843862342095,1.5394736842105263
SPY | 09:30-10:00 + 14:00-15:30,67,23.88059701492537,0.010798901271192667,0.7235263851699086,1.16345435399092,1.3137254901960784
SPY | 09:30-11:30 + 14:00-15:30,140,26.42857142857143,0.011559247924536815,1.618294709435154,1.1551323263415847,1.6091954022988506
SPY | 10:00-11:30,73,28.767123287671232,0.012257100332400619,0.8947683242652452,1.148998135722342,1.3272727272727274
SPY | 09:30-11:30 + 13:30-15:00,136,27.205882352941174,0.010974578754947307,1.4925427106728337,1.1400467926029143,1.619047619047619
SPY | 09:30-10:00 + 13:30-15:00,63,25.396825396825395,0.009488482323929978,0.5977743864075886,1.1284921317360592,1.3125
SPY | 10:00-11:00 + 13:30-15:30,115,24.347826086956523,0.009064259246195703,1.0423898133125058,1.127002841217194,1.5753424657534247
SPY | 09:45-11:00 + 13:30-15:30,130,26.153846153846157,0.00936671460316468,1.2176728984114082,1.1225969388600423,1.6455696202531647
SPY | 09:30-11:30,92,30.434782608695656,0.009811161102642517,0.9026268214431115,1.110111715275357,1.4375
SPY | 09:30-11:00 + 13:30-15:30,134,26.119402985074625,0.007837673958883367,1.050248310490371,1.1009878256564305,1.654320987654321
QQQ | 10:00-11:30 + 13:30-15:00,110,28.18181818181818,0.010045774407346742,1.1050351848081417,1.091363240959591,1.5492957746478873
