date,side,config,exit_reason,bars_held,ep,K,p_entry,p_exit,und_move,pnl_pct,pnl_dollar
2025-12-16,long,0DTE  IV25%,time,60,609.64,610,3.708,2.989,-0.041,-19.38,-71.87
2025-12-16,long,1DTE  IV22%,time,60,609.64,610,4.705,4.019,-0.041,-14.58,-68.58
2025-12-16,long,0DTE  IV25%,+0.50% hit,8,608.92,609,3.78,4.851,0.412,28.34,107.13
2025-12-16,long,1DTE  IV22%,+0.50% hit,8,608.92,609,4.8,5.791,0.412,20.65,99.1
2025-12-16,short,0DTE  IV25%,time,60,609.24,609,3.635,3.178,0.041,-12.57,-45.7
2025-12-16,short,1DTE  IV22%,time,60,609.24,609,4.516,4.094,0.041,-9.34,-42.19
2025-12-16,short,0DTE  IV25%,time,60,608.45,608,3.477,2.719,-0.0647,-21.82,-75.85
2025-12-16,short,1DTE  IV22%,time,60,608.45,608,4.378,3.655,-0.0647,-16.51,-72.27
2025-12-18,long,0DTE  IV25%,time,60,610.42,610,4.105,3.968,0.1376,-3.34,-13.69
2025-12-18,long,1DTE  IV22%,time,60,610.42,610,5.105,4.999,0.1376,-2.07,-10.58
2025-12-18,long,0DTE  IV25%,time,60,608.35,608,4.005,6.01,0.6838,50.08,200.53
2025-12-18,long,1DTE  IV22%,time,60,608.35,608,5.02,6.967,0.6838,38.78,194.7
2025-12-18,short,0DTE  IV25%,+0.50% hit,8,610.35,610,3.588,4.777,0.4637,33.14,118.89
2025-12-18,short,1DTE  IV22%,+0.50% hit,8,610.35,610,4.471,5.56,0.4637,24.35,108.85
2025-12-18,short,0DTE  IV25%,time,60,607.77,608,3.802,1.479,-0.7256,-61.1,-232.3
2025-12-18,short,1DTE  IV22%,time,60,607.77,608,4.703,2.336,-0.7256,-50.32,-236.67
2025-12-19,long,0DTE  IV25%,+0.50% hit,13,612.66,613,3.737,5.502,0.6047,47.26,176.58
2025-12-19,long,1DTE  IV22%,+0.50% hit,13,612.66,613,4.739,6.417,0.6047,35.4,167.74
2025-12-19,long,0DTE  IV25%,+0.50% hit,18,614.03,614,3.872,5.165,0.4755,33.39,129.29
2025-12-19,long,1DTE  IV22%,+0.50% hit,18,614.03,614,4.899,6.117,0.4755,24.87,121.82
2025-12-23,short,0DTE  IV25%,time,60,619.55,620,4.045,3.634,0.0549,-10.15,-41.07
2025-12-23,short,1DTE  IV22%,time,60,619.55,620,4.939,4.56,0.0549,-7.66,-37.85
2025-12-23,short,0DTE  IV25%,time,60,619.71,620,3.915,3.27,-0.0177,-16.46,-64.43
2025-12-23,short,1DTE  IV22%,time,60,619.71,620,4.829,4.223,-0.0177,-12.55,-60.59
2025-12-24,long,0DTE  IV25%,time,60,622.21,622,4.072,3.625,0.0498,-10.98,-44.73
2025-12-24,long,1DTE  IV22%,time,60,622.21,622,5.092,4.681,0.0498,-8.07,-41.09
2025-12-24,long,0DTE  IV25%,time,60,621.99,622,3.907,3.658,0.111,-6.36,-24.87
2025-12-24,long,1DTE  IV22%,time,60,621.99,622,4.945,4.735,0.111,-4.26,-21.07
2025-12-24,short,0DTE  IV25%,time,60,622.18,622,3.748,3.076,-0.0273,-17.95,-67.27
2025-12-24,short,1DTE  IV22%,time,60,622.18,622,4.647,4.011,-0.0273,-13.69,-63.6
2025-12-24,short,0DTE  IV25%,time,60,622.1,622,3.729,2.863,-0.0932,-23.22,-86.58
2025-12-24,short,1DTE  IV22%,time,60,622.1,622,4.65,3.822,-0.0932,-17.8,-82.78
2025-12-30,long,0DTE  IV25%,time,60,620.43,620,4.174,3.263,-0.0951,-21.83,-91.11
2025-12-30,long,1DTE  IV22%,time,60,620.43,620,5.191,4.314,-0.0951,-16.89,-87.66
2025-12-30,long,0DTE  IV25%,time,60,620.11,620,3.955,3.171,-0.0562,-19.83,-78.42
