date,sym,setup,side,gap_pct,ep,mfe_15m,mae_15m,mfe_30m,mae_30m,mfe_60m,mae_60m,hit_+0.25%,hit_+0.50%,hit_+0.75%,open_pos
2025-12-18,QQQ,A,long,1.424,610.66,0.35371565191761073,0.03275144925161822,0.35371565191761073,0.03275144925161822,0.37172894900599057,0.03275144925161822,True,False,False,
2025-12-19,QQQ,A,long,0.486,616.54,0.029195186038223582,0.19301261880817805,0.029195186038223582,0.3503422324585539,0.029195186038223582,0.373049599377162,False,False,False,
2025-12-30,QQQ,A,short,-0.171,619.83,0.038720294274237954,0.11517674200990059,0.04033363986899633,0.11517674200990059,0.04033363986899633,0.2726554055144057,False,False,False,
2026-01-06,QQQ,A,long,0.244,622.22,0.03696441773006624,0.13982192793545764,0.0594644980874939,0.13982192793545764,0.0594644980874939,0.3455369483462404,False,False,False,
2026-01-08,QQQ,A,short,-0.171,619.39,0.04359127528697296,0.24378824327160445,0.09557790729588539,0.24378824327160445,0.2050404430165133,0.24378824327160445,False,False,False,
2026-01-09,QQQ,A,long,0.097,624.018,0.21185286321868962,0.09262553323781919,0.21185286321868962,0.24005717783782635,0.2983888285273768,0.24005717783782635,True,False,False,
2026-01-14,QQQ,A,short,-0.685,617.37,0.01133841942434035,0.5912175842687493,0.01133841942434035,0.6009362294896151,0.26240342096311847,0.6009362294896151,True,False,False,
2026-01-21,QQQ,A,long,0.196,612.89,0.25126858000619423,0.07179102285890468,0.5351694431300842,0.07179102285890468,0.6085757640033356,0.07179102285890468,True,True,False,
2026-01-27,QQQ,A,long,0.553,630.45,0.09675628519310014,0.09517011658339641,0.09834245380283994,0.09517011658339641,0.18875406455705301,0.09517011658339641,False,False,False,
2026-01-30,QQQ,A,short,-0.634,624.8099,0.16963559636298506,0.12085275857506164,0.16963559636298506,0.2384885386739205,0.4289144586217304,0.2384885386739205,True,False,False,
2026-02-04,QQQ,A,short,-0.285,609.405,0.18296535144936604,0.4258251901444897,0.18296535144936604,0.6128929037339722,0.18296535144936604,0.6128929037339722,False,False,False,
2026-02-05,QQQ,A,short,-0.988,599.08,0.6943980770514925,0.04506910596247275,0.6943980770514925,0.04506910596247275,0.6943980770514925,0.04506910596247275,True,True,False,
2026-02-06,QQQ,A,long,0.43,603.36,0.2834128878281683,0.034805091487675084,0.2834128878281683,0.2850702731371034,0.5784274728188824,0.2850702731371034,True,True,False,
