date,level,event,side,gap_pct,ep,level_px,mfe15,mfe30,hit_+0.50%,hit_+0.75%
2025-12-16,PML,Breakout,short,-0.419,607.92,608.16,0.05510593499143353,0.05510593499143353,False,False
2025-12-16,PML,Rejection,long,-0.419,608.82,608.16,0.6028054268913569,0.6028054268913569,True,False
2025-12-16,PMH,Rejection,short,-0.419,611.59,611.63,0.21419578475777218,0.4561716182409766,False,False
2025-12-16,PMH,Breakout,long,-0.419,611.77,611.63,0.11769128921000169,0.11769128921000169,False,False
2025-12-17,PML,Rejection,long,0.272,612.9,612.73,0.08412465328765918,0.08412465328765918,False,False
2025-12-17,PML,Breakout,short,0.272,612.53,612.73,0.5942566078396139,0.5942566078396139,True,False
2025-12-18,PMH,Breakout,long,1.424,610.58,609.75,0.036031314487849846,0.036031314487849846,False,False
2025-12-18,PMH,Rejection,short,1.424,609.62,609.75,0.443715398810751,0.443715398810751,False,False
2025-12-19,PMH,Breakout,long,0.486,613.44,612.36,0.5738132498695848,0.6814032342201275,True,False
2025-12-23,PMH,Breakout,long,-0.211,619.11,618.23,0.05976320847668501,0.05976320847668501,False,False
2025-12-23,PMH,Rejection,short,-0.211,618.0,618.23,0.024271844660190497,0.024271844660190497,False,False
2025-12-24,PML,Breakout,short,-0.021,622.18,622.29,0.057057443183629264,0.06268282490597357,False,False
2025-12-24,PML,Rejection,long,-0.021,622.37,622.29,0.046596076289018365,0.046596076289018365,False,False
2025-12-24,PMH,Rejection,short,-0.021,622.85,622.86,0.10596451794171441,0.10596451794171441,False,False
2025-12-24,PMH,Breakout,long,-0.021,622.92,622.86,0.024882809991666092,0.024882809991666092,False,False
2025-12-30,PMH,Rejection,short,-0.171,620.25,620.45,0.1402660217654179,0.1402660217654179,False,False
2025-12-30,PMH,Breakout,long,-0.171,620.6,620.45,0.03222687721558682,0.18530454398968374,False,False
2025-12-30,PML,Breakout,short,-0.171,619.81,619.9,0.06935997634112896,0.06935997634112896,False,False
2025-12-30,PML,Rejection,long,-0.171,620.21,619.9,0.15317392496088933,0.24830299414713783,False,False
2025-12-31,PML,Breakout,short,0.008,618.6,618.8,0.20438234678397246,0.20438234678397246,False,False
2026-01-06,PMH,Breakout,long,0.244,619.92,619.23,0.20486514388954954,0.4081171764098733,False,False
2026-01-06,PMH,Rejection,short,0.244,619.18,619.23,0.10336251170903234,0.10336251170903234,False,False
2026-01-07,PMH,Breakout,long,-0.099,623.13,623.08,0.2968882897629745,0.3241699163898355,False,False
2026-01-08,PML,Breakout,short,-0.171,621.92,622.93,0.5550553125803959,0.6528170825829601,True,False
2026-01-09,PML,Breakout,short,0.097,620.3,621.33,0.07415766564564287,0.07415766564564287,False,False
2026-01-09,PML,Rejection,long,0.097,621.67,621.33,0.25576270368524007,0.25576270368524007,False,False
2026-01-09,PMH,Breakout,long,0.097,624.02,623.94,0.21185286321868962,0.21185286321868962,False,False
