date,side,level,gap_regime,gap_pct,entry,bar_idx,ep,bars_waited,conf_close,mfe15,mfe30,mfe60,hit_>=0.40%,hit_>=0.50%,hit_>=0.60%,hit_>=0.75%
2025-12-16,long,PML,Flat,-0.419,A,7,610.6012,0,610.61,0.240549805666956,0.3093344723200774,0.3093344723200774,False,False,False,False
2025-12-16,long,PML,Flat,-0.419,B,20,611.59,13,610.61,0.14715740937555835,0.14715740937555835,0.14715740937555835,False,False,False,False
2025-12-16,long,PML,Flat,-0.419,C,20,611.59,13,610.61,0.14715740937555835,0.14715740937555835,0.14715740937555835,False,False,False,False
2025-12-16,long,PML,Flat,-0.419,A,83,609.8,0,609.79,0.1877664808133971,0.1877664808133971,0.1877664808133971,False,False,False,False
2025-12-16,long,PML,Flat,-0.419,B,84,610.12,1,609.79,0.13521930112109837,0.13521930112109837,0.13521930112109837,False,False,False,False
2025-12-16,long,PML,Flat,-0.419,C,84,610.12,1,609.79,0.13521930112109837,0.13521930112109837,0.13521930112109837,False,False,False,False
2025-12-16,short,PMH,Flat,-0.419,A,97,609.74,0,609.69,0.3066880965657501,0.3099681831600332,0.3099681831600332,False,False,False,False
2025-12-16,short,PMH,Flat,-0.419,B,101,609.37,4,609.69,0.24615586589428426,0.24943794410620507,0.24943794410620507,False,False,False,False
2025-12-16,short,PMH,Flat,-0.419,C,106,608.35,9,609.69,0.12262677734856266,0.1988986603106637,0.4684803156077953,True,False,False,False
2025-12-18,short,PMH,Gap Up,1.424,A,41,608.02,0,608.03,0.12828525377454242,0.12828525377454242,0.12828525377454242,False,False,False,False
2025-12-18,short,PMH,Gap Up,1.424,B,42,607.7,1,608.03,0.07569524436400137,0.07569524436400137,0.07569524436400137,False,False,False,False
2025-12-18,short,PMH,Gap Up,1.424,C,42,607.7,1,608.03,0.5693598815204743,0.8425209807470798,0.8606220174428013,True,True,True,True
2025-12-18,short,PDH,Gap Up,1.424,A,104,612.1,0,612.1,0.12824701846103057,0.12824701846103057,0.6485868322169625,True,True,True,False
2025-12-18,short,PDH,Gap Up,1.424,B,117,611.845,13,612.1,0.08662324608356245,0.08662324608356245,0.7085127769288033,True,True,True,False
