sym,side,level,gap_regime,gap_pct,touch_lbl,bounced,date,mfe15,mfe30,mfe60,hit_>=0.50%,hit_>=0.75%
QQQ,long,PML,Flat,-0.419,1st,True,2025-12-16,0.23143166458893275,0.4674890099074901,0.4674890099074901,False,False
QQQ,long,PML,Flat,-0.419,2nd,True,2025-12-16,0.6028054268913569,0.6028054268913569,0.6028054268913569,True,False
QQQ,long,PML,Flat,-0.419,3rd+,True,2025-12-16,0.18899242386891768,0.40345773965061726,0.40345773965061726,False,False
QQQ,long,PML,Flat,-0.419,3rd+,True,2025-12-16,0.45058378556158674,0.4678506824535483,0.4678506824535483,False,False
QQQ,long,PML,Flat,-0.419,3rd+,True,2025-12-16,0.041110983210274454,0.44235417934254345,0.4966206771801125,False,False
QQQ,long,PML,Flat,-0.419,3rd+,True,2025-12-16,0.30585565586305785,0.49331557397267034,0.49331557397267034,False,False
QQQ,long,PML,Flat,-0.419,3rd+,True,2025-12-16,0.48522929140073884,0.5214158826238501,0.5214158826238501,True,False
QQQ,long,PML,Flat,-0.419,3rd+,True,2025-12-16,0.4241119129419767,0.46027649466571674,0.46027649466571674,False,False
QQQ,long,PDL,Flat,-0.419,1st,True,2025-12-16,0.32103254549326593,0.32103254549326593,0.32103254549326593,False,False
QQQ,long,PDL,Flat,-0.419,2nd,True,2025-12-16,0.06961278909782942,0.06961278909782942,0.06961278909782942,False,False
QQQ,long,PDL,Flat,-0.419,3rd+,True,2025-12-16,0.08272721315772155,0.08272721315772155,0.08272721315772155,False,False
QQQ,long,PDL,Flat,-0.419,3rd+,True,2025-12-16,0.132712914113436,0.14090506930563515,0.14090506930563515,False,False
QQQ,long,PDL,Flat,-0.419,3rd+,True,2025-12-16,0.14090506930563515,0.14090506930563515,0.14090506930563515,False,False
QQQ,long,PDL,Flat,-0.419,3rd+,True,2025-12-16,0.1261550560325024,0.1261550560325024,0.1261550560325024,False,False
QQQ,long,PDL,Flat,-0.419,3rd+,True,2025-12-16,0.07204964875795261,0.07204964875795261,0.07204964875795261,False,False
QQQ,long,PDL,Flat,-0.419,3rd+,True,2025-12-16,0.014744913005018486,0.014744913005018486,0.13598086437957355,False,False
QQQ,long,PDL,Flat,-0.419,3rd+,True,2025-12-16,0.14910699655908274,0.2261183024741923,0.5077830575127064,True,False
QQQ,long,PDL,Flat,-0.419,3rd+,True,2025-12-16,0.1392620748410811,0.21626581034142742,0.49790287699062635,False,False
QQQ,long,PDL,Flat,-0.419,3rd+,True,2025-12-16,0.12938517475186928,0.18015657243930508,0.4616921615513053,False,False
QQQ,long,1H_Sup,Flat,-0.419,1st,True,2025-12-16,0.01793283338767748,0.01793283338767748,0.01793283338767748,False,False
QQQ,long,PDL,Flat,0.272,1st,True,2025-12-17,0.0509549952332521,0.0509549952332521,0.0509549952332521,False,False
QQQ,short,PMH,Flat,0.272,1st,True,2025-12-17,0.5942566078396139,0.5942566078396139,0.6530292393841934,True,False
QQQ,short,PDH,Flat,0.272,1st,True,2025-12-17,0.5097955915753019,0.5097955915753019,0.6911651770395938,True,False
QQQ,long,PML,Gap Up,1.424,1st,True,2025-12-18,0.2727661112754228,0.2727661112754228,0.6967038022938659,True,False
QQQ,long,PML,Gap Up,1.424,2nd,True,2025-12-18,0.24805743104496097,0.24805743104496097,0.6718906575986122,True,False
QQQ,long,PML,Gap Up,1.424,3rd+,True,2025-12-18,0.649233247316784,0.7248401571308957,0.7429200703472958,True,False
QQQ,long,PML,Gap Up,1.424,3rd+,True,2025-12-18,0.26138418543482356,0.5671543646227265,0.5983889528193491,True,False
QQQ,long,PML,Gap Up,1.424,3rd+,True,2025-12-18,0.43463971736095564,0.5258401117410313,0.5759592473913394,True,False
QQQ,long,PML,Gap Up,1.424,3rd+,True,2025-12-18,0.3256150506512144,0.41935271674778885,0.5262465465070273,True,False
QQQ,long,PML,Gap Up,1.424,3rd+,True,2025-12-18,0.3152634866366426,0.3698346428219205,0.4766757618593605,False,False
