sym,level,date,gap_regime,outcome,bars,pnl,ep,side,touch_num
RKLB,PML,2025-12-16,Gap Down,loss,4,-0.4,53.565,long,1
RKLB,PDL,2025-12-16,Gap Down,win,0,0.75,55.55,long,1
RKLB,1H_Sup,2025-12-16,Gap Down,win,0,0.75,55.55,long,1
RKLB,1H_Sup,2025-12-16,Gap Down,loss,0,-0.4,56.49,long,1
RKLB,1H_Sup,2025-12-16,Gap Down,loss,0,-0.4,56.49,long,1
RKLB,1H_Sup,2025-12-16,Gap Down,loss,1,-0.4,56.34,long,1
RKLB,4H_Sup,2025-12-16,Gap Down,win,0,0.75,55.55,long,1
RKLB,4H_Sup,2025-12-16,Gap Down,loss,1,-0.4,56.34,long,1
RKLB,PMH,2025-12-16,Gap Down,win,0,0.75,54.78,short,1
RKLB,1H_Res,2025-12-16,Gap Down,loss,0,-0.4,55.31,short,1
RKLB,1H_Res,2025-12-16,Gap Down,win,6,0.75,56.25,short,1
RKLB,PML,2025-12-17,Gap Up,loss,1,-0.4,55.86,long,1
RKLB,1H_Sup,2025-12-17,Gap Up,loss,0,-0.4,55.09,long,1
RKLB,4H_Sup,2025-12-17,Gap Up,loss,0,-0.4,54.64,long,1
RKLB,4H_Sup,2025-12-17,Gap Up,loss,1,-0.4,56.19,long,1
RKLB,PDH,2025-12-17,Gap Up,loss,1,-0.4,56.06,short,1
RKLB,1H_Res,2025-12-17,Gap Up,win,0,0.75,54.4295,short,1
RKLB,1H_Res,2025-12-17,Gap Up,win,0,0.75,54.4295,short,1
RKLB,1H_Res,2025-12-17,Gap Up,loss,0,-0.4,54.795,short,1
RKLB,4H_Res,2025-12-17,Gap Up,win,0,0.75,55.43,short,1
RKLB,PMH,2025-12-18,Gap Up,loss,2,-0.4,56.2437,short,1
RKLB,PDH,2025-12-18,Gap Up,loss,0,-0.4,56.81,short,1
RKLB,1H_Sup,2025-12-23,Gap Down,loss,0,-0.4,78.72,long,1
RKLB,PDH,2025-12-23,Gap Down,loss,1,-0.4,77.7276,short,1
RKLB,PML,2025-12-24,Gap Up,loss,0,-0.4,76.82,long,1
RKLB,1H_Sup,2025-12-24,Gap Up,win,12,0.75,77.37,long,1
RKLB,1H_Sup,2025-12-24,Gap Up,loss,0,-0.4,78.4325,long,1
RKLB,4H_Sup,2025-12-24,Gap Up,loss,1,-0.4,76.48,long,1
RKLB,PMH,2025-12-24,Gap Up,win,0,0.75,77.88,short,1
RKLB,PDH,2025-12-24,Gap Up,win,0,0.75,77.88,short,1
RKLB,1H_Res,2025-12-24,Gap Up,win,1,0.75,77.1512,short,1
RKLB,4H_Res,2025-12-24,Gap Up,win,1,0.75,77.1512,short,1
RKLB,1H_Sup,2025-12-30,Gap Up,loss,0,-0.4,71.39,long,1
RKLB,4H_Sup,2025-12-30,Gap Up,loss,0,-0.4,72.36,long,1
RKLB,PMH,2025-12-30,Gap Up,loss,0,-0.4,72.58,short,1
RKLB,PDH,2025-12-30,Gap Up,win,0,0.75,72.16,short,1
RKLB,4H_Res,2025-12-30,Gap Up,loss,0,-0.4,71.42,short,1
RKLB,PML,2025-12-31,Gap Up,loss,1,-0.4,71.1812,long,1
RKLB,PDL,2025-12-31,Gap Up,loss,1,-0.4,70.65,long,1
RKLB,PMH,2025-12-31,Gap Up,loss,0,-0.4,71.715,short,1
RKLB,1H_Res,2025-12-31,Gap Up,loss,0,-0.4,70.735,short,1
RKLB,4H_Res,2025-12-31,Gap Up,win,2,0.75,71.96,short,1
RKLB,PML,2026-01-06,Flat,win,2,0.75,76.725,long,1
RKLB,1H_Sup,2026-01-06,Flat,loss,0,-0.4,78.44,long,1
RKLB,1H_Sup,2026-01-06,Flat,loss,0,-0.4,77.9,long,1
RKLB,1H_Sup,2026-01-06,Flat,loss,4,-0.4,78.3898,long,1
RKLB,4H_Sup,2026-01-06,Flat,loss,1,-0.4,75.72,long,1
RKLB,4H_Sup,2026-01-06,Flat,loss,4,-0.4,78.3898,long,1
RKLB,PMH,2026-01-06,Flat,loss,0,-0.4,77.12,short,1
RKLB,PDH,2026-01-06,Flat,loss,0,-0.4,77.12,short,1
RKLB,1H_Res,2026-01-06,Flat,loss,0,-0.4,77.12,short,1
RKLB,4H_Res,2026-01-06,Flat,win,1,0.75,76.65,short,1
RKLB,4H_Res,2026-01-06,Flat,loss,0,-0.4,77.12,short,1
RKLB,PML,2026-01-07,Gap Down,win,0,0.75,83.05,long,1
RKLB,1H_Sup,2026-01-07,Gap Down,loss,29,-0.4,85.33,long,1
RKLB,4H_Sup,2026-01-07,Gap Down,win,1,0.75,84.415,long,1
RKLB,PMH,2026-01-07,Gap Down,win,0,0.75,83.655,short,1
RKLB,1H_Res,2026-01-07,Gap Down,loss,0,-0.4,84.65,short,1
RKLB,4H_Res,2026-01-07,Gap Down,loss,6,-0.4,82.1284,short,1
RKLB,4H_Res,2026-01-07,Gap Down,loss,0,-0.4,83.05,short,1
RKLB,1H_Sup,2026-01-08,Gap Up,win,0,0.75,84.86,long,1
RKLB,4H_Sup,2026-01-08,Gap Up,win,9,0.75,82.48,long,1
RKLB,4H_Sup,2026-01-08,Gap Up,win,0,0.75,86.9,long,1
RKLB,PMH,2026-01-08,Gap Up,loss,0,-0.4,84.85,short,1
RKLB,PDH,2026-01-08,Gap Up,loss,0,-0.4,84.85,short,1
RKLB,1H_Res,2026-01-08,Gap Up,win,1,0.75,84.4899,short,1
RKLB,4H_Res,2026-01-08,Gap Up,win,0,0.75,84.8,short,1
RKLB,PML,2026-01-09,Gap Up,loss,0,-0.4,83.035,long,1
RKLB,1H_Sup,2026-01-09,Gap Up,win,1,0.75,84.3173,long,1
RKLB,4H_Sup,2026-01-09,Gap Up,win,0,0.75,85.51,long,1
RKLB,PMH,2026-01-09,Gap Up,loss,0,-0.4,83.05,short,1
RKLB,1H_Res,2026-01-09,Gap Up,loss,1,-0.4,82.92,short,1
RKLB,1H_Res,2026-01-09,Gap Up,loss,1,-0.4,82.92,short,1
RKLB,4H_Res,2026-01-09,Gap Up,loss,0,-0.4,83.05,short,1
RKLB,PML,2026-01-13,Gap Up,loss,0,-0.4,88.0,long,1
RKLB,1H_Sup,2026-01-13,Gap Up,loss,0,-0.4,89.03,long,1
RKLB,4H_Sup,2026-01-13,Gap Up,loss,3,-0.4,87.87,long,1
RKLB,4H_Sup,2026-01-13,Gap Up,loss,0,-0.4,88.9,long,1
RKLB,PMH,2026-01-13,Gap Up,loss,0,-0.4,87.44,short,1
RKLB,PDH,2026-01-13,Gap Up,loss,0,-0.4,87.44,short,1
RKLB,1H_Res,2026-01-13,Gap Up,win,2,0.75,88.0,short,1
RKLB,PML,2026-01-14,Gap Down,win,0,0.75,86.065,long,1
RKLB,PDL,2026-01-14,Gap Down,loss,0,-0.4,86.78,long,1
RKLB,1H_Sup,2026-01-14,Gap Down,loss,2,-0.4,86.69,long,1
RKLB,1H_Sup,2026-01-14,Gap Down,loss,0,-0.4,88.14,long,1
RKLB,1H_Sup,2026-01-14,Gap Down,loss,0,-0.4,88.3466,long,1
RKLB,1H_Sup,2026-01-14,Gap Down,loss,1,-0.4,88.805,long,1
