tp,sl,mode,wr,pf,ev,total,tp_hits,sl_hits,n
10,-35,opt,52.5,1.2,2.34,2436.57,59,0,1041
10,-25,opt,52.5,1.2,2.34,2436.57,59,0,1041
20,-35,opt,52.4,1.2,2.31,2405.04,4,0,1041
20,-25,opt,52.4,1.2,2.31,2405.04,4,0,1041
20,-8,opt,51.9,1.2,2.31,2402.44,4,77,1041
10,-20,opt,52.5,1.2,2.3,2393.58,59,1,1041
15,-35,opt,52.4,1.2,2.3,2393.41,17,0,1041
15,-25,opt,52.4,1.2,2.3,2393.41,17,0,1041
15,-8,opt,51.9,1.2,2.3,2390.81,17,77,1041
10,-8,opt,52.1,1.2,2.29,2383.12,58,76,1041
20,-20,opt,52.4,1.19,2.27,2362.05,4,1,1041
15,-20,opt,52.4,1.19,2.26,2350.42,17,1,1041
10,-15,opt,52.5,1.18,2.16,2252.77,59,11,1041
10,-12,opt,52.4,1.18,2.16,2250.54,59,25,1041
50,-25,opt,52.4,1.18,2.15,2238.31,0,0,1041
50,-35,opt,52.4,1.18,2.15,2238.31,0,0,1041
35,-25,opt,52.4,1.18,2.15,2238.31,0,0,1041
35,-35,opt,52.4,1.18,2.15,2238.31,0,0,1041
25,-25,opt,52.4,1.18,2.15,2238.31,0,0,1041
25,-35,opt,52.4,1.18,2.15,2238.31,0,0,1041
35,-8,opt,51.9,1.18,2.15,2235.71,0,77,1041
25,-8,opt,51.9,1.18,2.15,2235.71,0,77,1041
50,-8,opt,51.9,1.18,2.15,2235.71,0,77,1041
20,-15,opt,52.4,1.18,2.13,2221.24,4,11,1041
20,-12,opt,52.3,1.18,2.13,2219.76,4,26,1041
15,-15,opt,52.4,1.18,2.12,2209.62,17,11,1041
15,-12,opt,52.3,1.18,2.12,2208.13,17,26,1041
25,-20,opt,52.4,1.18,2.11,2195.32,0,1,1041
35,-20,opt,52.4,1.18,2.11,2195.32,0,1,1041
50,-20,opt,52.4,1.18,2.11,2195.32,0,1,1041
50,-15,opt,52.4,1.17,1.97,2054.51,0,11,1041
25,-15,opt,52.4,1.17,1.97,2054.51,0,11,1041
35,-15,opt,52.4,1.17,1.97,2054.51,0,11,1041
25,-12,opt,52.3,1.17,1.97,2053.03,0,26,1041
35,-12,opt,52.3,1.17,1.97,2053.03,0,26,1041
50,-12,opt,52.3,1.17,1.97,2053.03,0,26,1041
