tp,sl,mode,wr,pf,ev,total,tp_hits,sl_hits,n,tp_stk,sl_stk
6.0,-3.0,stk,43.6,1.08,0.8,836.84,165,440,1041,3.0,-1.5
6.0,-1.2,stk,24.8,1.06,0.42,440.28,112,766,1041,3.0,-0.6
6.0,-2.0,stk,35.4,1.04,0.39,406.51,142,616,1041,3.0,-1.0
4.0,-1.2,stk,27.9,1.05,0.34,354.69,206,737,1041,2.0,-0.6
4.0,-3.0,stk,46.3,1.03,0.33,348.08,307,422,1041,2.0,-1.5
6.0,-1.6,stk,30.5,1.03,0.27,280.26,125,681,1041,3.0,-0.8
1.0,-0.8,stk,46.4,1.08,0.26,270.99,482,557,1041,0.5,-0.4
3.0,-1.2,stk,31.4,1.03,0.16,169.68,273,702,1041,1.5,-0.6
3.0,-1.6,stk,37.4,1.01,0.1,109.26,317,617,1041,1.5,-0.8
4.0,-1.6,stk,33.3,1.01,0.09,89.66,233,655,1041,2.0,-0.8
4.0,-2.0,stk,38.1,1.01,0.07,69.94,263,592,1041,2.0,-1.0
3.0,-3.0,stk,50.1,1.0,0.04,36.54,405,397,1041,1.5,-1.5
6.0,-0.8,stk,16.9,1.0,-0.01,-5.41,75,859,1041,3.0,-0.4
1.0,-1.2,stk,54.4,1.0,-0.02,-20.54,563,471,1041,0.5,-0.6
3.0,-0.8,stk,22.5,0.99,-0.06,-66.57,199,803,1041,1.5,-0.4
2.0,-0.8,stk,28.5,0.98,-0.1,-99.0,287,742,1041,1.0,-0.4
3.0,-2.0,stk,41.9,0.99,-0.11,-117.89,350,559,1041,1.5,-1.0
4.0,-0.8,stk,19.1,0.98,-0.11,-118.02,144,837,1041,2.0,-0.4
2.0,-1.2,stk,37.7,0.98,-0.12,-122.18,371,640,1041,1.0,-0.6
1.0,-3.0,stk,72.0,0.96,-0.22,-229.28,739,238,1041,0.5,-1.5
2.0,-1.6,stk,43.9,0.96,-0.23,-240.04,427,555,1041,1.0,-0.8
1.0,-1.6,stk,59.5,0.93,-0.33,-339.75,614,407,1041,0.5,-0.8
1.0,-2.0,stk,64.3,0.92,-0.39,-409.31,663,352,1041,0.5,-1.0
2.0,-3.0,stk,56.6,0.94,-0.51,-534.48,531,356,1041,1.0,-1.5
2.0,-2.0,stk,48.3,0.93,-0.53,-547.65,465,500,1041,1.0,-1.0
