date,sym,direction,entry_time,exit_time,bars_held,opt_pct,pnl,mfe,mae,exit,regime,gap_pct,month
2025-12-02,APP,long,09:35,14:35,60,-2.61,-19.54,5.37,-3.14,TIMEOUT,neutral,1.52,2025-12
2025-12-02,NVDA,short,11:20,15:50,54,-0.71,-5.32,0.56,-2.07,EOD,bear,0.91,2025-12
2025-12-02,PLTR,long,09:35,14:35,60,-2.59,-19.39,2.85,-3.79,TIMEOUT,neutral,1.31,2025-12
2025-12-02,HOOD,long,09:40,14:40,60,3.89,29.17,5.47,-1.96,TIMEOUT,neutral,1.79,2025-12
2025-12-02,COIN,long,09:50,14:50,60,1.83,13.72,3.64,-1.91,TIMEOUT,neutral,2.98,2025-12
2025-12-02,MSTR,long,09:35,14:35,60,8.14,61.06,9.16,-2.63,TIMEOUT,neutral,2.55,2025-12
2025-12-02,SMCI,short,09:40,14:40,60,3.95,29.65,5.19,-2.6,TIMEOUT,neutral,0.51,2025-12
2025-12-02,MU,short,09:40,14:40,60,2.2,16.47,6.19,-1.56,TIMEOUT,neutral,-0.57,2025-12
2025-12-02,MRVL,long,09:40,14:40,60,0.38,2.85,2.41,-2.77,TIMEOUT,neutral,1.71,2025-12
2025-12-02,ARM,long,09:35,14:35,60,-1.45,-10.9,2.25,-2.99,TIMEOUT,neutral,1.63,2025-12
2025-12-02,CRWD,long,09:35,14:35,60,0.51,3.84,1.78,-3.1,TIMEOUT,neutral,1.68,2025-12
2025-12-02,SNOW,long,09:35,14:35,60,-2.72,-20.36,3.13,-4.36,TIMEOUT,neutral,3.77,2025-12
2025-12-02,RBLX,short,10:00,15:00,60,-1.01,-7.55,0.66,-2.03,TIMEOUT,neutral,0.58,2025-12
2025-12-03,HOOD,short,10:50,15:50,60,-5.95,-44.66,0.45,-6.47,TIMEOUT,neutral,0.32,2025-12
2025-12-03,COIN,long,10:00,15:00,60,0.1,0.72,0.84,-3.98,TIMEOUT,bull,1.81,2025-12
2025-12-03,MRVL,long,09:50,14:50,60,0.26,1.96,1.23,-7.53,TIMEOUT,neutral,7.23,2025-12
2025-12-03,UBER,long,09:50,14:50,60,-1.45,-10.86,0.11,-3.99,TIMEOUT,neutral,2.73,2025-12
2025-12-04,APP,long,09:35,14:35,60,4.03,30.23,6.69,-1.71,TIMEOUT,bull,1.81,2025-12
2025-12-04,NVDA,long,10:40,15:40,60,-0.14,-1.07,1.96,-1.72,TIMEOUT,bull,1.06,2025-12
2025-12-04,META,long,09:35,14:35,60,-1.26,-9.43,0.99,-1.88,TIMEOUT,bull,5.63,2025-12
2025-12-04,COIN,short,10:45,15:45,60,1.88,14.09,4.71,-4.6,TIMEOUT,neutral,-1.5,2025-12
