tp,sl,wr,pf,ev,total,tp_hits,sl_hits,b55,b51,n
12,-25,50.1,1.25,2.58,1920.53,26,0,1635.07,285.47,743
12,-35,50.1,1.25,2.58,1920.53,26,0,1635.07,285.47,743
12,-20,50.1,1.25,2.53,1877.54,26,1,1592.07,285.47,743
12,-15,50.1,1.24,2.49,1850.75,26,5,1548.93,301.82,743
12,-12,49.9,1.22,2.34,1742.13,26,15,1428.59,313.54,743
15,-25,49.9,1.23,2.32,1722.7,10,0,1445.0,277.7,743
15,-35,49.9,1.23,2.32,1722.7,10,0,1445.0,277.7,743
5,-25,52.9,1.24,2.31,1712.62,179,0,1830.58,-117.97,743
5,-35,52.9,1.24,2.31,1712.62,179,0,1830.58,-117.97,743
12,-10,49.8,1.22,2.29,1702.18,26,28,1294.86,407.32,743
15,-20,49.9,1.22,2.26,1679.71,10,1,1402.01,277.7,743
5,-20,52.9,1.24,2.25,1669.62,179,1,1787.59,-117.97,743
12,-8,49.7,1.21,2.24,1662.94,26,51,1217.9,445.04,743
15,-15,49.9,1.21,2.22,1652.92,10,5,1358.86,294.06,743
10,-25,50.1,1.22,2.21,1645.1,39,0,1501.02,144.08,743
10,-35,50.1,1.22,2.21,1645.1,39,0,1501.02,144.08,743
5,-15,52.9,1.23,2.21,1642.84,179,5,1744.44,-101.61,743
10,-20,50.1,1.21,2.16,1602.11,39,1,1458.03,144.08,743
25,-25,49.9,1.21,2.15,1600.31,1,0,1357.4,242.91,743
25,-35,49.9,1.21,2.15,1600.31,1,0,1357.4,242.91,743
10,-15,50.1,1.21,2.12,1575.32,39,5,1414.88,160.44,743
5,-12,52.8,1.22,2.12,1572.91,178,13,1662.79,-89.89,743
20,-25,49.9,1.21,2.1,1562.81,1,0,1357.4,205.41,743
20,-35,49.9,1.21,2.1,1562.81,1,0,1357.4,205.41,743
25,-20,49.9,1.2,2.1,1557.32,1,1,1314.41,242.91,743
15,-12,49.8,1.2,2.08,1544.3,10,15,1238.52,305.78,743
35,-35,49.9,1.2,2.07,1535.88,0,0,1357.4,178.47,743
35,-25,49.9,1.2,2.07,1535.88,0,0,1357.4,178.47,743
25,-15,49.9,1.2,2.06,1530.53,1,5,1271.26,259.27,743
20,-20,49.9,1.2,2.05,1519.82,1,1,1314.41,205.41,743
15,-10,49.7,1.19,2.02,1504.35,10,28,1104.79,399.55,743
5,-10,52.6,1.21,2.02,1502.96,178,26,1499.07,3.89,743
8,-35,50.3,1.2,2.01,1495.64,68,0,1385.53,110.11,743
8,-25,50.3,1.2,2.01,1495.64,68,0,1385.53,110.11,743
20,-15,49.9,1.19,2.01,1493.03,1,5,1271.26,221.77,743
35,-20,49.9,1.19,2.01,1492.88,0,1,1314.41,178.47,743
10,-12,49.9,1.19,1.97,1466.7,39,15,1294.54,172.16,743
35,-15,49.9,1.19,1.97,1466.1,0,5,1271.26,194.83,743
15,-8,49.5,1.19,1.97,1465.11,10,51,1027.83,437.28,743
8,-20,50.3,1.19,1.96,1452.64,68,1,1342.54,110.11,743
10,-10,49.8,1.18,1.92,1426.75,39,28,1160.81,265.94,743
8,-15,50.3,1.19,1.92,1425.86,68,5,1299.39,126.46,743
25,-12,49.8,1.18,1.91,1421.91,1,15,1150.92,270.99,743
10,-8,49.7,1.18,1.87,1387.51,39,51,1083.85,303.66,743
20,-12,49.8,1.18,1.86,1384.41,1,15,1150.92,233.49,743
25,-10,49.7,1.18,1.86,1381.96,1,28,1017.2,364.76,743
35,-12,49.8,1.17,1.83,1357.48,0,15,1150.92,206.55,743
20,-10,49.7,1.17,1.81,1344.46,1,28,1017.2,327.26,743
25,-8,49.5,1.17,1.81,1342.72,1,51,940.23,402.49,743
5,-8,52.4,1.18,1.79,1332.42,176,47,1290.81,41.61,743
35,-10,49.7,1.17,1.77,1317.53,0,28,1017.2,300.33,743
8,-12,50.2,1.17,1.77,1317.24,68,15,1179.05,138.19,743
20,-8,49.5,1.17,1.76,1305.22,1,51,940.23,364.99,743
35,-8,49.5,1.16,1.72,1278.29,0,51,940.23,338.05,743
8,-10,50.1,1.16,1.72,1277.28,68,28,1045.32,231.96,743
12,-5,47.6,1.16,1.7,1260.9,24,130,455.7,805.2,743
8,-8,49.9,1.16,1.67,1238.04,68,51,968.36,269.69,743
5,-5,50.5,1.15,1.44,1067.79,167,120,724.06,343.73,743
15,-5,47.5,1.14,1.41,1049.77,9,130,252.33,797.44,743
10,-5,47.6,1.13,1.35,1004.84,36,130,341.02,663.82,743
25,-5,47.5,1.12,1.29,956.34,1,130,193.69,762.65,743
8,-5,47.9,1.12,1.25,926.7,64,129,296.86,629.84,743
20,-5,47.5,1.12,1.24,918.84,1,130,193.69,725.15,743
35,-5,47.5,1.12,1.2,891.91,0,130,193.69,698.21,743
