date,sym,direction,entry_time,exit_time,bars_held,opt_pct,pnl,mfe,mae,exit,regime,gap_pct,signal,month
2025-12-02,PLTR,long,09:35,14:35,60,-2.59,-19.39,2.85,-3.79,TIMEOUT,neutral,1.31,BOOF55,2025-12
2025-12-02,SNOW,long,09:35,14:35,60,-2.72,-20.36,3.13,-4.36,TIMEOUT,neutral,3.77,BOOF55,2025-12
2025-12-02,MSTR,long,09:35,14:35,60,8.14,61.06,9.16,-2.63,TIMEOUT,neutral,2.55,BOOF55,2025-12
2025-12-02,CRWD,long,09:35,14:35,60,0.51,3.84,1.78,-3.1,TIMEOUT,neutral,1.68,BOOF55,2025-12
2025-12-02,UPST,short,09:35,14:35,60,1.74,13.06,2.99,-3.39,TIMEOUT,neutral,0.75,BOOF51,2025-12
2025-12-02,COIN,long,14:35,15:50,15,-4.55,-34.11,0.19,-4.58,EOD,neutral,2.98,BOOF55,2025-12
2025-12-02,HOOD,long,14:35,15:50,15,-2.51,-18.84,1.05,-2.56,EOD,neutral,1.79,BOOF55,2025-12
2025-12-02,ARM,long,14:35,15:50,15,-0.38,-2.83,0.6,-0.38,EOD,neutral,1.63,BOOF55,2025-12
2025-12-02,APP,long,14:35,15:50,15,-0.14,-1.02,1.24,-0.81,EOD,neutral,1.52,BOOF55,2025-12
2025-12-02,MRVL,long,14:40,15:50,14,-0.33,-2.5,0.93,-0.67,EOD,neutral,1.71,BOOF55,2025-12
2025-12-03,UBER,long,09:35,14:35,60,-1.04,-7.83,0.86,-3.58,TIMEOUT,neutral,2.73,BOOF55,2025-12
2025-12-03,MRVL,long,09:35,14:35,60,1.65,12.37,4.27,-6.15,TIMEOUT,neutral,7.23,BOOF55,2025-12
2025-12-03,AMD,short,09:35,14:35,60,-4.29,-32.14,0.06,-5.72,TIMEOUT,neutral,0.5,BOOF51,2025-12
2025-12-03,COIN,long,10:00,15:00,60,0.1,0.72,0.84,-3.98,TIMEOUT,bull,1.81,BOOF55,2025-12
2025-12-04,HIMS,long,09:35,12:30,35,10.0,75.0,10.56,-0.13,TP,neutral,3.15,BOOF55,2025-12
2025-12-04,GOOGL,short,09:35,14:35,60,0.07,0.53,1.32,-0.72,TIMEOUT,neutral,0.73,BOOF51,2025-12
2025-12-04,META,long,09:35,14:35,60,-1.26,-9.43,0.99,-1.88,TIMEOUT,neutral,5.63,BOOF55,2025-12
2025-12-04,APP,long,09:35,14:35,60,4.03,30.23,6.69,-1.71,TIMEOUT,neutral,1.81,BOOF55,2025-12
2025-12-04,NVDA,short,10:10,15:10,60,-2.64,-19.78,0.4,-4.53,TIMEOUT,neutral,1.06,BOOF51,2025-12
2025-12-04,NVDA,long,15:15,15:50,7,0.64,4.81,1.04,-0.3,EOD,neutral,1.06,BOOF55,2025-12
2025-12-05,AVGO,long,09:35,14:35,60,-0.08,-0.62,1.93,-2.08,TIMEOUT,neutral,1.53,BOOF55,2025-12
2025-12-05,CRM,long,09:35,14:35,60,5.3,39.76,6.02,-0.24,TIMEOUT,neutral,1.22,BOOF55,2025-12
2025-12-05,ARM,long,09:40,14:40,60,-0.16,-1.17,3.29,-1.04,TIMEOUT,neutral,2.29,BOOF55,2025-12
2025-12-05,APP,short,09:40,14:40,60,0.12,0.93,2.6,-3.77,TIMEOUT,neutral,0.54,BOOF51,2025-12
2025-12-05,MRVL,short,09:40,14:40,60,2.5,18.79,6.54,-1.43,TIMEOUT,neutral,2.24,BOOF51,2025-12
2025-12-08,SMCI,long,09:35,14:35,60,2.29,17.18,4.94,-1.69,TIMEOUT,neutral,1.33,BOOF55,2025-12
2025-12-08,MU,long,09:35,14:35,60,-3.01,-22.54,1.83,-4.15,TIMEOUT,neutral,2.55,BOOF55,2025-12
2025-12-08,AVGO,long,09:35,14:35,60,-1.67,-12.56,0.52,-2.53,TIMEOUT,neutral,3.09,BOOF55,2025-12
