sym,date,level,entry_time,gap_pct,gapped_up,open_above,max_30m,max_1hr,max_2hr,max_3hr,max_eod,ret_30m,ret_1hr,ret_2hr,ret_3hr,ret_eod,rr_1_05,rr_2_1
AAPL,2025-12-17,PDH,09:38,0.197,True,False,0.181,0.181,0.181,0.181,0.181,-0.227,-0.102,-0.976,-0.9,-1.379,False,False
AAPL,2025-12-17,PMH,09:49,0.197,True,False,0.142,0.142,0.142,0.142,0.142,-0.042,-0.27,-1.084,-0.858,-1.357,False,False
AAPL,2025-12-19,PMH,09:44,0.085,False,False,0.104,0.104,0.104,0.104,0.72,-0.294,-0.275,-0.615,-0.479,0.361,False,False
AAPL,2025-12-23,PMH,09:53,0.007,False,False,0.055,0.055,0.195,0.199,0.265,-0.214,-0.147,0.195,-0.118,0.199,,
AAPL,2025-12-26,PMH,09:32,0.186,True,False,0.227,0.227,0.227,0.227,0.227,-0.187,-0.005,0.051,-0.105,-0.545,False,
AAPL,2025-12-29,PMH,09:31,-0.201,False,False,0.223,0.223,0.223,0.223,0.223,0.055,0.077,-0.19,-0.226,-0.004,,
AAPL,2025-12-30,PMH,09:55,-0.34,False,False,0.026,0.026,0.026,0.026,0.026,-0.453,-0.355,-0.497,-0.332,-0.289,False,
AAPL,2026-01-02,PDH,09:37,0.153,True,False,1.401,1.401,1.401,1.401,1.401,0.912,-0.443,-1.244,-1.42,-1.102,True,False
AAPL,2026-01-02,PMH,09:38,0.153,True,False,1.355,1.355,1.355,1.355,1.355,0.847,-0.622,-1.288,-1.452,-1.147,True,False
AAPL,2026-01-09,PDH,09:31,-0.002,False,False,0.116,0.116,0.116,0.116,0.196,-1.203,-0.474,-1.07,-0.339,-0.142,False,False
AAPL,2026-01-12,PDH,10:27,-0.042,False,False,0.126,0.126,0.126,0.126,0.126,-0.56,-0.241,-0.146,-0.011,-0.291,False,
AAPL,2026-01-12,PMH,10:27,-0.042,False,False,0.126,0.126,0.126,0.126,0.126,-0.56,-0.241,-0.146,-0.011,-0.291,False,
AAPL,2026-01-13,PDH,09:38,-0.573,False,False,0.191,0.191,0.191,0.191,0.191,-0.467,-0.57,-0.253,-0.02,-0.099,False,
AAPL,2026-01-13,PMH,09:35,-0.573,False,False,0.518,0.518,0.518,0.518,0.518,-0.044,-0.207,0.008,0.265,0.227,False,
AAPL,2026-01-14,PMH,09:32,-0.598,False,False,0.306,0.306,0.306,0.306,0.306,-0.69,-0.598,-0.979,-1.429,-0.41,False,False
AAPL,2026-01-16,PMH,09:31,-0.112,False,False,0.077,0.077,0.077,0.077,0.077,-0.682,-0.727,-0.839,-1.198,-1.245,False,False
AAPL,2026-01-22,PMH,09:37,0.634,True,False,0.032,0.032,0.032,0.032,0.12,-0.371,-0.315,-0.455,-0.172,-0.935,False,False
AAPL,2026-01-26,PMH,09:39,1.424,True,False,0.58,1.071,1.134,1.134,1.554,0.434,0.837,0.94,0.79,1.102,True,
AAPL,2026-01-27,PMH,09:32,1.456,True,False,0.547,0.547,0.547,0.547,0.547,0.342,-0.278,0.056,0.296,-0.866,False,
AAPL,2026-02-02,PDH,09:31,0.204,True,False,0.24,0.727,0.772,0.772,2.716,0.153,0.704,0.427,0.316,2.527,False,False
AAPL,2026-02-02,PMH,09:40,0.204,True,False,1.45,1.892,1.892,1.892,3.858,1.335,1.512,1.51,1.312,3.666,True,True
AAPL,2026-02-03,PDH,09:53,-0.293,False,False,0.295,0.295,0.295,0.295,0.404,-0.757,-0.702,-0.555,-0.49,-0.476,False,False
AAPL,2026-02-03,PMH,09:32,-0.293,False,False,0.653,0.653,0.653,0.653,0.762,0.06,-0.081,-0.389,-0.374,-0.122,False,
AAPL,2026-02-06,PDH,09:38,0.46,True,False,0.407,0.407,0.407,0.407,0.407,0.073,-0.066,-0.077,-0.613,-0.62,False,False
AAPL,2026-02-06,PMH,09:32,0.46,True,False,0.853,0.853,0.853,0.853,0.853,0.457,0.347,0.345,0.004,-0.179,False,
AAPL,2026-02-10,PMH,10:06,0.129,True,False,0.009,0.009,0.009,0.009,0.009,-0.354,-0.432,-0.607,-0.532,-0.565,False,
AAPL,2026-02-11,PDH,09:37,0.325,True,False,0.613,1.197,1.534,1.607,1.607,0.167,1.008,1.083,1.561,-0.094,True,
AAPL,2026-02-11,PMH,09:35,0.325,True,False,0.88,1.462,1.804,1.876,1.876,0.535,1.429,1.353,1.731,0.171,True,
AAPL,2026-02-17,PMH,09:33,0.825,True,False,0.359,1.005,1.005,1.329,2.898,0.309,0.166,0.502,1.07,1.917,True,True
AAPL,2026-02-18,PDH,11:31,-0.083,False,False,0.135,0.135,0.135,0.135,0.135,-0.406,-0.36,-0.424,-0.811,-0.833,False,False
AAPL,2026-02-18,PMH,11:28,-0.083,False,False,0.286,0.286,0.286,0.286,0.286,-0.272,-0.256,-0.263,-0.543,-0.684,False,False
AAPL,2026-02-19,PMH,11:21,-0.655,False,False,0.009,0.009,0.009,0.009,0.009,-0.486,-0.486,-1.14,-1.012,-1.492,False,False
AAPL,2026-02-20,PDH,11:53,-0.591,False,False,0.059,0.059,0.059,0.059,0.059,-1.03,-0.709,-0.13,-0.164,-0.002,False,False
AAPL,2026-02-20,PMH,10:08,-0.591,False,False,0.176,0.523,1.092,1.092,1.092,-0.187,0.286,0.615,0.653,1.031,False,
AAPL,2026-02-23,PDH,09:46,-0.416,False,False,0.481,1.108,1.108,1.225,1.746,0.471,0.802,0.741,1.111,0.598,True,
AAPL,2026-02-23,PMH,09:46,-0.416,False,False,0.481,1.108,1.108,1.225,1.746,0.471,0.802,0.741,1.111,0.598,True,
AAPL,2026-02-25,PMH,09:43,-0.162,False,False,0.591,0.591,0.778,0.778,0.907,0.143,0.286,0.321,0.708,0.628,,
AAPL,2026-02-26,PDH,09:31,0.255,True,False,0.058,0.058,0.058,0.058,0.058,-0.679,-1.276,-0.981,-1.34,-0.846,False,False
AAPL,2026-02-26,PMH,09:31,0.255,True,False,0.058,0.058,0.058,0.058,0.058,-0.679,-1.276,-0.981,-1.34,-0.846,False,False
AAPL,2026-03-02,PMH,10:16,-0.647,False,False,0.087,0.238,0.696,0.73,0.821,-0.308,0.095,0.688,0.452,0.091,False,
AAPL,2026-03-03,PMH,09:37,-0.423,False,False,0.446,0.446,0.446,0.446,0.446,-0.46,-0.401,-0.55,-1.381,-0.261,False,False
AAPL,2026-03-04,PMH,09:33,0.383,True,False,0.091,0.091,0.091,0.219,0.46,-1.121,-0.302,-0.174,-0.192,-0.936,False,False
AAPL,2026-03-09,PMH,10:04,-0.715,False,False,0.23,0.605,0.722,0.757,1.88,-0.07,0.433,0.406,0.429,1.389,True,
AAPL,2026-03-10,PDH,10:50,-0.864,False,False,0.226,0.226,0.302,0.494,0.494,0.126,0.019,-0.073,0.295,-0.18,,
AAPL,2026-03-10,PMH,11:00,-0.864,False,False,0.073,0.073,0.149,0.34,0.34,-0.168,-0.13,-0.168,0.218,-0.333,,
AAPL,2026-03-11,PMH,09:34,0.15,True,False,0.16,0.16,0.16,0.16,0.16,-0.21,-0.627,-0.552,-0.264,-0.344,False,
AAPL,2026-03-16,PMH,09:37,0.794,True,False,0.375,0.608,0.642,0.642,0.642,0.182,0.531,0.402,0.054,0.204,,
AAPL,2026-03-17,PDH,09:41,0.103,True,False,0.317,0.317,0.317,0.338,0.338,-0.039,0.02,-0.122,0.065,-0.016,,
AAPL,2026-03-17,PMH,09:41,0.103,True,False,0.317,0.317,0.317,0.338,0.338,-0.039,0.02,-0.122,0.065,-0.016,,
AAPL,2026-03-24,PDH,11:51,-0.434,False,False,0.0,0.063,0.063,0.063,0.063,-0.141,-0.379,-0.874,-0.799,-1.145,False,False
AAPL,2026-03-24,PMH,10:06,-0.434,False,False,0.293,0.368,0.915,0.969,0.969,-0.028,0.254,0.444,0.293,-0.25,,
AAPL,2026-03-25,PDH,09:32,0.931,True,False,0.047,0.047,0.047,0.047,0.051,-1.106,-0.789,-0.251,-0.196,-0.887,False,False
AAPL,2026-03-25,PMH,09:32,0.931,True,False,0.047,0.047,0.047,0.047,0.051,-1.106,-0.789,-0.251,-0.196,-0.887,False,False
AAPL,2026-03-26,PDH,10:14,-0.154,False,False,0.659,0.765,0.765,0.765,0.765,0.533,0.435,0.424,0.086,-0.851,False,False
AAPL,2026-03-26,PMH,09:59,-0.154,False,False,0.973,1.218,1.273,1.273,1.273,0.843,1.064,1.082,0.983,-0.351,True,
AAPL,2026-03-27,PMH,09:47,0.403,True,False,0.276,0.276,0.276,0.276,0.276,-0.039,-1.013,-0.934,-0.848,-2.426,False,False
AAPL,2026-04-01,PDH,09:44,0.083,False,False,0.109,0.109,0.109,0.109,0.23,-0.496,-0.545,-0.623,-0.298,0.058,False,
AAPL,2026-04-02,PMH,10:52,-0.583,False,False,0.491,0.491,0.491,0.491,0.648,0.008,0.083,0.031,-0.047,0.554,,
AAPL,2026-04-10,PDH,10:04,-0.165,False,False,0.251,0.381,0.381,0.381,0.381,0.212,0.063,-0.205,-0.61,-0.312,False,
AAPL,2026-04-10,PMH,10:02,-0.165,False,False,0.383,0.514,0.514,0.514,0.514,0.242,0.165,-0.004,-0.411,-0.18,False,
AAPL,2026-04-14,PDH,09:31,-0.039,False,False,0.634,0.634,0.634,0.634,0.634,-0.244,-0.4,-0.861,-0.949,-0.547,False,False
AAPL,2026-04-14,PMH,09:31,-0.039,False,False,0.634,0.634,0.634,0.634,0.634,-0.244,-0.4,-0.861,-0.949,-0.547,False,False
AAPL,2026-04-15,PDH,10:49,-0.315,False,False,0.801,0.801,1.332,1.439,1.733,0.401,0.647,1.072,1.015,1.66,True,
AAPL,2026-04-15,PMH,10:02,-0.315,False,False,0.741,1.751,2.207,2.43,2.836,0.714,1.728,2.176,2.353,2.762,True,True
AAPL,2026-04-17,PDH,09:31,1.409,True,False,0.877,0.877,1.782,1.812,1.812,0.586,0.5,1.763,1.599,1.021,True,
AAPL,2026-04-17,PMH,09:35,1.409,True,False,0.264,0.264,1.193,1.193,1.193,-0.056,0.134,1.119,0.866,0.407,False,
AAPL,2026-04-20,PDH,09:34,0.054,False,False,0.634,0.676,0.676,0.676,0.676,0.547,0.241,-0.046,0.248,0.182,,
AAPL,2026-04-20,PMH,09:32,0.054,False,False,1.047,1.089,1.089,1.089,1.089,0.945,0.619,0.494,0.531,0.593,True,
AAPL,2026-04-22,PDH,11:41,0.571,True,False,0.156,0.156,0.209,0.242,0.242,-0.037,-0.121,0.15,-0.242,0.04,,
AAPL,2026-04-22,PMH,09:41,0.571,True,False,0.811,1.593,1.791,1.946,2.033,0.771,1.329,1.787,1.664,1.828,True,True
AAPL,2026-04-23,PDH,09:47,0.626,True,True,0.261,0.261,0.261,0.261,0.261,0.192,0.031,-0.179,-0.272,-0.162,False,
AAPL,2026-04-23,PMH,09:35,0.626,True,False,0.069,0.069,0.069,0.069,0.069,-0.511,-0.606,-0.562,-0.725,-0.776,False,False
AAPL,2026-04-29,PMH,10:06,-1.171,False,False,0.006,0.006,0.006,0.285,0.285,-0.422,-0.414,-0.496,0.148,-0.03,False,
AAPL,2026-04-30,PDH,10:00,0.122,True,False,0.369,0.369,0.369,0.937,1.762,0.282,-0.079,0.265,0.327,-0.006,True,
AAPL,2026-04-30,PMH,10:25,0.122,True,False,0.051,0.051,0.265,0.617,1.441,-0.307,-0.221,0.202,0.184,-0.322,True,
AAPL,2026-05-01,PMH,09:32,2.821,True,False,0.859,1.484,1.484,1.484,1.484,0.647,0.396,0.106,0.315,-1.014,False,False
AAPL,2026-05-05,PDH,10:22,0.029,False,False,0.869,0.869,0.869,1.354,1.354,0.022,-0.298,0.082,0.825,1.225,True,
AAPL,2026-05-05,PMH,09:32,0.029,False,False,0.712,1.316,1.816,1.816,2.304,0.514,1.276,0.679,1.391,2.175,True,True
AAPL,2026-05-06,PDH,09:51,-0.808,False,False,0.717,0.717,0.717,0.864,1.177,0.541,0.144,0.144,0.551,1.008,True,
AAPL,2026-05-06,PMH,09:46,-0.808,False,False,1.122,1.161,1.161,1.309,1.623,1.06,0.552,0.589,1.254,1.454,True,
AAPL,2026-05-07,PMH,09:36,0.598,True,False,0.749,0.769,0.769,0.769,0.769,0.628,0.048,0.212,-0.188,-0.842,False,False
AAPL,2026-05-08,PDH,09:31,0.887,True,False,0.756,0.756,0.826,0.826,0.826,0.395,0.565,0.149,0.05,0.299,,
AAPL,2026-05-08,PMH,09:31,0.887,True,False,0.756,0.756,0.826,0.826,0.826,0.395,0.565,0.149,0.05,0.299,,
AAPL,2026-05-12,PDH,09:56,-0.058,False,False,0.296,0.296,0.327,0.327,0.452,0.082,0.163,0.082,-0.058,0.32,,
AAPL,2026-05-12,PMH,09:56,-0.058,False,False,0.296,0.296,0.327,0.327,0.452,0.082,0.163,0.082,-0.058,0.32,,
AAPL,2026-05-13,PDH,09:32,-0.499,False,False,0.631,0.631,0.746,1.033,1.784,-0.079,-0.011,0.719,0.964,1.094,True,
AAPL,2026-05-13,PMH,09:31,-0.499,False,False,0.89,0.89,0.975,1.287,2.047,0.304,0.202,0.975,1.28,1.355,True,True
AAPL,2026-05-15,PDH,10:40,-0.134,False,False,0.384,0.737,0.737,0.873,0.873,0.371,0.547,0.418,0.667,-0.106,,
AAPL,2026-05-15,PMH,10:38,-0.134,False,False,0.497,0.866,0.866,1.003,1.003,0.408,0.621,0.513,0.83,0.022,True,
AAPL,2026-05-19,PMH,10:18,-0.289,False,False,0.023,0.023,0.023,0.275,0.443,-0.356,-0.151,-0.393,0.218,0.359,False,
AAPL,2026-05-20,PDH,09:34,-0.268,False,False,0.515,0.515,0.515,0.515,0.658,-0.386,-0.406,-0.544,-0.289,0.48,False,
AAPL,2026-05-20,PMH,09:31,-0.268,False,False,0.876,0.876,0.876,0.876,1.019,0.143,0.067,-0.199,-0.023,0.841,True,
AAPL,2026-05-21,PDH,09:54,-0.409,False,False,0.069,0.069,0.459,0.459,0.885,-0.495,-0.33,0.31,0.071,0.74,False,
AAPL,2026-05-21,PMH,09:40,-0.409,False,False,0.235,0.235,0.489,0.625,1.052,-0.06,-0.096,0.486,0.357,0.906,True,
AAPL,2026-05-26,PDH,10:13,0.259,True,False,0.128,0.128,0.128,0.128,0.128,-0.067,0.022,-0.501,-0.586,-0.976,False,False
AAPL,2026-05-26,PMH,10:00,0.259,True,False,0.225,0.225,0.225,0.225,0.225,0.116,0.151,-0.264,-0.328,-0.881,False,False
AAPL,2026-05-27,PDH,09:57,-0.006,False,False,0.184,0.325,0.341,0.341,0.341,-0.389,0.091,-0.239,-0.537,-0.405,False,
AAPL,2026-05-28,PMH,09:49,-0.1,False,False,0.279,0.279,0.279,0.279,0.279,0.014,-0.256,-0.245,-0.619,0.186,False,
AAPL,2026-05-29,PMH,10:48,-0.235,False,False,0.04,0.04,0.04,0.04,0.27,-0.269,-0.399,-0.36,-0.818,-0.107,False,
AAPL,2026-06-02,PDH,11:05,0.346,True,False,0.575,0.646,1.231,1.385,1.385,0.469,0.505,1.152,1.205,1.311,True,
AAPL,2026-06-03,PDH,09:31,-0.332,False,False,0.425,0.425,0.425,0.425,0.425,-0.377,-0.323,-1.103,-1.952,-1.651,False,False
AAPL,2026-06-03,PMH,10:04,-0.332,False,False,0.184,0.184,0.184,0.184,0.184,-0.466,-1.322,-1.132,-1.728,-1.582,False,False
AAPL,2026-06-05,PDH,09:31,0.524,True,False,0.172,0.385,0.385,0.385,0.385,-0.213,-0.056,-0.032,-0.627,-2.093,False,False
