sym,date,gap_pct,gap_bucket,rvol,is_new,std_result,std_ret,ret_2h,ret_1h
AAPL,2026-04-17,1.409,gap_1_2,1.54,False,TP,1.0,1.763,0.5
AAPL,2026-05-01,2.821,gap_2plus,2.22,False,SL,-0.5,0.106,0.396
ACN,2026-02-26,1.284,gap_1_2,1.51,True,SL,-0.5,3.316,2.869
ACN,2026-05-14,1.523,gap_1_2,1.76,True,SL,-0.5,0.136,-0.258
AMAT,2026-01-09,2.418,gap_2plus,1.84,True,TP,1.0,0.865,0.739
AMAT,2026-01-16,2.07,gap_2plus,1.77,True,SL,-0.5,-0.946,-2.096
AMAT,2026-02-13,11.167,gap_2plus,2.14,True,SL,-0.5,-3.517,-1.327
AMAT,2026-05-14,1.571,gap_1_2,2.07,True,TP,1.0,0.834,-0.156
AMAT,2026-06-11,5.086,gap_2plus,1.55,True,TP,1.0,1.969,1.682
AMZN,2026-01-05,1.033,gap_1_2,1.5,False,TP,1.0,1.384,1.523
AMZN,2026-04-09,1.8,gap_1_2,1.72,False,SL,-0.5,2.263,0.507
APH,2026-01-12,1.085,gap_1_2,1.51,False,TP,1.0,1.484,2.8
APH,2026-01-27,1.485,gap_1_2,2.5,False,TP,1.0,2.654,2.06
APH,2026-01-29,1.558,gap_1_2,1.83,False,TP,1.0,-0.111,-1.278
APH,2026-05-26,3.543,gap_2plus,1.54,False,TP,1.0,2.406,1.698
AVGO,2026-02-03,1.697,gap_1_2,1.57,False,SL,-0.5,-6.551,-6.443
AVGO,2026-02-05,2.118,gap_2plus,1.76,False,TP,1.0,0.028,-1.061
AVGO,2026-05-29,1.449,gap_1_2,1.63,False,TP,1.0,0.242,0.127
AXP,2026-04-17,1.317,gap_1_2,1.57,False,TP,1.0,1.789,1.518
BKNG,2026-04-08,4.399,gap_2plus,7.89,False,TP,1.0,-0.482,-0.239
BKNG,2026-04-15,1.259,gap_1_2,2.1,False,SL,-0.5,0.487,-0.119
BKNG,2026-04-17,2.342,gap_2plus,2.23,False,SL,-0.5,1.15,0.997
BLK,2026-04-14,2.591,gap_2plus,1.77,False,SL,-0.5,0.812,0.069
BSX,2026-02-05,2.573,gap_2plus,2.47,True,SL,-0.5,0.74,0.35
BSX,2026-04-22,5.068,gap_2plus,2.61,True,SL,-0.5,0.116,0.556
BSX,2026-04-23,1.079,gap_1_2,1.76,True,SL,-0.5,-0.635,-0.938
CAT,2026-04-30,5.325,gap_2plus,2.37,False,TP,1.0,2.658,2.175
CL,2026-01-30,4.224,gap_2plus,2.04,True,SL,-0.5,-1.233,-1.596
