sym,date,gap_pct,gap_bucket,level,entry_time,ret_eod,TP1.0_SL0.5_result,TP1.0_SL0.5_ret,TP1.5_SL0.5_result,TP1.5_SL0.5_ret,TP2.0_SL1.0_result,TP2.0_SL1.0_ret
AAPL,2026-01-26,1.424,gap_1_2,PMH,09:39,1.102,TP,1.0,TP,1.5,EOD,1.1025
AAPL,2026-01-27,1.456,gap_1_2,PMH,09:32,-0.866,SL,-0.5,SL,-0.5,EOD,-0.8656
AAPL,2026-04-17,1.409,gap_1_2,PDH,09:31,1.021,TP,1.0,TP,1.5,EOD,1.0211
AAPL,2026-05-01,2.821,gap_2plus,PMH,09:32,-1.014,SL,-0.5,SL,-0.5,SL,-1.0
AAPL,2026-06-15,1.02,gap_1_2,PMH,09:40,0.472,EOD,0.4715,EOD,0.4715,EOD,0.4715
ABT,2026-03-13,1.165,gap_1_2,PMH,09:47,-0.781,SL,-0.5,SL,-0.5,SL,-1.0
ABT,2026-03-25,1.336,gap_1_2,PMH,09:37,-0.494,SL,-0.5,SL,-0.5,SL,-1.0
ABT,2026-04-08,1.282,gap_1_2,PDH,10:13,0.685,EOD,0.685,EOD,0.685,EOD,0.685
ABT,2026-04-28,1.066,gap_1_2,PMH,09:32,-0.356,SL,-0.5,SL,-0.5,EOD,-0.3557
ABT,2026-05-12,1.029,gap_1_2,PMH,09:48,0.946,TP,1.0,TP,1.5,EOD,0.9457
ABT,2026-05-15,1.178,gap_1_2,PMH,09:39,-1.665,SL,-0.5,SL,-0.5,SL,-1.0
ABT,2026-06-05,1.135,gap_1_2,PMH,09:32,-0.709,TP,1.0,SL,-0.5,EOD,-0.7086
AMZN,2025-12-18,2.047,gap_2plus,PMH,09:32,0.332,SL,-0.5,SL,-0.5,EOD,0.3318
AMZN,2026-01-05,1.033,gap_1_2,PMH,09:36,1.724,TP,1.0,TP,1.5,TP,2.0
AMZN,2026-01-22,1.165,gap_1_2,PDH,10:12,0.839,TP,1.0,EOD,0.8393,EOD,0.8393
AMZN,2026-03-23,2.182,gap_2plus,PMH,09:49,-0.767,SL,-0.5,SL,-0.5,EOD,-0.7675
AMZN,2026-03-25,2.113,gap_2plus,PMH,09:33,-0.346,SL,-0.5,SL,-0.5,SL,-1.0
AMZN,2026-03-30,1.079,gap_1_2,PMH,09:38,-0.672,SL,-0.5,SL,-0.5,SL,-1.0
AMZN,2026-03-31,1.986,gap_1_2,PMH,09:34,1.39,TP,1.0,TP,1.5,TP,2.0
AMZN,2026-04-01,1.027,gap_1_2,PDH,09:34,0.026,SL,-0.5,SL,-0.5,SL,-1.0
AMZN,2026-04-09,1.8,gap_1_2,PMH,09:46,3.477,SL,-0.5,SL,-0.5,TP,2.0
AMZN,2026-04-17,2.062,gap_2plus,PMH,10:33,-1.869,SL,-0.5,SL,-0.5,SL,-1.0
AMZN,2026-04-22,1.036,gap_1_2,PMH,10:02,0.865,TP,1.0,EOD,0.8651,EOD,0.8651
AMZN,2026-04-24,1.905,gap_1_2,PDH,09:33,1.61,SL,-0.5,SL,-0.5,EOD,1.6097
