pnl,slack,tier,result,symbol,trend
-50.0,1.7238158094002356,core,loss,AAPL,up
100.0,0.6147652182806614,expanded,win,AAPL,up
-25.0,0.7397434297899835,expanded,loss,AAPL,up
-25.0,0.7315378999784571,expanded,loss,AAPL,down
-25.0,0.6198627937491954,expanded,loss,AAPL,up
-25.0,0.7123412515102453,expanded,loss,AAPL,up
200.0,1.3507661151411179,core,win,AAPL,down
-50.0,3.372938733131457,core,loss,AAPL,up
-25.0,0.7555193976092113,expanded,loss,AAPL,up
-25.0,0.6127475245147694,expanded,loss,AAPL,up
-25.0,0.7443216051077383,expanded,loss,AAPL,up
100.0,0.7388129441308103,expanded,win,AAPL,down
-25.0,0.7346089255580692,expanded,loss,AAPL,up
-50.0,1.183215236883601,core,loss,AAPL,up
-50.0,4.367980134389503,core,loss,AAPL,up
-50.0,1.7919283673774447,core,loss,AAPL,up
-25.0,0.6189132723628593,expanded,loss,AAPL,up
-50.0,1.0051348860910798,core,loss,AAPL,up
-50.0,0.9180214464265024,core,loss,AAPL,up
-50.0,1.7367163560603869,core,loss,AAPL,up
-25.0,0.6030699315857843,expanded,loss,AAPL,down
-50.0,0.9094787963946128,core,loss,AAPL,up
-50.0,1.1362134399599764,core,loss,AAPL,up
-25.0,0.61923048608797,expanded,loss,AAPL,up
-50.0,1.205459444338189,core,loss,AAPL,up
-50.0,1.051070172844108,core,loss,AAPL,down
200.0,1.3513202775694706,core,win,AAPL,up
-50.0,0.9220608712013935,core,loss,AAPL,up
-25.0,0.610458988538192,expanded,loss,AAPL,up
-25.0,0.7931125869258883,expanded,loss,AAPL,up
-25.0,0.7519220437031772,expanded,loss,AAPL,up
-50.0,1.2188587998071867,core,loss,AAPL,up
-50.0,2.4356266810754983,core,loss,AAPL,up
200.0,0.8195948519148349,core,win,AAPL,up
-50.0,1.2327742966945043,core,loss,AAPL,up
-50.0,1.02598819322179,core,loss,AAPL,up
100.0,0.6446415516113325,expanded,win,AAPL,up
-25.0,0.7046306842269807,expanded,loss,AAPL,up
100.0,0.6844892076929665,expanded,win,AAPL,up
100.0,0.7007908585170597,expanded,win,AAPL,down
-50.0,1.8857506830196782,core,loss,AAPL,up
-50.0,0.9675576653533912,core,loss,AAPL,up
-25.0,0.7239953788900767,expanded,loss,AAPL,up
-50.0,0.9719294813509958,core,loss,AAPL,up
-25.0,0.6076913475272971,expanded,loss,AAPL,up
-50.0,0.839985248479811,core,loss,AAPL,up
-50.0,1.1395246527965108,core,loss,AAPL,up
-25.0,0.7456316905696615,expanded,loss,AAPL,up
100.0,0.79646093297865,expanded,win,AAPL,down
-25.0,0.6726162609783372,expanded,loss,AAPL,down
-50.0,0.8032963088495095,core,loss,AAPL,up
-25.0,0.6161306418585903,expanded,loss,AAPL,up
-50.0,0.9396429211569518,core,loss,AAPL,up
-25.0,0.7369719054271119,expanded,loss,AAPL,up
-25.0,0.6466001270084561,expanded,loss,AAPL,up
-25.0,0.6518698975232514,expanded,loss,AAPL,up
-50.0,0.8210642444587899,core,loss,AAPL,up
200.0,2.347267859176227,core,win,AAPL,down
100.0,0.6237054110303326,expanded,win,AAPL,up
-25.0,0.6217756388423913,expanded,loss,AAPL,up
-50.0,1.4570226637490948,core,loss,AAPL,up
-25.0,0.6831395280974942,expanded,loss,AAPL,up
200.0,1.8225563431722318,core,win,AAPL,up
-50.0,0.8581012144705499,core,loss,AAPL,up
-50.0,1.0073549342673085,core,loss,AAPL,up
-25.0,0.7805667912349519,expanded,loss,AAPL,up
-25.0,0.7520407780575664,expanded,loss,AAPL,up
100.0,0.798716974798544,expanded,win,NVDA,down
-25.0,0.7898199197542924,expanded,loss,NVDA,up
200.0,1.4228471348552385,core,win,NVDA,neutral
100.0,0.6401808480136476,expanded,win,NVDA,up
100.0,0.6717715348966199,expanded,win,NVDA,down
100.0,0.6789514427018996,expanded,win,NVDA,down
-25.0,0.7138336648398445,expanded,loss,NVDA,up
-25.0,0.6918229309421895,expanded,loss,NVDA,down
100.0,0.6142765488025507,expanded,win,NVDA,down
100.0,0.7407472030374539,expanded,win,NVDA,up
-25.0,0.6941452030097356,expanded,loss,NVDA,up
200.0,0.8061942344596964,core,win,NVDA,up
-25.0,0.6345569573278811,expanded,loss,NVDA,up
-25.0,0.6857482526800556,expanded,loss,NVDA,down
200.0,0.8242910568168904,core,win,NVDA,down
200.0,1.0242704985546216,core,win,NVDA,down
-25.0,0.6160934320561968,expanded,loss,NVDA,up
200.0,1.2866581423315993,core,win,NVDA,up
200.0,0.810665413360342,core,win,NVDA,down
-25.0,0.7359675837302797,expanded,loss,NVDA,down
-25.0,0.6167202709059765,expanded,loss,NVDA,up
-50.0,1.473691056793705,core,loss,NVDA,up
-50.0,1.2176441341611457,core,loss,NVDA,up
-50.0,1.1658058380036478,core,loss,NVDA,up
200.0,1.0138474594684528,core,win,NVDA,down
200.0,0.8394244846914584,core,win,NVDA,up
-50.0,0.8760456696208468,core,loss,NVDA,down
-25.0,0.6656951879067817,expanded,loss,NVDA,up
-25.0,0.6450599557493919,expanded,loss,NVDA,down
100.0,0.714078476371064,expanded,win,NVDA,up
200.0,1.0037690057513318,core,win,NVDA,up
100.0,0.6609929808896501,expanded,win,NVDA,down
