Sym,Setup,Level,TimeWindow,ExitCfg,N,WR%,PF,EV_pts,MaxDD_pts
ES,breakout,PriorRTHHigh,10:30-11:00,TP12_SL6,1,100.0,inf,12.0,0.0
ES,breakout,PriorRTHHigh,10:30-11:00,TP8_SL4,1,100.0,inf,8.0,0.0
ES,breakout,PriorRTHHigh,12:00-14:00,TP8_SL4,2,100.0,inf,8.0,0.0
ES,reject,OR15High,14:00-close,TP8_SL4,2,100.0,inf,8.0,0.0
ES,reject,GlobexHigh,10:30-11:00,TP12_SL6,12,66.7,4.0,6.0,-6.0
ES,reject,OR15Low,12:00-14:00,TP12_SL6,3,66.7,4.0,6.0,-6.0
ES,reject,OR15Low,12:00-14:00,TP8_SL4,3,66.7,4.0,4.0,-4.0
ES,reject,GlobexHigh,09:45-10:00,TP12_SL6,21,61.9,3.25,5.14,-12.0
ES,breakout,GlobexLow,09:45-10:00,TP12_SL6,15,60.0,3.0,4.8,-24.0
ES,breakout,PriorRTHLow,12:00-14:00,TP12_SL6,10,60.0,2.86,4.47,-6.0
ES,reject,PriorRTHLow,14:00-close,TP8_SL4,9,55.6,2.5,2.67,-8.0
ES,breakout,VWAP,09:30-09:45,TP8_SL4,25,52.0,2.17,2.24,-12.0
ES,breakout,OR15High,09:45-10:00,TP12_SL6,2,50.0,2.0,3.0,-6.0
ES,breakout,OR15High,09:45-10:00,TP8_SL4,2,50.0,2.0,2.0,-4.0
ES,breakout,PriorRTHHigh,09:45-10:00,TP12_SL6,4,50.0,2.0,3.0,-12.0
ES,breakout,PriorRTHHigh,09:45-10:00,TP8_SL4,4,50.0,2.0,2.0,-8.0
ES,breakout,PriorRTHHigh,12:00-14:00,TP12_SL6,2,50.0,2.0,3.0,0.0
ES,breakout,PriorRTHLow,12:00-14:00,TP8_SL4,10,50.0,2.0,2.0,-12.0
ES,breakout,VWAP,09:45-10:00,TP12_SL6,2,50.0,2.0,3.0,-6.0
ES,breakout,VWAP,09:45-10:00,TP8_SL4,2,50.0,2.0,2.0,-4.0
ES,reject,GlobexLow,12:00-14:00,TP8_SL4,12,50.0,2.0,2.0,-12.0
ES,reject,OR15High,14:00-close,TP12_SL6,2,50.0,2.0,3.0,-6.0
ES,reject,OR15Low,10:30-11:00,TP12_SL6,4,50.0,2.0,3.0,-12.0
ES,reject,OR15Low,10:30-11:00,TP8_SL4,4,50.0,2.0,2.0,-8.0
ES,reject,OR15Low,11:00-12:00,TP12_SL6,4,50.0,2.0,3.0,-6.0
ES,reject,OR15Low,11:00-12:00,TP8_SL4,4,50.0,2.0,2.0,-4.0
ES,reject,PriorRTHHigh,11:00-12:00,TP8_SL4,14,50.0,2.0,2.0,-16.0
ES,reject,VWAP,09:45-10:00,TP12_SL6,10,50.0,2.0,3.0,-12.0
ES,reject,VWAP,09:45-10:00,TP8_SL4,10,50.0,2.0,2.0,-8.0
ES,reject,GlobexHigh,09:45-10:00,TP8_SL4,21,47.6,1.82,1.71,-12.0
ES,breakout,GlobexLow,09:45-10:00,TP8_SL4,15,46.7,1.75,1.6,-20.0
ES,reject,PriorRTHLow,14:00-close,TP12_SL6,9,44.4,1.6,2.0,-12.0
