direction,entry_price,timestamp,idx,trigger,imbalance
short,6849.0,2025-12-08 16:02:00+00:00,1022,prior_day_low_break,0.045454545454545456
short,6841.0,2025-12-10 14:32:00+00:00,3692,prior_day_low_break,0.1875
short,6840.0,2025-12-10 14:34:00+00:00,3694,prior_day_low_break,0.09090909090909091
short,6834.25,2025-12-10 14:36:00+00:00,3696,prior_day_low_break,0.08695652173913043
long,6908.0,2025-12-11 21:00:00+00:00,5460,opening_range_high,0.85
short,6858.0,2025-12-15 14:34:00+00:00,7834,vwap_lose,0.03571428571428571
short,6725.5,2025-12-17 20:56:00+00:00,10975,prior_day_low_break,0.2727272727272727
short,6724.75,2025-12-17 20:58:00+00:00,10977,prior_day_low_break,0.06666666666666667
short,6724.0,2025-12-17 20:59:00+00:00,10978,prior_day_low_break,0.0
short,6905.25,2025-12-21 23:01:00+00:00,13193,vwap_lose,0.14285714285714285
long,6926.5,2025-12-22 14:32:00+00:00,14124,prior_day_high_break,0.896551724137931
long,6919.0,2025-12-22 14:35:00+00:00,14127,prior_day_high_break,1.0
long,6918.25,2025-12-22 14:37:00+00:00,14129,prior_day_high_break,0.7333333333333333
long,6961.25,2025-12-23 20:55:00+00:00,15887,prior_day_high_break,0.9375
long,6961.75,2025-12-23 20:56:00+00:00,15888,prior_day_high_break,0.8
short,6980.75,2025-12-26 14:31:00+00:00,18035,vwap_lose,0.0
long,6984.0,2025-12-26 14:33:00+00:00,18037,vwap_reclaim,0.9285714285714286
long,6982.0,2025-12-28 23:01:00+00:00,18485,vwap_reclaim,0.7222222222222222
short,6895.75,2025-12-31 20:59:00+00:00,22563,prior_day_low_break,0.2
short,6891.75,2025-12-31 21:00:00+00:00,22564,prior_day_low_break,0.2608695652173913
short,6906.25,2026-01-04 23:01:00+00:00,24005,vwap_lose,0.23076923076923078
long,6941.75,2026-01-05 14:31:00+00:00,24935,prior_day_high_break,0.9024390243902439
long,6990.5,2026-01-06 20:55:00+00:00,26699,prior_day_high_break,0.875
short,6949.75,2026-01-08 14:35:00+00:00,29079,prior_day_low_break,0.15384615384615385
short,6997.75,2026-01-11 23:01:00+00:00,30905,vwap_lose,0.06521739130434782
short,6964.75,2026-01-14 14:32:00+00:00,34596,prior_day_low_break,0.2
long,6978.0,2026-01-14 14:35:00+00:00,34599,vwap_reclaim,0.7586206896551724
short,6974.25,2026-01-14 14:36:00+00:00,34600,prior_day_low_break,0.045454545454545456
long,7007.0,2026-01-15 14:32:00+00:00,35976,prior_day_high_break,0.7222222222222222
long,7007.5,2026-01-15 14:33:00+00:00,35977,prior_day_high_break,0.8235294117647058
long,6931.25,2026-01-18 23:01:00+00:00,37805,vwap_reclaim,0.8404255319148937
long,6958.25,2026-01-22 14:32:00+00:00,42636,prior_day_high_break,0.8666666666666667
long,6964.0,2026-01-26 14:32:00+00:00,45396,prior_day_high_break,0.925
long,6970.25,2026-01-26 14:36:00+00:00,45400,prior_day_high_break,0.9444444444444444
long,6971.5,2026-01-26 14:37:00+00:00,45401,prior_day_high_break,0.7647058823529411
long,7010.0,2026-02-02 20:02:00+00:00,52626,prior_day_high_break,0.85
long,6949.5,2026-02-04 14:36:00+00:00,55060,vwap_reclaim,0.875
short,6844.0,2026-02-05 14:31:00+00:00,56435,prior_day_low_break,0.28846153846153844
short,6837.75,2026-02-05 14:32:00+00:00,56436,prior_day_low_break,0.02127659574468085
long,6960.0,2026-02-06 20:51:00+00:00,58195,prior_day_high_break,0.9459459459459459
long,6964.5,2026-02-06 20:52:00+00:00,58196,prior_day_high_break,0.7916666666666666
short,6928.25,2026-02-09 14:31:00+00:00,59195,prior_day_low_break,0.2641509433962264
long,7009.0,2026-02-11 14:31:00+00:00,61955,prior_day_high_break,0.8333333333333334
long,7010.5,2026-02-11 14:32:00+00:00,61956,prior_day_high_break,0.8
long,6858.0,2026-02-15 23:01:00+00:00,65165,vwap_reclaim,0.8157894736842105
long,6920.5,2026-02-20 15:02:00+00:00,71406,prior_day_high_break,0.8888888888888888
long,6925.5,2026-02-23 14:33:00+00:00,72757,prior_day_high_break,0.8235294117647058
long,6938.25,2026-02-25 14:31:00+00:00,75515,prior_day_high_break,0.85
short,6746.5,2026-03-06 14:31:00+00:00,85175,prior_day_low_break,0.08928571428571429
short,6742.5,2026-03-06 14:32:00+00:00,85176,prior_day_low_break,0.02857142857142857
short,6739.25,2026-03-06 14:34:00+00:00,85178,prior_day_low_break,0.0
short,6728.5,2026-03-06 14:36:00+00:00,85180,prior_day_low_break,0.16883116883116883
short,6659.5,2026-03-08 22:01:00+00:00,85625,prior_day_low_break,0.014598540145985401
short,6644.75,2026-03-08 22:03:00+00:00,85627,prior_day_low_break,0.23684210526315788
long,6761.25,2026-03-09 19:21:00+00:00,86905,prior_day_high_break,0.7647058823529411
long,6770.0,2026-03-09 19:23:00+00:00,86907,prior_day_high_break,0.9069767441860465
short,6676.5,2026-03-12 20:00:00+00:00,91084,prior_day_low_break,0.2222222222222222
long,6702.25,2026-03-16 13:34:00+00:00,93458,prior_day_high_break,0.9444444444444444
long,6739.75,2026-03-17 13:31:00+00:00,94835,prior_day_high_break,0.96875
long,6741.5,2026-03-17 13:32:00+00:00,94836,prior_day_high_break,0.9047619047619048
long,6748.5,2026-03-17 13:33:00+00:00,94837,prior_day_high_break,1.0
long,6751.0,2026-03-17 13:34:00+00:00,94838,prior_day_high_break,0.9444444444444444
short,6631.25,2026-03-18 19:52:00+00:00,96595,prior_day_low_break,0.29411764705882354
short,6626.0,2026-03-18 20:01:00+00:00,96604,prior_day_low_break,0.2727272727272727
long,6521.25,2026-03-22 22:01:00+00:00,98941,vwap_reclaim,0.85
short,6518.0,2026-03-22 22:02:00+00:00,98942,prior_day_low_break,0.23404255319148937
long,6524.5,2026-03-22 22:03:00+00:00,98943,vwap_reclaim,0.9743589743589743
short,6529.25,2026-03-22 22:05:00+00:00,98945,prior_day_low_break,0.125
short,6585.75,2026-03-26 13:33:00+00:00,104013,prior_day_low_break,0.24444444444444444
short,6522.0,2026-03-26 19:55:00+00:00,104395,prior_day_low_break,0.21428571428571427
short,6523.5,2026-03-26 19:59:00+00:00,104399,prior_day_low_break,0.09090909090909091
short,6488.0,2026-03-27 13:31:00+00:00,105391,prior_day_low_break,0.03125
short,6480.25,2026-03-27 13:32:00+00:00,105392,prior_day_low_break,0.0
short,6477.0,2026-03-27 13:34:00+00:00,105394,prior_day_low_break,0.058823529411764705
short,6468.75,2026-03-27 13:36:00+00:00,105396,prior_day_low_break,0.17857142857142858
short,6401.25,2026-03-27 19:51:00+00:00,105771,prior_day_low_break,0.21739130434782608
short,6407.0,2026-03-27 20:00:00+00:00,105780,prior_day_low_break,0.02040816326530612
short,6402.0,2026-03-27 20:01:00+00:00,105781,prior_day_low_break,0.10810810810810811
long,6469.25,2026-03-30 13:32:00+00:00,106772,prior_day_high_break,0.7878787878787878
long,6532.0,2026-03-31 16:41:00+00:00,108341,prior_day_high_break,0.8024691358024691
long,6557.25,2026-03-31 16:42:00+00:00,108342,prior_day_high_break,0.9807692307692307
long,6566.25,2026-03-31 19:58:00+00:00,108538,prior_day_high_break,0.8333333333333334
long,6572.5,2026-03-31 20:01:00+00:00,108541,prior_day_high_break,0.78125
long,6587.25,2026-04-02 14:34:00+00:00,110974,opening_range_high,0.9038461538461539
long,6601.0,2026-04-02 14:36:00+00:00,110976,opening_range_high,0.8591549295774648
long,6626.5,2026-04-02 14:37:00+00:00,110977,opening_range_high,0.785234899328859
long,6623.25,2026-04-02 20:00:00+00:00,111300,opening_range_high,0.7857142857142857
short,6577.25,2026-04-05 22:01:00+00:00,112276,prior_day_low_break,0.08333333333333333
long,6583.75,2026-04-05 22:02:00+00:00,112277,vwap_reclaim,0.8333333333333334
short,6584.5,2026-04-07 14:07:00+00:00,114622,prior_day_low_break,0.045454545454545456
short,6867.5,2026-04-10 13:36:00+00:00,118731,vwap_lose,0.05
long,6835.25,2026-04-13 13:34:00+00:00,120109,prior_day_high_break,0.95
long,6849.0,2026-04-13 13:50:00+00:00,120125,prior_day_high_break,0.8518518518518519
long,6853.75,2026-04-13 13:51:00+00:00,120126,prior_day_high_break,0.7857142857142857
long,6913.75,2026-04-13 19:51:00+00:00,120486,prior_day_high_break,0.9591836734693877
long,6943.25,2026-04-14 13:32:00+00:00,121487,prior_day_high_break,0.9333333333333333
