direction,entry_price,timestamp,idx,trigger,imbalance
short,25231.75,2025-12-12 15:59:00+00:00,6539,prior_day_low_break,0.18292682926829268
long,25241.25,2025-12-14 23:01:00+00:00,6901,vwap_reclaim,0.8976377952755905
short,25317.5,2025-12-15 14:35:00+00:00,7835,vwap_lose,0.10344827586206896
short,25078.5,2025-12-15 15:25:00+00:00,7885,prior_day_low_break,0.02336448598130841
long,25658.5,2025-12-21 23:01:00+00:00,13342,prior_day_high_break,0.776
short,25647.75,2025-12-21 23:03:00+00:00,13344,vwap_lose,0.2833333333333333
long,25652.5,2025-12-21 23:05:00+00:00,13346,prior_day_high_break,0.7272727272727273
long,25792.25,2025-12-22 14:32:00+00:00,14273,prior_day_high_break,0.9142857142857143
short,25725.75,2025-12-22 14:34:00+00:00,14275,vwap_lose,0.21951219512195122
long,25873.5,2025-12-28 23:01:00+00:00,18637,vwap_reclaim,0.890625
short,25870.25,2025-12-28 23:02:00+00:00,18638,vwap_lose,0.08108108108108109
short,25827.25,2025-12-29 02:37:00+00:00,18853,prior_day_low_break,0.19718309859154928
long,25474.75,2026-01-01 23:01:00+00:00,22777,vwap_reclaim,0.7976190476190477
long,25439.5,2026-01-04 23:01:00+00:00,24157,vwap_reclaim,0.8484848484848485
long,25861.5,2026-01-07 14:42:00+00:00,27858,prior_day_high_break,0.9266666666666666
short,25906.0,2026-01-11 23:01:00+00:00,31057,vwap_lose,0.0730593607305936
short,25684.5,2026-01-14 14:32:00+00:00,34748,prior_day_low_break,0.18106995884773663
long,25779.5,2026-01-14 14:35:00+00:00,34751,vwap_reclaim,0.8
short,25747.5,2026-01-14 14:36:00+00:00,34752,prior_day_low_break,0.0056179775280898875
short,25453.75,2026-01-18 23:01:00+00:00,37957,prior_day_low_break,0.29194630872483224
short,25431.0,2026-01-18 23:02:00+00:00,37958,prior_day_low_break,0.08333333333333333
long,25454.0,2026-01-18 23:06:00+00:00,37962,vwap_reclaim,0.8692307692307693
short,25250.5,2026-01-19 14:36:00+00:00,38892,prior_day_low_break,0.13924050632911392
long,25756.75,2026-01-26 14:32:00+00:00,45548,prior_day_high_break,0.8586387434554974
long,25762.0,2026-01-26 14:34:00+00:00,45550,prior_day_high_break,0.8082191780821918
long,25785.75,2026-01-26 14:36:00+00:00,45552,prior_day_high_break,0.8875
short,25471.5,2026-02-01 23:02:00+00:00,51518,prior_day_low_break,0.034482758620689655
long,25495.25,2026-02-01 23:05:00+00:00,51521,vwap_reclaim,0.8947368421052632
long,25671.25,2026-02-02 14:36:00+00:00,52452,prior_day_high_break,0.9765258215962441
long,25701.5,2026-02-02 14:37:00+00:00,52453,prior_day_high_break,0.7415730337078652
short,24714.25,2026-02-05 14:31:00+00:00,56587,prior_day_low_break,0.2875
short,24679.75,2026-02-05 14:32:00+00:00,56588,prior_day_low_break,0.025925925925925925
short,24709.75,2026-02-05 14:34:00+00:00,56590,prior_day_low_break,0.16796875
long,25226.25,2026-02-08 23:03:00+00:00,58419,prior_day_high_break,0.9396551724137931
short,25045.25,2026-02-09 14:35:00+00:00,59351,prior_day_low_break,0.19607843137254902
long,25459.0,2026-02-11 14:31:00+00:00,62107,prior_day_high_break,0.918918918918919
long,24826.75,2026-02-15 23:01:00+00:00,65317,vwap_reclaim,0.8785046728971962
short,24737.5,2026-02-16 14:37:00+00:00,66253,prior_day_low_break,0.061855670103092786
long,25212.25,2026-02-25 14:31:00+00:00,75667,prior_day_high_break,0.8690476190476191
short,24714.5,2026-03-01 23:04:00+00:00,78880,prior_day_low_break,0.2193877551020408
long,24743.0,2026-03-01 23:05:00+00:00,78881,vwap_reclaim,0.8982300884955752
long,24934.5,2026-03-04 14:31:00+00:00,82567,prior_day_high_break,0.8241525423728814
long,24948.0,2026-03-04 14:34:00+00:00,82570,prior_day_high_break,0.8285714285714286
long,24964.5,2026-03-04 14:35:00+00:00,82571,prior_day_high_break,0.8940397350993378
short,24697.25,2026-03-06 14:34:00+00:00,85330,prior_day_low_break,0.21468926553672316
short,24651.25,2026-03-06 14:36:00+00:00,85332,prior_day_low_break,0.15064102564102563
short,24624.5,2026-03-06 14:37:00+00:00,85333,prior_day_low_break,0.28823529411764703
short,24339.75,2026-03-08 22:01:00+00:00,85777,prior_day_low_break,0.05680119581464873
short,24325.5,2026-03-08 22:02:00+00:00,85778,prior_day_low_break,0.2953216374269006
short,24267.0,2026-03-08 22:03:00+00:00,85779,prior_day_low_break,0.18688524590163935
short,24269.0,2026-03-08 22:05:00+00:00,85781,prior_day_low_break,0.0273972602739726
long,24706.5,2026-03-16 13:34:00+00:00,93610,prior_day_high_break,0.9758064516129032
long,24708.75,2026-03-16 13:36:00+00:00,93612,prior_day_high_break,0.7053571428571429
long,24840.75,2026-03-17 13:33:00+00:00,94989,prior_day_high_break,0.9739583333333334
long,24850.0,2026-03-17 13:34:00+00:00,94990,prior_day_high_break,0.9560439560439561
long,23957.5,2026-03-22 22:03:00+00:00,99113,vwap_reclaim,0.9358974358974359
short,23972.0,2026-03-22 22:05:00+00:00,99115,prior_day_low_break,0.1721311475409836
long,24493.0,2026-03-23 13:32:00+00:00,100042,prior_day_high_break,0.7156398104265402
short,23613.25,2026-03-27 13:32:00+00:00,105562,prior_day_low_break,0.02097902097902098
short,23565.0,2026-03-27 13:35:00+00:00,105565,prior_day_low_break,0.24060150375939848
short,23176.0,2026-03-29 22:01:00+00:00,106011,prior_day_low_break,0.2297872340425532
long,23192.25,2026-03-29 22:02:00+00:00,106012,vwap_reclaim,0.7029702970297029
short,23178.25,2026-03-29 22:04:00+00:00,106014,prior_day_low_break,0.12598425196850394
long,23535.0,2026-03-30 13:32:00+00:00,106942,prior_day_high_break,0.9752475247524752
long,23723.0,2026-03-31 16:41:00+00:00,108511,prior_day_high_break,0.7452830188679245
long,23817.25,2026-03-31 16:42:00+00:00,108512,prior_day_high_break,0.950354609929078
long,23822.25,2026-03-31 16:43:00+00:00,108513,prior_day_high_break,0.8322981366459627
long,24187.5,2026-04-02 14:37:00+00:00,111147,opening_range_high,0.8186274509803921
short,24036.0,2026-04-05 22:01:00+00:00,112446,prior_day_low_break,0.07142857142857142
short,24011.5,2026-04-05 22:07:00+00:00,112452,prior_day_low_break,0.24561403508771928
long,24254.5,2026-04-06 02:11:00+00:00,112696,prior_day_high_break,0.7876712328767124
long,25353.5,2026-04-10 13:32:00+00:00,118897,prior_day_high_break,0.8384615384615385
long,25357.75,2026-04-10 13:33:00+00:00,118898,prior_day_high_break,0.8765432098765432
long,25365.25,2026-04-10 13:34:00+00:00,118899,prior_day_high_break,0.7378640776699029
short,24952.25,2026-04-12 22:04:00+00:00,119349,prior_day_low_break,0.0
long,25220.5,2026-04-13 13:34:00+00:00,120279,prior_day_high_break,0.9074074074074074
long,25708.75,2026-04-14 13:32:00+00:00,121657,prior_day_high_break,0.972972972972973
long,25719.5,2026-04-14 13:34:00+00:00,121659,prior_day_high_break,0.8888888888888888
long,25743.0,2026-04-14 13:36:00+00:00,121661,prior_day_high_break,0.9098360655737705
short,26547.5,2026-04-19 22:01:00+00:00,126246,vwap_lose,0.19285714285714287
long,26568.25,2026-04-19 22:02:00+00:00,126247,vwap_reclaim,0.8646616541353384
long,26766.75,2026-04-20 13:33:00+00:00,127178,prior_day_high_break,0.7232142857142857
long,26787.0,2026-04-20 13:34:00+00:00,127179,prior_day_high_break,0.8835616438356164
long,26810.5,2026-04-20 13:35:00+00:00,127180,prior_day_high_break,0.8403361344537815
