date,sym,level,setup,direction,exit_cfg,tp,sl,entry_px,result,pnl_pts,bars_held,time_bucket
2025-06-02,ES,OR15Low,breakout,long,TP8_SL4,8,4,5911.25,SL,-4.0,13,09:30-09:45
2025-06-02,ES,OR15Low,breakout,long,TP12_SL6,12,6,5911.25,SL,-6.0,13,09:30-09:45
2025-06-02,ES,VWAP,breakout,long,TP8_SL4,8,4,5913.75,SL,-4.0,2,09:30-09:45
2025-06-02,ES,VWAP,breakout,long,TP12_SL6,12,6,5913.75,SL,-6.0,12,09:30-09:45
2025-06-02,ES,OR15High,reject,short,TP8_SL4,8,4,5912.5,SL,-4.0,1,09:30-09:45
2025-06-02,ES,OR15High,reject,short,TP12_SL6,12,6,5912.5,TP,12.0,13,09:30-09:45
2025-06-02,ES,VWAP,reject,short,TP8_SL4,8,4,5912.5,SL,-4.0,1,09:30-09:45
2025-06-02,ES,VWAP,reject,short,TP12_SL6,12,6,5912.5,TP,12.0,13,09:30-09:45
2025-06-02,ES,OR15Low,reject,short,TP8_SL4,8,4,5890.75,SL,-4.0,3,09:45-10:00
2025-06-02,ES,OR15Low,reject,short,TP12_SL6,12,6,5890.75,TP,12.0,7,09:45-10:00
2025-06-02,ES,GlobexLow,breakout,long,TP8_SL4,8,4,5879.0,TP,8.0,4,10:00-10:30
2025-06-02,ES,GlobexLow,breakout,long,TP12_SL6,12,6,5879.0,TP,12.0,5,10:00-10:30
2025-06-02,ES,GlobexHigh,reject,short,TP8_SL4,8,4,5944.0,SL,-4.0,33,14:00-close
2025-06-02,ES,GlobexHigh,reject,short,TP12_SL6,12,6,5944.0,EOD,-3.25,34,14:00-close
2025-06-03,ES,PriorRTHHigh,reject,short,TP8_SL4,8,4,5943.5,SL,-4.0,8,09:30-09:45
2025-06-03,ES,PriorRTHHigh,reject,short,TP12_SL6,12,6,5943.5,SL,-6.0,9,09:30-09:45
2025-06-03,ES,OR15High,reject,short,TP8_SL4,8,4,5943.5,SL,-4.0,8,09:30-09:45
2025-06-03,ES,OR15High,reject,short,TP12_SL6,12,6,5943.5,SL,-6.0,9,09:30-09:45
2025-06-03,ES,OR15Low,breakout,long,TP8_SL4,8,4,5943.5,TP,8.0,9,09:30-09:45
2025-06-03,ES,OR15Low,breakout,long,TP12_SL6,12,6,5943.5,TP,12.0,46,09:30-09:45
2025-06-03,ES,VWAP,reject,short,TP8_SL4,8,4,5943.5,SL,-4.0,8,09:30-09:45
2025-06-03,ES,VWAP,reject,short,TP12_SL6,12,6,5943.5,SL,-6.0,9,09:30-09:45
2025-06-03,ES,OR15Low,reject,short,TP8_SL4,8,4,5942.25,SL,-4.0,2,09:30-09:45
2025-06-03,ES,OR15Low,reject,short,TP12_SL6,12,6,5942.25,SL,-6.0,2,09:30-09:45
2025-06-03,ES,GlobexHigh,reject,short,TP8_SL4,8,4,5979.25,SL,-4.0,8,12:00-14:00
2025-06-03,ES,GlobexHigh,reject,short,TP12_SL6,12,6,5979.25,SL,-6.0,12,12:00-14:00
