date,sym,level,setup,direction,exit_cfg,tp,sl,entry_px,result,pnl_pts,bars_held,time_bucket
2025-06-02,NQ,VWAP,breakout,long,TP25_SL12,25,12,21405.0,TP,25.0,4,09:30-09:45
2025-06-02,NQ,VWAP,breakout,long,TP40_SL20,40,20,21405.0,TP,40.0,4,09:30-09:45
2025-06-02,NQ,OR15High,reject,short,TP25_SL12,25,12,21434.0,TP,25.0,1,09:30-09:45
2025-06-02,NQ,OR15High,reject,short,TP40_SL20,40,20,21434.0,TP,40.0,5,09:30-09:45
2025-06-02,NQ,VWAP,reject,short,TP25_SL12,25,12,21390.75,TP,25.0,2,09:45-10:00
2025-06-02,NQ,VWAP,reject,short,TP40_SL20,40,20,21390.75,TP,40.0,2,09:45-10:00
2025-06-02,NQ,OR15Low,breakout,long,TP25_SL12,25,12,21324.0,SL,-12.0,0,09:45-10:00
2025-06-02,NQ,OR15Low,breakout,long,TP40_SL20,40,20,21324.0,SL,-20.0,2,09:45-10:00
2025-06-02,NQ,OR15Low,reject,short,TP25_SL12,25,12,21253.25,SL,-12.0,0,10:00-10:30
2025-06-02,NQ,OR15Low,reject,short,TP40_SL20,40,20,21253.25,SL,-20.0,0,10:00-10:30
2025-06-02,NQ,GlobexHigh,reject,short,TP25_SL12,25,12,21529.0,TP,25.0,27,14:00-close
2025-06-02,NQ,GlobexHigh,reject,short,TP40_SL20,40,20,21529.0,EOD,-5.25,34,14:00-close
2025-06-03,NQ,OR15High,reject,short,TP25_SL12,25,12,21541.25,TP,25.0,6,09:30-09:45
2025-06-03,NQ,OR15High,reject,short,TP40_SL20,40,20,21541.25,SL,-20.0,9,09:30-09:45
2025-06-03,NQ,OR15Low,breakout,long,TP25_SL12,25,12,21541.25,SL,-12.0,0,09:30-09:45
2025-06-03,NQ,OR15Low,breakout,long,TP40_SL20,40,20,21541.25,SL,-20.0,1,09:30-09:45
2025-06-03,NQ,VWAP,reject,short,TP25_SL12,25,12,21541.25,TP,25.0,6,09:30-09:45
2025-06-03,NQ,VWAP,reject,short,TP40_SL20,40,20,21541.25,SL,-20.0,9,09:30-09:45
2025-06-03,NQ,PriorRTHHigh,reject,short,TP25_SL12,25,12,21547.25,TP,25.0,0,09:30-09:45
2025-06-03,NQ,PriorRTHHigh,reject,short,TP40_SL20,40,20,21547.25,SL,-20.0,8,09:30-09:45
2025-06-03,NQ,GlobexHigh,reject,short,TP25_SL12,25,12,21697.5,SL,-12.0,6,12:00-14:00
2025-06-03,NQ,GlobexHigh,reject,short,TP40_SL20,40,20,21697.5,SL,-20.0,8,12:00-14:00
2025-06-04,NQ,GlobexHigh,reject,short,TP25_SL12,25,12,21741.0,SL,-12.0,1,09:30-09:45
2025-06-04,NQ,GlobexHigh,reject,short,TP40_SL20,40,20,21741.0,SL,-20.0,3,09:30-09:45
