sym,date,gap_pct,gap_bucket,level,level_val,entry_time,entry_price,ret_eod,TP1.0_SL0.5_result,TP1.0_SL0.5_ret,TP1.5_SL0.5_result,TP1.5_SL0.5_ret,TP2.0_SL1.0_result,TP2.0_SL1.0_ret
AAPL,2026-01-26,1.424,gap_1_2,PMH,251.96,09:39,252.6348,1.102,TP,1.0,TP,1.5,EOD,1.1025
AAPL,2026-01-27,1.456,gap_1_2,PMH,259.8,09:32,260.525,-0.866,SL,-0.5,SL,-0.5,EOD,-0.8656
AAPL,2026-04-17,1.409,gap_1_2,PDH,267.16,09:31,267.454,1.021,TP,1.0,TP,1.5,EOD,1.0211
AAPL,2026-05-01,2.821,gap_2plus,PMH,282.42,09:32,283.02,-1.014,SL,-0.5,SL,-0.5,SL,-1.0
AAPL,2026-06-15,1.02,gap_1_2,PMH,294.9,09:40,295.1185,0.472,EOD,0.4715,EOD,0.4715,EOD,0.4715
ABBV,2026-03-30,1.405,gap_1_2,PMH,211.46,09:36,211.965,0.592,EOD,0.5921,EOD,0.5921,EOD,0.5921
ABBV,2026-05-15,1.096,gap_1_2,PMH,213.0,09:32,213.4682,-1.451,SL,-0.5,SL,-0.5,SL,-1.0
ABBV,2026-06-04,2.473,gap_2plus,PMH,222.39,09:32,223.245,0.75,SL,-0.5,SL,-0.5,SL,-1.0
ABBV,2026-06-05,1.089,gap_1_2,PMH,227.3121,10:07,227.32,-0.031,TP,1.0,EOD,-0.0308,EOD,-0.0308
ABBV,2026-06-12,1.219,gap_1_2,BOTH,227.43,09:32,227.674,-0.019,SL,-0.5,SL,-0.5,SL,-1.0
ABNB,2025-12-17,1.477,gap_1_2,PMH,134.69,09:31,134.76,-0.735,TP,1.0,TP,1.5,EOD,-0.7346
ABNB,2026-01-15,1.333,gap_1_2,PMH,134.75,09:36,135.3,-1.988,SL,-0.5,SL,-0.5,SL,-1.0
ABNB,2026-02-13,9.059,gap_2plus,PDH,121.48,10:30,121.76,-0.337,TP,1.0,SL,-0.5,SL,-1.0
ABNB,2026-03-23,1.361,gap_1_2,PDH,130.71,09:36,131.01,1.214,TP,1.0,TP,1.5,TP,2.0
ABNB,2026-03-31,1.609,gap_1_2,PMH,125.02,09:51,125.04,0.944,SL,-0.5,SL,-0.5,SL,-1.0
ABNB,2026-04-16,1.025,gap_1_2,PMH,138.33,09:49,138.37,-0.426,SL,-0.5,SL,-0.5,SL,-1.0
ABNB,2026-04-17,1.945,gap_1_2,BOTH,139.95,09:35,140.88,0.476,TP,1.0,TP,1.5,EOD,0.4756
ABNB,2026-04-22,2.681,gap_2plus,PDH,145.77,09:36,146.1,-1.342,SL,-0.5,SL,-0.5,SL,-1.0
