sym,date,gap_pct,gap_bucket,level,time_bucket,break_time,rvol,std_result,std_ret,ret_30m,ret_1h,ret_2h,ret_3h,retest_found,rt_result,rt_ret
AAPL,2026-01-26,1.424,gap_1_2,PMH,early,09:39,1.28,TP,1.0,0.434,0.837,0.94,0.79,1,TP,1.0
AAPL,2026-01-27,1.456,gap_1_2,PMH,early,09:32,1.1,SL,-0.5,0.342,-0.278,0.056,0.296,1,SL,-0.5
AAPL,2026-04-17,1.409,gap_1_2,PDH,early,09:31,1.54,TP,1.0,0.586,0.5,1.763,1.599,1,TP,1.0
AAPL,2026-05-01,2.821,gap_2plus,PMH,early,09:32,2.22,SL,-0.5,0.647,0.396,0.106,0.315,0,,
AAPL,2026-06-15,1.02,gap_1_2,PMH,early,09:40,0.85,EOD,0.4715,0.18,0.165,0.585,0.665,1,EOD,0.3622
ABT,2026-03-13,1.165,gap_1_2,PMH,early,09:47,1.14,SL,-0.5,-0.758,-0.455,-0.815,-0.669,1,SL,-0.5
ABT,2026-03-25,1.336,gap_1_2,PMH,early,09:37,0.69,SL,-0.5,-0.598,-0.759,-0.778,-0.456,1,SL,-0.5
ABT,2026-04-08,1.282,gap_1_2,PDH,mid,10:13,0.9,EOD,0.685,0.257,0.301,0.146,0.593,1,EOD,0.6214
ABT,2026-04-28,1.066,gap_1_2,PMH,early,09:32,0.98,SL,-0.5,0.069,-0.552,-0.52,-0.467,1,SL,-0.5
ABT,2026-05-12,1.029,gap_1_2,PMH,early,09:48,1.23,TP,1.0,-0.095,-0.125,0.311,1.065,1,SL,-0.5
ABT,2026-05-15,1.178,gap_1_2,PMH,early,09:39,0.99,SL,-0.5,-1.275,-0.838,-1.839,-1.621,0,,
ABT,2026-06-05,1.135,gap_1_2,PMH,early,09:32,1.09,TP,1.0,0.327,0.18,0.016,0.082,1,SL,-0.5
AMZN,2025-12-18,2.047,gap_2plus,PMH,early,09:32,1.1,SL,-0.5,0.382,0.734,1.119,-0.128,0,,
AMZN,2026-01-05,1.033,gap_1_2,PMH,early,09:36,1.5,TP,1.0,1.019,1.523,1.384,1.928,1,TP,1.0
AMZN,2026-01-22,1.165,gap_1_2,PDH,mid,10:12,0.88,TP,1.0,0.68,1.11,1.205,1.252,1,TP,1.0
AMZN,2026-03-23,2.182,gap_2plus,PMH,early,09:49,0.97,SL,-0.5,0.295,0.21,-0.201,-0.201,1,SL,-0.5
AMZN,2026-03-25,2.113,gap_2plus,PMH,early,09:33,0.84,SL,-0.5,-0.104,-0.113,-0.548,-0.104,1,SL,-0.5
AMZN,2026-03-30,1.079,gap_1_2,PMH,early,09:38,0.98,SL,-0.5,-0.465,-0.331,0.44,0.269,0,,
AMZN,2026-03-31,1.986,gap_1_2,PMH,early,09:34,1.12,TP,1.0,0.57,0.353,0.275,0.411,1,SL,-0.5
AMZN,2026-04-01,1.027,gap_1_2,PDH,early,09:34,1.01,SL,-0.5,-0.302,-0.017,0.781,1.178,1,SL,-0.5
AMZN,2026-04-09,1.8,gap_1_2,PMH,early,09:46,1.72,SL,-0.5,-0.199,0.507,2.263,2.197,1,SL,-0.5
AMZN,2026-04-17,2.062,gap_2plus,PMH,mid,10:33,1.11,SL,-0.5,-0.378,-0.435,-0.676,-0.599,1,SL,-0.5
AMZN,2026-04-22,1.036,gap_1_2,PMH,mid,10:02,0.79,TP,1.0,-0.008,-0.194,-0.346,0.036,1,SL,-0.5
AMZN,2026-04-24,1.905,gap_1_2,PDH,early,09:33,1.21,SL,-0.5,-0.36,0.129,0.764,0.976,1,SL,-0.5
AMZN,2026-05-05,1.48,gap_1_2,PMH,early,09:32,0.84,SL,-0.5,-0.311,-0.285,-0.43,-1.04,1,SL,-0.5
AMZN,2026-06-04,1.284,gap_1_2,PMH,early,09:57,0.93,EOD,-0.1563,-0.178,-0.213,-0.087,-0.174,1,SL,-0.5
