direction,window,tp1,runner,stop,n,wr,pf,ev,total,max_dd,worst_streak
LONG,9:30-10:00,0.60%,2.00%,0.40%,21,0.5714285714285714,2.425877369806888,0.002449891063884339,0.05144771234157112,-0.011209050770125356,3
LONG,9:30-10:00,0.50%,2.00%,0.40%,21,0.6190476190476191,2.306577297693746,0.002095027743011007,0.04399558260323115,-0.0088,3
LONG,9:30-10:00,0.60%,2.00%,0.30%,21,0.5238095238095238,2.2699578782490315,0.0019961954323353785,0.041920104079042945,-0.009209050770125356,3
LONG,9:30-11:00,0.60%,2.00%,0.40%,31,0.5806451612903226,2.230226668073514,0.0020576911588605354,0.0637884259246766,-0.011209050770125356,3
LONG,9:30-11:00,0.60%,2.00%,0.30%,31,0.5483870967741935,2.2107161131884365,0.0018203331867035059,0.05643032878780868,-0.0102,3
LONG,9:30-10:00,0.60%,1.50%,0.40%,21,0.5714285714285714,2.1487265879917086,0.0019737005876938624,0.04144771234157111,-0.011209050770125356,3
LONG,9:30-10:00,0.50%,2.00%,0.30%,21,0.5714285714285714,2.142744259500098,0.0016651416352715703,0.03496797434070298,-0.0068000000000000005,3
LONG,9:30-11:00,0.50%,2.00%,0.40%,31,0.6129032258064516,2.088879939256572,0.0017366547156882778,0.05383629618633661,-0.00935530739789534,2
LONG,9:30-11:00,0.50%,2.00%,0.30%,31,0.5806451612903226,2.062855182114677,0.0015154257757893131,0.046978199049468705,-0.0102,3
LONG,9:30-10:00,0.60%,1.50%,0.30%,21,0.5238095238095238,2.042747467012734,0.001639052575192521,0.03442010407904294,-0.009209050770125356,3
LONG,9:30-10:00,0.60%,2.00%,0.50%,21,0.5714285714285714,2.031713651039726,0.002116557730551006,0.04444771234157112,-0.013209050770125356,3
LONG,9:30-10:00,0.50%,1.50%,0.40%,21,0.6190476190476191,2.009598096514174,0.0016188372668205309,0.03399558260323115,-0.0088,3
LONG,9:30-11:00,0.60%,1.50%,0.30%,31,0.5483870967741935,1.9961655090725166,0.0014977525415422151,0.04643032878780867,-0.0102,3
LONG,9:30-11:00,0.60%,1.50%,0.40%,31,0.5806451612903226,1.9891510634006917,0.0016544653524089216,0.05128842592467657,-0.011209050770125356,3
LONG,9:30-10:00,0.40%,2.00%,0.30%,21,0.5714285714285714,1.9466658281275482,0.001379427349557285,0.028967974340702984,-0.006851586112210678,3
LONG,9:30-10:00,0.50%,2.00%,0.50%,21,0.6190476190476191,1.9095993872705253,0.0017616944096776736,0.036995582603231145,-0.011091291053708338,3
LONG,9:30-10:00,0.50%,1.50%,0.30%,21,0.5714285714285714,1.8976462202844109,0.0013079987781287135,0.027467974340702982,-0.0068000000000000005,3
LONG,9:30-10:30,0.60%,2.00%,0.40%,26,0.5384615384615384,1.8923853022722787,0.001691462883406002,0.04397803496855605,-0.011723977849682508,3
LONG,9:30-10:00,0.60%,1.00%,0.40%,21,0.5714285714285714,1.8713089495108761,0.0014970516080062652,0.03143808376813157,-0.011209050770125354,3
LONG,9:30-11:00,0.40%,2.00%,0.30%,31,0.5806451612903226,1.8705474898069847,0.0012412322274022163,0.038478199049468705,-0.0102,3
LONG,9:30-11:00,0.60%,2.00%,0.50%,31,0.5806451612903226,1.8696458625943382,0.0017351105136992446,0.05378842592467658,-0.013209050770125356,3
LONG,9:30-10:30,0.60%,2.00%,0.30%,26,0.5,1.8667264389876628,0.001440401027154918,0.03745042670602787,-0.009251586112210677,3
LONG,9:30-12:00,0.60%,2.00%,0.30%,38,0.5263157894736842,1.8409089354541122,0.0013323770733633862,0.050630328787808675,-0.013600000000000001,4
LONG,9:30-11:00,0.50%,1.50%,0.30%,31,0.5806451612903226,1.8366108382232742,0.0011928451306280228,0.03697819904946871,-0.0102,3
LONG,9:30-11:00,0.50%,1.50%,0.40%,31,0.6129032258064516,1.8360579547426827,0.0013334289092366647,0.04133629618633661,-0.00935530739789534,2
LONG,9:30-10:00,0.40%,2.00%,0.40%,21,0.6190476190476191,1.8165616157474518,0.0013093134572967219,0.027495582603231157,-0.009091291053708338,3
LONG,9:30-10:00,0.60%,1.00%,0.30%,21,0.5238095238095238,1.8152453608256607,0.0012814512145525427,0.026910475505603396,-0.009209050770125356,3
LONG,9:30-10:00,0.60%,1.50%,0.50%,21,0.5714285714285714,1.799595146692139,0.001640367254360529,0.03444771234157111,-0.013209050770125356,3
LONG,9:30-11:00,0.60%,1.00%,0.30%,31,0.5483870967741935,1.7814083233317728,0.0011748612972377137,0.03642070021436913,-0.0102,3
LONG,9:30-12:00,0.60%,2.00%,0.40%,38,0.5526315789473685,1.7773604695159084,0.0014207480506493837,0.05398842592467658,-0.01145530739789534,3
LONG,9:30-10:30,0.50%,2.00%,0.40%,26,0.5769230769230769,1.7579281515906757,0.001366380970392926,0.03552590523021607,-0.012223977849682509,3
LONG,9:30-11:00,0.60%,1.00%,0.40%,31,0.5806451612903226,1.7478897615947435,0.0012509289468140977,0.03877879735123703,-0.011209050770125356,3
LONG,9:30-10:00,0.50%,1.00%,0.40%,21,0.6190476190476191,1.740878008689085,0.001187958787536044,0.024947134538256924,-0.0088,3
LONG,9:30-11:00,0.50%,2.00%,0.50%,31,0.6129032258064516,1.7374645506768487,0.0014140740705269874,0.04383629618633661,-0.015292297974936243,2
LONG,9:30-10:30,0.50%,2.00%,0.30%,26,0.5384615384615384,1.7229974746982333,0.001134549883372612,0.02949829696768791,-0.009751586112210678,3
LONG,9:30-11:00,0.40%,2.00%,0.40%,31,0.6129032258064516,1.7045905227954605,0.001123751489881826,0.0348362961863366,-0.012292297974936243,2
LONG,9:30-10:00,0.40%,1.50%,0.30%,21,0.5714285714285714,1.7015677889118621,0.0010222844924144276,0.02146797434070298,-0.006851586112210678,3
LONG,9:30-10:30,0.60%,1.50%,0.30%,26,0.5,1.6931516932729183,0.0011519394886933796,0.02995042670602787,-0.009251586112210677,3
LONG,9:30-10:30,0.60%,1.50%,0.40%,26,0.5384615384615384,1.6894691640431998,0.0013068474987906168,0.03397803496855604,-0.011723977849682508,3
LONG,9:30-12:00,0.50%,2.00%,0.30%,38,0.5526315789473685,1.686474031997729,0.0010441631328807555,0.03967819904946871,-0.013600000000000001,4
LONG,9:30-10:00,0.50%,1.00%,0.30%,21,0.5714285714285714,1.6836446495336193,0.0009961679178918455,0.020919526275728757,-0.0068000000000000005,3
LONG,9:30-12:00,0.60%,1.50%,0.30%,38,0.5263157894736842,1.674820949144887,0.001069219178626544,0.04063032878780867,-0.013600000000000001,4
LONG,9:30-11:00,0.60%,1.50%,0.50%,31,0.5806451612903226,1.6675471193135438,0.0013318847072476313,0.04128842592467657,-0.013209050770125356,3
LONG,9:30-10:00,0.50%,1.50%,0.50%,21,0.6190476190476191,1.6637323611918273,0.0012855039334871978,0.026995582603231153,-0.011091291053708338,3
LONG,9:30-11:00,0.40%,1.50%,0.30%,31,0.5806451612903226,1.6443031459155821,0.0009186515822409261,0.02847819904946871,-0.0102,3
LONG,9:30-12:00,0.50%,2.00%,0.40%,38,0.5789473684210527,1.6344732826748019,0.0011193762154299105,0.0425362961863366,-0.013955307397895342,2
LONG,9:30-11:00,0.50%,1.00%,0.30%,31,0.5806451612903226,1.6318948186537217,0.0009009597091772416,0.02792975098449449,-0.0102,3
