symbol,date,time,entry,mfe,LONG_SCORE,bar1_rvol,bar1_body_pct,vwap_slope,is_runner
UPST,2025-01-30,14:30:00,68.54,0.82,3,14.8,0.62,0.438,0
UPST,2025-02-07,14:31:00,69.94,3.52,3,9.9,2.57,0.326,1
UPST,2025-02-12,14:30:00,84.48,5.91,3,13.4,0.97,-0.182,1
UPST,2025-02-13,14:30:00,89.63,4.65,3,15.6,0.56,0.389,1
UPST,2025-02-13,14:31:00,91.39,2.64,3,6.1,1.77,0.696,1
AFRM,2025-01-02,14:51:00,62.81,1.93,3,9.0,1.08,0.328,0
AFRM,2025-01-30,14:30:00,60.48,2.35,4,13.9,0.91,0.358,1
AFRM,2025-01-30,14:31:00,60.62,2.1,3,10.5,1.09,0.86,1
AFRM,2025-02-07,14:31:00,71.95,6.85,3,8.0,1.97,-0.284,1
AFRM,2025-02-07,14:35:00,74.96,2.56,3,4.1,1.91,1.536,1
AFRM,2025-02-07,14:36:00,75.43,1.93,3,3.9,1.12,2.296,0
PLTR,2025-01-31,14:30:00,82.77,1.74,3,17.7,0.9,0.222,0
PLTR,2025-01-31,14:31:00,83.1,1.55,3,9.7,1.31,0.716,0
PLTR,2025-03-04,14:30:00,81.91,2.55,3,14.8,1.2,0.043,1
RBLX,2025-02-06,14:30:00,62.74,4.91,3,10.4,3.71,0.791,1
RBLX,2025-02-11,14:32:00,65.35,0.84,3,8.7,1.26,0.397,0
LMND,2025-01-03,14:30:00,37.8,3.01,4,12.4,2.28,1.436,1
LMND,2025-01-07,14:30:00,39.93,0.85,4,15.9,1.59,1.069,0
LMND,2025-01-07,14:31:00,40.17,0.26,4,8.2,0.96,1.658,0
LMND,2025-01-10,14:30:00,33.26,0.11,3,15.0,1.63,0.583,0
LMND,2025-01-30,14:30:00,35.2,1.13,4,10.1,2.09,3.257,0
LMND,2025-01-31,14:31:00,34.51,0.52,3,3.5,1.08,0.358,0
LMND,2025-02-06,14:30:00,37.03,0.59,4,16.6,1.23,1.628,0
LMND,2025-02-13,14:30:00,33.55,1.88,4,13.4,1.28,0.774,0
LMND,2025-02-18,14:30:00,38.26,6.12,4,14.9,0.91,0.928,1
LMND,2025-02-27,14:30:00,32.47,3.17,4,14.1,1.36,0.908,1
LMND,2025-02-27,14:31:00,33.5,0.0,3,8.8,0.71,1.55,0
LMND,2025-02-28,15:25:00,36.87,-0.03,3,2.1,1.0,0.55,0
LMND,2025-03-07,14:30:00,34.78,2.75,3,14.6,1.41,-0.327,1
ROOT,2025-03-14,14:59:00,147.59,2.21,3,7.1,1.77,0.318,1
ROOT,2025-04-14,14:30:00,131.0,1.14,3,5.9,1.16,0.664,0
SOFI,2025-01-21,14:30:00,17.3,0.95,3,17.5,0.74,0.746,0
SOFI,2025-01-30,14:31:00,16.5,1.0,3,8.5,1.03,0.604,0
SOFI,2025-02-13,14:30:00,15.22,0.91,3,16.2,0.53,0.527,0
SOFI,2025-02-13,14:31:00,15.34,0.12,3,8.4,0.86,0.942,0
SOFI,2025-02-18,14:30:00,16.84,0.65,4,17.6,0.94,0.288,0
HOOD,2025-02-07,14:30:00,55.0,0.58,3,16.3,0.65,0.675,0
SNOW,2025-02-10,14:30:00,188.5,0.2,3,17.8,0.73,0.456,0
CRWD,2025-01-31,14:30:00,405.35,0.14,4,17.0,0.92,0.475,0
CFLT,2025-02-27,14:30:00,32.34,0.83,3,17.9,1.76,0.281,0
SHOP,2025-02-10,14:30:00,123.02,0.32,3,17.7,0.68,0.461,0
AMD,2025-01-30,14:30:00,120.15,0.24,3,18.5,0.9,0.476,0
AVGO,2025-01-13,14:30:00,224.61,2.07,4,17.3,1.64,0.891,1
ARM,2025-01-22,14:30:00,165.51,9.3,3,14.4,1.73,-0.484,1
ARM,2025-01-22,14:34:00,171.73,5.34,3,2.9,1.14,0.792,1
ARM,2025-02-05,14:31:00,165.4,0.9,3,8.1,1.3,0.328,0
SMCI,2025-01-06,14:30:00,35.68,7.9,3,16.3,0.89,0.427,1
SMCI,2025-01-06,14:38:00,38.02,1.27,3,2.0,1.73,3.208,0
SMCI,2025-01-16,14:30:00,32.46,1.09,3,16.1,0.53,0.375,0
SMCI,2025-01-16,14:31:00,32.7,0.21,3,6.9,0.97,0.697,0
SMCI,2025-01-21,14:51:00,33.41,0.06,3,2.4,1.25,1.352,0
SMCI,2025-02-07,14:31:00,35.2,5.01,3,6.6,1.19,0.465,1
SMCI,2025-02-14,14:30:00,44.46,4.52,4,17.2,2.12,0.618,1
SMCI,2025-02-18,14:35:00,53.53,2.9,3,2.6,1.31,1.601,1
SMCI,2025-02-21,14:30:00,61.54,1.44,3,14.0,0.66,0.252,0
SMCI,2025-02-21,14:31:00,61.83,0.97,3,7.0,1.52,0.467,0
SMCI,2025-03-04,14:33:00,36.37,4.04,3,3.5,2.02,0.848,1
SMCI,2025-03-04,14:34:00,37.36,1.29,3,3.7,1.42,1.234,0
MU,2025-02-10,14:30:00,94.39,0.96,3,18.1,0.72,0.625,0
