entry_bar,exit_bar,hold_bars,entry_price,exit_price,pnl_pct,exit_type,direction,slack,model,symbol
83,112,29,1.734,1.6007846080760113,-0.07682548553863246,time,long,0.7262247838617697,Balanced (+30/-15%),AAPL
90,119,29,1.734,1.4970588366289135,-0.13664426953349856,time,short,0.7677946324387697,Balanced (+30/-15%),AAPL
124,153,29,1.734,1.6557683437779824,-0.0451162953990874,time,long,0.6979472140763298,Balanced (+30/-15%),AAPL
128,157,29,1.734,1.6599327761194047,-0.04271466198419566,time,short,0.6003430531732611,Balanced (+30/-15%),AAPL
205,234,29,1.734,1.8517894798822407,0.06792934249264172,time,long,0.7162790697675572,Balanced (+30/-15%),AAPL
227,256,29,1.734,1.6987259152566079,-0.020342609425254964,time,short,0.767123287671139,Balanced (+30/-15%),AAPL
249,278,29,1.734,1.8146248441817319,0.04649644993179462,time,long,0.6893939393939039,Balanced (+30/-15%),AAPL
344,373,29,1.734,1.773373479291591,0.022706735462278527,time,long,0.6724890829694931,Balanced (+30/-15%),AAPL
359,388,29,1.734,1.8320678003103805,0.056555824861811155,time,long,0.61059190031146,Balanced (+30/-15%),AAPL
377,406,29,1.734,1.7241621301775123,-0.005673512008355068,time,long,0.6847826086959037,Balanced (+30/-15%),AAPL
380,409,29,1.734,1.6939993717058897,-0.02306841308772222,time,short,0.613402061855559,Balanced (+30/-15%),AAPL
418,447,29,1.734,1.9283460460742834,0.1120796113461842,time,long,0.6239554317547449,Balanced (+30/-15%),AAPL
453,482,29,1.734,1.7040090728476776,-0.017295805739516973,time,short,0.6494464944649443,Balanced (+30/-15%),AAPL
475,504,29,1.734,1.5252159069337121,-0.12040605136464122,time,short,0.7139442231075571,Balanced (+30/-15%),AAPL
502,531,29,1.734,1.7461122761849077,0.006985165043199385,time,short,0.766073871408979,Balanced (+30/-15%),AAPL
548,577,29,1.734,1.5439602749613353,-0.10959615054132914,time,long,0.727272727272573,Balanced (+30/-15%),AAPL
560,589,29,1.734,1.55409899379738,-0.10374913852515574,time,long,0.6817391304347431,Balanced (+30/-15%),AAPL
568,597,29,1.734,1.6524049984470466,-0.04705594091865825,time,long,0.6016528925619443,Balanced (+30/-15%),AAPL
612,641,29,1.734,1.6060007536221854,-0.07381732778420678,time,short,0.6715867158671543,Balanced (+30/-15%),AAPL
652,681,29,1.734,1.712857349981817,-0.012192993090070964,time,short,0.6242038216561393,Balanced (+30/-15%),AAPL
684,713,29,1.734,1.7146154095409536,-0.01117911791179146,time,long,0.6117647058823386,Balanced (+30/-15%),AAPL
757,786,29,1.734,1.6371519222326774,-0.05585240932371547,time,long,0.6935779816513237,Balanced (+30/-15%),AAPL
763,792,29,1.734,1.6140668626972823,-0.06916559244678068,time,long,0.639593908629402,Balanced (+30/-15%),AAPL
800,829,29,1.734,2.1521400899863967,0.2411419204073799,time,long,0.7127272727272033,Balanced (+30/-15%),AAPL
921,950,29,1.734,1.521634448669199,-0.12247148288973525,time,short,0.6274509803920233,Balanced (+30/-15%),AAPL
979,1008,29,1.734,1.7202354227494965,-0.007938049164073533,time,long,0.6491935483870988,Balanced (+30/-15%),AAPL
996,1025,29,1.734,1.6342942594553962,-0.05750042707301257,time,short,0.6652267818575345,Balanced (+30/-15%),AAPL
1007,1036,29,1.734,1.6517037342810315,-0.04746036085292303,time,long,0.7865168539323532,Balanced (+30/-15%),AAPL
1095,1124,29,1.734,1.7324576120424182,-0.0008894970920310093,time,short,0.6282051282051347,Balanced (+30/-15%),AAPL
1120,1149,29,1.734,1.6958360020502337,-0.022009226037927525,time,short,0.707865168539587,Balanced (+30/-15%),AAPL
1130,1159,29,1.734,1.7068687911975255,-0.015646602538912594,time,short,0.6302250803857649,Balanced (+30/-15%),AAPL
1187,1216,29,1.734,1.7914648989683641,0.03314008014323192,time,long,0.6268656716419075,Balanced (+30/-15%),AAPL
1297,1326,29,1.734,1.7772011409809172,0.024914152814831145,time,long,0.7125748502994611,Balanced (+30/-15%),AAPL
1323,1352,29,1.734,1.8219243836553263,0.05070610360745461,time,long,0.6678899082568518,Balanced (+30/-15%),AAPL
1356,1385,29,1.734,1.516379544169252,-0.12550199298197692,time,long,0.6526806526804703,Balanced (+30/-15%),AAPL
1368,1397,29,1.734,1.601369803032115,-0.07648800286498554,time,short,0.6060606060604286,Balanced (+30/-15%),AAPL
1493,1522,29,1.734,1.7319096986301337,-0.0012054794520567017,time,long,0.693069306930108,Balanced (+30/-15%),AAPL
1494,1523,29,1.734,1.7004838978784602,-0.019328778616804942,time,short,0.633165829145986,Balanced (+30/-15%),AAPL
1497,1526,29,1.734,1.6609251761322743,-0.042142343637673406,time,short,0.6730769230763712,Balanced (+30/-15%),AAPL
1506,1535,29,1.734,1.5884922597828268,-0.08391449839514023,time,short,0.7758186397982008,Balanced (+30/-15%),AAPL
1511,1540,29,1.734,1.60580396226415,-0.07393081761006343,time,long,0.6730769230766986,Balanced (+30/-15%),AAPL
1538,1567,29,1.734,1.646333613390665,-0.05055731638369955,time,short,0.6726726726725536,Balanced (+30/-15%),AAPL
1598,1627,29,1.734,1.7598167925238741,0.014888577003387627,time,long,0.602739726027457,Balanced (+30/-15%),AAPL
1600,1629,29,1.734,1.771421173652695,0.02158083832335354,time,short,0.7328519855594796,Balanced (+30/-15%),AAPL
1674,1703,29,1.734,1.6970118077321381,-0.021331137409378243,time,short,0.6853146853146831,Balanced (+30/-15%),AAPL
1684,1713,29,1.734,1.7293606731259616,-0.0026755056943704386,time,long,0.689119170984425,Balanced (+30/-15%),AAPL
1705,1734,29,1.734,1.6370146768060814,-0.05593155893536252,time,long,0.6780104712042081,Balanced (+30/-15%),AAPL
1707,1736,29,1.734,1.6410470498760743,-0.05360608426985333,time,short,0.6173541963014684,Balanced (+30/-15%),AAPL
1828,1857,29,1.734,1.6923802232507485,-0.024002178056085028,time,long,0.7257019438445206,Balanced (+30/-15%),AAPL
1861,1890,29,1.734,1.7908089290217015,0.03276178144273445,time,long,0.6921348314607706,Balanced (+30/-15%),AAPL
1866,1895,29,1.734,1.7212892307692307,-0.00733031674208149,time,short,0.6337448559671847,Balanced (+30/-15%),AAPL
1917,1946,29,1.734,1.7345803986665769,0.00033471664739151484,time,long,0.7424242424242379,Balanced (+30/-15%),AAPL
