entry_bar,exit_bar,hold_bars,entry_price,exit_price,pnl_pct,exit_type,direction,slack,model,symbol
83,142,59,1.734,1.468414774346794,-0.15316333659354445,time,long,0.7262247838617697,Trend (+40/-20%),AAPL
90,149,59,1.734,1.468588057034155,-0.15306340424789217,time,short,0.7677946324387697,Trend (+40/-20%),AAPL
124,183,59,1.734,1.7577866069829913,0.013717766426177213,time,long,0.6979472140763298,Trend (+40/-20%),AAPL
128,187,59,1.734,1.824642985074628,0.05227392449517185,time,short,0.6003430531732611,Trend (+40/-20%),AAPL
205,264,59,1.734,1.8660834936212014,0.07617271835132723,time,long,0.7162790697675572,Trend (+40/-20%),AAPL
227,286,59,1.734,1.8044729995804771,0.04064186827017136,time,short,0.767123287671139,Trend (+40/-20%),AAPL
249,308,59,1.734,1.9120990423559818,0.10270994368857084,time,long,0.6893939393939039,Trend (+40/-20%),AAPL
344,403,59,1.734,1.7810750411379164,0.02714823595035547,time,long,0.6724890829694931,Trend (+40/-20%),AAPL
359,418,59,1.734,1.7579897867443202,0.01383494045231844,time,long,0.61059190031146,Trend (+40/-20%),AAPL
377,436,59,1.734,1.8661171597633097,0.07619213365819477,time,long,0.6847826086959037,Trend (+40/-20%),AAPL
380,439,59,1.734,1.9275158357250959,0.11160082798448437,time,short,0.613402061855559,Trend (+40/-20%),AAPL
418,477,59,1.734,2.1461279193438894,0.23767469396994773,time,long,0.6239554317547449,Trend (+40/-20%),AAPL
453,512,59,1.734,1.8077548096026503,0.04253449227373146,time,short,0.6494464944649443,Trend (+40/-20%),AAPL
475,534,59,1.734,1.561317759007658,-0.09958606746963211,time,short,0.7139442231075571,Trend (+40/-20%),AAPL
502,561,59,1.734,1.7203765242832072,-0.007856675730561008,time,short,0.766073871408979,Trend (+40/-20%),AAPL
548,607,59,1.734,1.5135892008936274,-0.12711118748925757,time,long,0.727272727272573,Trend (+40/-20%),AAPL
560,619,59,1.734,1.5751794624396966,-0.09159200551343907,time,long,0.6817391304347431,Trend (+40/-20%),AAPL
568,627,59,1.734,1.6758624992235234,-0.03352797045932907,time,long,0.6016528925619443,Trend (+40/-20%),AAPL
612,671,59,1.734,1.6764303735299646,-0.03320047662631798,time,short,0.6715867158671543,Trend (+40/-20%),AAPL
652,711,59,1.734,1.7281604412656084,-0.0033676809310216665,time,short,0.6242038216561393,Trend (+40/-20%),AAPL
684,743,59,1.734,1.6240195222599199,-0.06342588104964252,time,long,0.6117647058823386,Trend (+40/-20%),AAPL
757,816,59,1.734,1.668531999581897,-0.037755478903173566,time,long,0.6935779816513237,Trend (+40/-20%),AAPL
763,822,59,1.734,1.7454987827056456,0.0066313625753435055,time,long,0.639593908629402,Trend (+40/-20%),AAPL
800,837,37,1.734,2.403324,0.386,tp,long,0.7127272727272033,Trend (+40/-20%),AAPL
921,980,59,1.734,1.4500987072243319,-0.16372623574144643,time,short,0.6274509803920233,Trend (+40/-20%),AAPL
979,1038,59,1.734,1.669108833806285,-0.03742281787411479,time,long,0.6491935483870988,Trend (+40/-20%),AAPL
996,1055,59,1.734,1.6308107376405099,-0.0595093785233507,time,short,0.6652267818575345,Trend (+40/-20%),AAPL
1007,1066,59,1.734,1.6598333406232941,-0.0427720065609607,time,long,0.7865168539323532,Trend (+40/-20%),AAPL
1095,1154,59,1.734,1.751642545330139,0.010174478275743358,time,short,0.6282051282051347,Trend (+40/-20%),AAPL
1120,1179,59,1.734,1.7434506406970778,0.005450196480437021,time,short,0.707865168539587,Trend (+40/-20%),AAPL
1130,1189,59,1.734,1.7486774809069023,0.00846452186095868,time,short,0.6302250803857649,Trend (+40/-20%),AAPL
1187,1246,59,1.734,1.4228853030948874,-0.1794202404297074,time,long,0.6268656716419075,Trend (+40/-20%),AAPL
1297,1356,59,1.734,1.828346964908682,0.05441001436486857,time,long,0.7125748502994611,Trend (+40/-20%),AAPL
