sym,date,gap_pct,gap_bucket,rvol,is_new,std_result,std_ret,ret_30m,ret_1h,ret_2h,ret_3h
AAPL,2026-04-17,1.409,gap_1_2,1.54,False,TP,1.0,0.586,0.5,1.763,1.599
AAPL,2026-05-01,2.821,gap_2plus,2.22,False,SL,-0.5,0.647,0.396,0.106,0.315
ACN,2026-02-26,1.284,gap_1_2,1.51,False,SL,-0.5,3.072,2.869,3.316,3.095
ACN,2026-05-14,1.523,gap_1_2,1.76,False,SL,-0.5,-0.324,-0.258,0.136,-0.152
AMZN,2026-01-05,1.033,gap_1_2,1.5,False,TP,1.0,1.019,1.523,1.384,1.928
AMZN,2026-04-09,1.8,gap_1_2,1.72,False,SL,-0.5,-0.199,0.507,2.263,2.197
APH,2026-01-12,1.085,gap_1_2,1.51,False,TP,1.0,2.625,2.8,1.484,1.442
APH,2026-01-27,1.485,gap_1_2,2.5,False,TP,1.0,1.087,2.06,2.654,2.932
APH,2026-01-29,1.558,gap_1_2,1.83,False,TP,1.0,0.025,-1.278,-0.111,-0.003
APH,2026-05-26,3.543,gap_2plus,1.54,False,TP,1.0,0.434,1.698,2.406,3.602
AXP,2026-04-17,1.317,gap_1_2,1.57,False,TP,1.0,0.872,1.518,1.789,1.86
BKNG,2026-04-08,4.399,gap_2plus,7.89,False,TP,1.0,0.852,-0.239,-0.482,-0.615
BKNG,2026-04-15,1.259,gap_1_2,2.1,False,SL,-0.5,-0.298,-0.119,0.487,0.571
BKNG,2026-04-17,2.342,gap_2plus,2.23,False,SL,-0.5,0.87,0.997,1.15,1.139
BLK,2026-04-14,2.591,gap_2plus,1.77,False,SL,-0.5,0.09,0.069,0.812,0.379
BSX,2026-02-05,2.573,gap_2plus,2.47,False,SL,-0.5,-1.61,0.35,0.74,1.337
BSX,2026-04-22,5.068,gap_2plus,2.61,False,SL,-0.5,-0.278,0.556,0.116,0.525
BSX,2026-04-23,1.079,gap_1_2,1.76,False,SL,-0.5,-0.537,-0.938,-0.635,-0.378
CAT,2026-04-30,5.325,gap_2plus,2.37,False,TP,1.0,1.651,2.175,2.658,2.59
CVX,2026-03-02,1.917,gap_1_2,1.59,False,TP,1.0,1.118,0.674,1.041,0.272
DHR,2026-06-04,2.33,gap_2plus,1.56,False,TP,1.0,0.757,0.705,1.707,1.224
