symbol,date,time,entry,mfe,mae,window,bar1_rvol,bar1_body_pct
TSLA,2025-01-27,14:30:00,400.11,1.35,-1.68,2:30-4PM,15.5,0.41
TSLA,2025-01-31,14:30:00,406.0,2.18,-1.01,2:30-4PM,15.3,0.43
AAPL,2025-01-27,14:30:00,226.62,0.48,-0.61,2:30-4PM,16.4,0.61
META,2025-01-27,14:30:00,640.1,0.13,-2.34,2:30-4PM,16.6,1.32
META,2025-02-03,14:30:00,683.62,2.03,-0.46,2:30-4PM,18.2,0.97
AMD,2025-01-30,14:30:00,120.15,0.24,-1.08,2:30-4PM,18.5,0.9
CRM,2025-01-27,14:30:00,336.2,2.29,-1.16,2:30-4PM,18.6,0.53
SHOP,2025-02-10,14:30:00,123.02,0.32,-2.28,2:30-4PM,17.7,0.68
UBER,2025-02-06,14:30:00,66.49,1.76,-0.86,2:30-4PM,18.8,0.41
COIN,2025-02-13,14:30:00,289.48,0.44,-2.41,2:30-4PM,17.1,1.44
PLTR,2025-01-31,14:30:00,82.77,1.74,-1.32,2:30-4PM,17.7,0.9
PLTR,2025-01-31,14:31:00,83.1,1.55,-1.05,2:30-4PM,9.7,1.31
PLTR,2025-03-04,14:30:00,81.91,2.55,-1.87,2:30-4PM,14.8,1.2
HOOD,2025-02-07,14:30:00,55.0,0.58,-0.96,2:30-4PM,16.3,0.65
RKLB,2025-01-06,14:33:00,29.95,0.13,-2.9,2:30-4PM,2.2,1.3
RKLB,2025-01-08,14:35:00,28.26,0.21,-5.31,2:30-4PM,2.0,0.97
RKLB,2025-01-21,14:30:00,26.55,10.25,-2.56,2:30-4PM,13.7,0.42
RKLB,2025-01-21,14:32:00,27.9,4.92,-2.56,2:30-4PM,6.1,3.04
RKLB,2025-01-21,15:26:00,30.53,3.64,-1.21,2:30-4PM,2.2,1.58
RKLB,2025-01-24,14:31:00,33.12,0.68,-3.23,2:30-4PM,7.5,1.84
RKLB,2025-01-29,14:30:00,29.58,2.27,-0.91,2:30-4PM,15.2,1.23
RKLB,2025-02-07,14:32:00,28.7,3.45,-0.84,2:30-4PM,6.7,1.4
RKLB,2025-02-07,14:44:00,29.36,1.13,-2.93,2:30-4PM,2.2,0.9
MSTR,2025-02-07,14:30:00,340.94,0.88,-2.23,2:30-4PM,13.5,0.87
MSTR,2025-02-28,14:35:00,240.84,2.1,-1.55,2:30-4PM,2.0,1.71
AMC,2025-02-11,14:30:00,3.21,3.58,-0.78,2:30-4PM,16.8,0.95
BB,2025-01-02,14:31:00,3.92,3.58,-1.53,2:30-4PM,6.1,1.17
BB,2025-01-02,14:32:00,3.94,2.92,-2.03,2:30-4PM,7.4,1.03
BB,2025-01-06,14:31:00,3.96,3.41,-1.52,2:30-4PM,5.5,2.23
BB,2025-02-26,14:31:00,5.01,1.5,-1.0,2:30-4PM,8.7,0.91
BBBY,2025-01-02,14:30:00,5.18,6.18,-2.59,2:30-4PM,12.9,0.6
BBBY,2025-01-02,14:37:00,5.24,5.53,-0.76,2:30-4PM,3.3,0.97
BBBY,2025-01-06,14:56:00,6.42,3.56,-0.89,2:30-4PM,2.1,1.27
BBBY,2025-01-21,14:30:00,6.13,3.65,-1.96,2:30-4PM,9.8,1.34
BBBY,2025-01-21,14:31:00,6.15,3.25,-2.28,2:30-4PM,5.2,1.93
BBBY,2025-01-29,14:30:00,7.73,0.26,-4.14,2:30-4PM,11.6,1.05
BBBY,2025-02-10,14:30:00,9.06,0.61,-3.94,2:30-4PM,13.1,1.57
BBBY,2025-02-14,14:30:00,8.7,0.57,-2.99,2:30-4PM,14.4,2.24
BBBY,2025-02-25,14:32:00,7.4,3.78,-7.84,2:30-4PM,3.2,1.75
BBBY,2025-02-25,14:35:00,7.63,0.65,-10.61,2:30-4PM,4.0,3.4
SPCE,2025-02-27,14:31:00,4.27,5.39,-7.26,2:30-4PM,4.4,2.44
SPCE,2025-02-27,14:34:00,4.41,2.04,-10.2,2:30-4PM,3.1,1.6
SPCE,2025-03-19,14:32:00,4.21,2.14,-2.02,2:30-4PM,2.2,1.52
TLRY,2025-03-27,15:09:00,0.72,1.05,-1.81,2:30-4PM,3.0,0.98
SNDL,2025-01-15,14:30:00,1.86,0.0,-1.88,2:30-4PM,14.1,2.76
MARA,2025-02-03,14:30:00,17.33,0.06,-2.11,2:30-4PM,16.1,1.15
MARA,2025-02-07,14:30:00,17.64,1.25,-3.29,2:30-4PM,13.6,0.52
MARA,2025-02-27,14:32:00,14.52,2.27,-9.06,2:30-4PM,4.4,2.02
MARA,2025-02-28,14:35:00,13.51,3.81,-1.7,2:30-4PM,2.7,1.3
MARA,2025-03-04,14:36:00,13.9,1.01,-2.7,2:30-4PM,2.6,1.17
RIOT,2025-01-03,14:36:00,10.76,4.0,-0.73,2:30-4PM,8.5,0.71
RIOT,2025-01-03,14:38:00,10.95,2.89,-0.91,2:30-4PM,4.0,1.11
RIOT,2025-01-17,14:33:00,14.09,0.27,-2.64,2:30-4PM,8.1,0.94
RIOT,2025-01-23,14:32:00,13.36,4.08,-1.65,2:30-4PM,5.9,1.6
RIOT,2025-01-23,14:33:00,13.48,3.12,-1.02,2:30-4PM,7.2,1.35
RIOT,2025-01-30,14:30:00,11.66,4.12,-1.11,2:30-4PM,17.4,0.73
RIOT,2025-01-30,14:32:00,11.83,2.66,-0.67,2:30-4PM,5.4,0.91
RIOT,2025-02-07,14:30:00,12.16,0.91,-2.3,2:30-4PM,16.0,0.61
RIOT,2025-02-20,14:30:00,11.81,1.69,-2.71,2:30-4PM,15.0,0.42
RIOT,2025-02-28,14:35:00,8.75,2.74,-1.26,2:30-4PM,3.3,0.94
HUT,2025-01-16,14:30:00,26.21,1.6,-1.83,2:30-4PM,16.6,1.78
HUT,2025-03-03,14:30:00,16.9,3.25,-8.08,2:30-4PM,17.3,1.64
HUT,2025-03-03,14:32:00,17.38,0.29,-10.62,2:30-4PM,4.7,1.51
HUT,2025-03-31,09:32:00,14.7,-0.07,-16.33,9:30-11AM,5.1,6.02
HUT,2025-03-31,09:57:00,14.01,0.07,-12.92,9:30-11AM,2.0,2.02
BITF,2025-01-31,14:30:00,1.52,0.01,-2.63,2:30-4PM,17.6,0.67
BITF,2025-02-27,14:31:00,1.2,0.83,-5.83,2:30-4PM,9.8,0.85
BITF,2025-02-27,14:32:00,1.21,0.01,-6.61,2:30-4PM,2.1,1.27
BITF,2025-05-07,14:31:00,1.02,0.62,-1.96,2:30-4PM,11.5,1.49
CLSK,2025-01-03,14:30:00,9.6,4.48,-1.35,2:30-4PM,17.0,0.42
CLSK,2025-02-28,14:35:00,7.59,3.03,-1.19,2:30-4PM,2.7,1.15
ARBK,2025-01-30,14:43:00,0.52,7.06,-1.81,2:30-4PM,9.6,3.47
ARBK,2025-01-30,14:49:00,0.55,1.13,-5.24,2:30-4PM,3.0,2.92
ARBK,2025-01-30,15:27:00,0.6,6.14,-14.67,2:30-4PM,4.6,4.63
ARBK,2025-01-31,14:40:00,0.53,5.66,-2.83,2:30-4PM,4.1,1.94
ARBK,2025-01-31,14:41:00,0.54,3.92,-2.93,2:30-4PM,2.8,1.28
ARBK,2025-05-16,15:16:00,0.44,2.79,-2.18,2:30-4PM,3.9,1.33
RIVN,2025-01-07,14:31:00,16.04,1.9,-3.24,2:30-4PM,9.8,0.96
RIVN,2025-02-10,14:31:00,12.84,0.16,-2.02,2:30-4PM,8.1,0.87
LCID,2025-01-23,14:31:00,2.73,0.36,-3.66,2:30-4PM,5.9,1.12
LCID,2025-02-04,14:30:00,2.86,1.92,-0.7,2:30-4PM,18.2,1.43
NIO,2025-01-27,14:30:00,4.39,0.57,-1.59,2:30-4PM,17.6,1.04
NIO,2025-02-20,14:30:00,4.47,1.12,-1.57,2:30-4PM,16.5,0.48
NIO,2025-02-26,14:43:00,4.56,3.51,-0.88,2:30-4PM,5.1,1.01
XPEV,2025-05-21,09:33:00,21.12,0.62,-1.42,9:30-11AM,2.5,1.31
LI,2025-02-21,14:31:00,28.14,0.76,-1.24,2:30-4PM,9.7,1.34
GOEV,2025-01-17,14:30:00,1.54,1.46,-5.19,2:30-4PM,9.9,0.66
GOEV,2025-01-21,14:48:00,0.51,5.65,-13.73,2:30-4PM,4.5,2.04
GOEV,2025-01-21,14:49:00,0.53,1.89,-16.32,2:30-4PM,2.8,8.88
GOEV,2025-01-24,14:36:00,0.35,29.28,-4.29,2:30-4PM,2.7,2.16
GOEV,2025-01-24,14:59:00,0.41,61.36,-9.76,2:30-4PM,7.5,2.21
GOEV,2025-01-24,15:03:00,0.43,62.11,-11.72,2:30-4PM,2.2,2.18
GOEV,2025-01-24,15:06:00,0.47,48.78,-8.51,2:30-4PM,3.9,6.86
GOEV,2025-01-24,15:15:00,0.52,55.26,-7.12,2:30-4PM,2.2,2.29
GOEV,2025-01-24,15:16:00,0.53,51.15,-8.87,2:30-4PM,2.3,6.3
GOEV,2025-01-24,15:17:00,0.57,40.99,-15.26,2:30-4PM,2.2,1.96
GOEV,2025-01-24,15:27:00,0.65,29.48,-10.74,2:30-4PM,2.4,17.28
WKHS,2025-02-04,14:55:00,0.51,2.81,-2.47,2:30-4PM,8.2,1.9
WKHS,2025-03-07,15:04:00,0.36,-0.03,-8.33,2:30-4PM,3.7,1.58
WKHS,2025-04-04,15:15:00,1.32,3.79,-4.55,2:30-4PM,5.1,2.34
WKHS,2025-05-28,14:31:00,1.01,8.76,-1.1,2:30-4PM,2.6,0.91
WKHS,2025-05-28,14:39:00,1.08,1.84,-5.56,2:30-4PM,2.3,0.91
BLNK,2025-01-03,14:31:00,1.52,1.31,-0.66,2:30-4PM,7.6,1.0
BLNK,2025-01-03,14:32:00,1.54,0.65,-1.3,2:30-4PM,8.4,0.66
BLNK,2025-01-07,14:30:00,1.76,3.41,-0.85,2:30-4PM,16.9,2.65
BLNK,2025-03-07,15:18:00,1.08,0.93,-2.78,2:30-4PM,6.2,0.94
CHPT,2025-01-07,14:32:00,1.24,4.84,-1.61,2:30-4PM,8.6,0.81
CHPT,2025-01-30,14:33:00,1.0,1.3,-2.0,2:30-4PM,3.0,1.39
CHPT,2025-02-14,14:30:00,0.81,2.44,-1.43,2:30-4PM,16.1,1.06
CHPT,2025-03-05,14:35:00,0.69,2.9,-1.41,2:30-4PM,4.3,2.07
CHPT,2025-03-07,14:34:00,0.75,4.49,-2.45,2:30-4PM,4.2,1.62
CHPT,2025-03-07,14:39:00,0.77,1.43,-2.6,2:30-4PM,5.0,1.01
CHPT,2025-03-07,15:16:00,0.79,0.48,-7.46,2:30-4PM,2.3,0.92
MRNA,2025-01-22,14:46:00,38.4,7.01,-1.25,2:30-4PM,2.9,1.2
MRNA,2025-01-23,14:30:00,39.33,0.17,-4.88,2:30-4PM,15.8,1.01
MRNA,2025-01-24,14:33:00,45.36,0.02,-7.83,2:30-4PM,3.7,1.45
MRNA,2025-05-20,15:13:00,28.66,5.72,-2.08,2:30-4PM,3.6,1.26
MRNA,2025-05-20,15:14:00,29.24,3.63,-2.43,2:30-4PM,2.5,2.12
REGN,2025-02-24,15:06:00,725.0,-0.28,-1.43,2:30-4PM,4.4,0.9
KPTI,2025-02-24,14:31:00,0.56,7.23,-7.14,2:30-4PM,4.9,1.03
JD,2025-01-02,14:30:00,34.51,0.91,-0.84,2:30-4PM,18.7,0.41
JD,2025-03-06,09:46:00,48.4,0.06,-5.21,9:30-11AM,2.2,1.29
TME,2025-02-06,14:30:00,12.13,0.08,-1.65,2:30-4PM,10.0,0.58
TME,2025-06-10,10:18:00,19.5,6.05,-2.62,9:30-11AM,6.5,1.01
TME,2025-06-10,10:22:00,20.4,0.29,-4.8,9:30-11AM,5.5,1.51
BILI,2025-02-20,10:08:00,21.2,2.97,-0.75,9:30-11AM,3.1,0.91
BILI,2025-02-20,10:10:00,21.78,0.23,-3.4,9:30-11AM,2.4,1.27
BILI,2025-02-20,14:34:00,24.14,0.62,-5.92,2:30-4PM,2.4,1.2
IQ,2025-01-17,14:33:00,1.94,2.84,-0.98,2:30-4PM,7.6,0.92
IQ,2025-01-29,14:30:00,2.3,0.01,-5.22,2:30-4PM,17.7,1.35
FUTU,2025-01-17,14:30:00,82.66,5.23,-0.63,2:30-4PM,15.6,1.67
FUTU,2025-02-11,14:32:00,106.7,1.22,-1.43,2:30-4PM,7.8,1.12
LU,2025-02-07,14:30:00,2.5,0.99,-1.0,2:30-4PM,7.9,1.43
LU,2025-02-07,14:31:00,2.51,0.62,-1.59,2:30-4PM,10.6,1.02
LU,2025-02-20,14:30:00,2.96,0.0,-1.69,2:30-4PM,8.4,0.68
LU,2025-02-25,14:30:00,3.08,0.16,-2.27,2:30-4PM,10.5,2.52
LU,2025-03-06,14:30:00,3.26,0.77,-1.95,2:30-4PM,14.6,1.73
INTC,2025-02-11,14:30:00,20.16,3.03,-0.25,2:30-4PM,18.4,1.21
INTC,2025-02-13,14:30:00,23.25,5.25,-0.65,2:30-4PM,16.7,1.49
MU,2025-02-10,14:30:00,94.39,0.96,-0.52,2:30-4PM,18.1,0.72
SOFI,2025-01-21,14:30:00,17.3,0.95,-1.33,2:30-4PM,17.5,0.74
SOFI,2025-01-30,14:31:00,16.5,1.0,-0.97,2:30-4PM,8.5,1.03
SOFI,2025-02-13,14:30:00,15.22,0.91,-1.12,2:30-4PM,16.2,0.53
SOFI,2025-02-13,14:31:00,15.34,0.12,-1.89,2:30-4PM,8.4,0.86
UPST,2025-01-30,14:30:00,68.54,0.82,-1.93,2:30-4PM,14.8,0.62
UPST,2025-02-07,14:31:00,69.94,3.52,-0.81,2:30-4PM,9.9,2.57
UPST,2025-02-12,14:30:00,84.48,5.91,-2.52,2:30-4PM,13.4,0.97
UPST,2025-02-13,14:30:00,89.63,4.65,-1.74,2:30-4PM,15.6,0.56
UPST,2025-02-13,14:31:00,91.39,2.64,-3.15,2:30-4PM,6.1,1.77
AFRM,2025-01-02,14:51:00,62.81,1.93,-0.73,2:30-4PM,9.0,1.08
AFRM,2025-01-30,14:31:00,60.62,2.1,-0.38,2:30-4PM,10.5,1.09
AFRM,2025-02-07,14:31:00,71.95,6.85,-1.25,2:30-4PM,8.0,1.97
AFRM,2025-02-07,14:35:00,74.96,2.56,-5.92,2:30-4PM,4.1,1.91
AFRM,2025-02-07,14:36:00,75.43,1.93,-6.51,2:30-4PM,3.9,1.12
LMND,2025-01-10,14:30:00,33.26,0.11,-2.92,2:30-4PM,15.0,1.63
