sym,atr_pct,avg_gap_pct,gap_days_pct,avg_volume,avg_price,beta,sector,trades,tp,sl,wr,ev,market_cap_b,verdict
ODFL,4.24,0.87,29.6,1685885,195.67,1.18,Industrials,14.0,8.0,5.0,61.5,0.7638,49.4,KEEP
EQIX,2.17,0.53,11.2,405495,950.41,0.97,Real Estate,3.0,1.0,1.0,50.0,0.5957,105.0,KEEP
APH,4.27,1.37,46.4,7792912,139.91,1.275,Technology,18.0,9.0,8.0,52.9,0.5589,195.1,KEEP
GD,2.1,0.57,10.4,925971,347.59,0.341,Industrials,8.0,3.0,3.0,50.0,0.5113,97.2,KEEP
MDT,2.48,0.43,6.4,6843846,89.72,0.597,Healthcare,2.0,1.0,1.0,50.0,0.5,103.2,KEEP
PH,2.56,0.79,20.0,540265,923.89,1.138,Industrials,8.0,4.0,4.0,50.0,0.5,115.9,KEEP
AAPL,2.62,0.5,12.0,32965790,271.8,1.086,Technology,5.0,2.0,2.0,50.0,0.4943,4353.6,KEEP
COST,2.18,0.41,7.2,1574383,976.07,0.868,Consumer Defensive,5.0,1.0,2.0,33.3,0.471,434.4,KEEP
SO,2.0,0.36,3.2,4196535,92.56,0.339,Utilities,3.0,1.0,1.0,50.0,0.4576,105.8,KEEP
IBM,6.1,0.92,29.6,5210879,264.91,0.665,Technology,13.0,4.0,6.0,40.0,0.4513,252.6,KEEP
INTU,6.08,1.28,40.8,3287736,448.65,0.964,Technology,11.0,5.0,6.0,45.5,0.4091,77.1,KEEP
RIVN,7.03,1.3,39.2,27342630,16.21,1.624,Consumer Cyclical,20.0,9.0,11.0,45.0,0.4,22.4,KEEP
PYPL,2.9,0.92,25.6,15629583,48.42,1.336,Financial Services,9.0,4.0,5.0,44.4,0.3889,37.5,KEEP
RTX,2.53,0.5,9.6,4151677,190.59,0.306,Industrials,8.0,3.0,4.0,42.9,0.379,247.3,KEEP
CPRT,3.21,0.49,10.4,6932320,35.74,1.002,Industrials,7.0,3.0,4.0,42.9,0.3571,28.1,KEEP
ROST,2.59,0.56,10.4,1792278,208.29,0.866,Consumer Cyclical,7.0,3.0,4.0,42.9,0.3571,76.0,KEEP
TMO,3.34,0.71,19.2,1791143,519.37,0.874,Healthcare,5.0,2.0,3.0,40.0,0.3,176.0,KEEP
NOW,8.21,2.23,49.6,19212423,128.56,0.927,Technology,25.0,10.0,15.0,40.0,0.3,107.4,KEEP
ILMN,4.5,0.78,24.0,1474981,135.94,1.49,Healthcare,5.0,2.0,3.0,40.0,0.3,25.3,KEEP
AMAT,5.83,1.73,56.8,5125464,367.33,1.672,Technology,33.0,13.0,20.0,39.4,0.2879,465.1,KEEP
