sym,date,gap_pct,gap_bucket,rvol,ret_2h
AAPL,2022-01-28,4.086,gap_2plus,1.84,2.3067
AAPL,2022-09-12,1.431,gap_1_2,1.54,1.6806
AAPL,2024-01-18,1.932,gap_1_2,1.62,0.5068
ABBV,2023-02-09,2.657,gap_2plus,2.17,2.1184
ABBV,2023-07-27,1.769,gap_1_2,2.68,1.3607
ABBV,2023-10-30,1.224,gap_1_2,2.45,1.7369
ABBV,2024-02-02,1.044,gap_1_2,1.71,0.8169
ABBV,2024-08-01,1.351,gap_1_2,1.55,0.8663
ABBV,2024-10-30,1.144,gap_1_2,2.71,4.1476
ABNB,2022-02-15,1.885,gap_1_2,1.61,0.722
ABNB,2022-05-04,5.207,gap_2plus,4.19,-5.0039
ABNB,2022-06-24,2.372,gap_2plus,1.86,3.6841
ABNB,2022-11-01,3.741,gap_2plus,2.25,-2.34
ABNB,2023-02-13,1.029,gap_1_2,1.51,3.1654
ABNB,2023-02-15,7.577,gap_2plus,6.18,2.2424
ABNB,2023-04-18,3.133,gap_2plus,1.54,-0.8059
ABNB,2023-09-05,6.368,gap_2plus,5.49,0.4747
ABNB,2023-11-03,2.147,gap_2plus,1.73,-0.1872
ABNB,2024-01-18,1.497,gap_1_2,1.52,0.7881
ABNB,2024-05-03,2.192,gap_2plus,1.53,0.0555
ABNB,2024-08-06,1.208,gap_1_2,2.13,0.5369
ABNB,2024-09-17,1.999,gap_1_2,1.84,1.5457
ABNB,2024-09-19,4.492,gap_2plus,2.17,1.4479
ABT,2023-01-09,1.059,gap_1_2,1.77,0.6465
ABT,2023-04-19,4.213,gap_2plus,2.73,1.3614
ABT,2023-10-18,4.175,gap_2plus,3.39,1.5319
ABT,2024-10-16,1.651,gap_1_2,1.9,-1.0593
ACN,2023-03-23,2.53,gap_2plus,2.16,4.0758
ACN,2023-09-29,1.237,gap_1_2,1.58,0.343
ACN,2023-12-20,1.205,gap_1_2,1.67,-1.3768
ACN,2024-11-06,2.967,gap_2plus,1.51,-0.0433
ACN,2024-12-19,5.071,gap_2plus,3.36,-0.527
ADSK,2022-06-23,2.377,gap_2plus,1.55,4.2276
ADSK,2023-02-27,1.22,gap_1_2,1.74,1.0271
ADSK,2023-05-26,1.604,gap_1_2,2.52,-1.3502
ADSK,2023-07-21,1.014,gap_1_2,1.68,-0.8467
ADSK,2024-06-03,8.74,gap_2plus,5.4,-2.1539
ADSK,2024-06-12,3.818,gap_2plus,1.78,2.5888
ADSK,2024-08-06,2.118,gap_2plus,1.52,0.0938
ADSK,2024-08-29,1.089,gap_1_2,2.21,1.3809
ADSK,2024-08-30,4.635,gap_2plus,3.09,-3.9568
ADSK,2024-09-03,1.451,gap_1_2,1.69,-0.0552
AMAT,2022-01-13,2.775,gap_2plus,1.83,-1.4514
AMAT,2022-01-19,1.269,gap_1_2,1.54,-6.0114
AMAT,2022-10-20,1.43,gap_1_2,1.54,3.8615
AMAT,2023-02-28,3.76,gap_2plus,2.02,-1.0493
AMAT,2023-05-25,4.554,gap_2plus,1.73,0.5632
AMAT,2024-01-18,3.453,gap_2plus,1.67,0.6356
AMAT,2024-01-19,1.387,gap_1_2,1.85,0.8631
AMAT,2024-01-24,2.577,gap_2plus,2.07,1.7075
AMAT,2024-02-09,3.085,gap_2plus,1.78,0.9831
AMAT,2024-06-05,4.011,gap_2plus,1.96,0.898
AMAT,2024-07-31,5.253,gap_2plus,1.88,0.5942
AMAT,2024-11-14,2.271,gap_2plus,1.59,-1.0122
AMD,2022-11-02,5.599,gap_2plus,1.54,-2.2945
AMD,2023-01-23,3.09,gap_2plus,1.74,4.3526
AMD,2023-02-01,4.355,gap_2plus,2.88,1.9679
AMD,2023-05-10,1.42,gap_1_2,1.62,1.9805
AMD,2023-12-07,3.368,gap_2plus,2.67,3.2179
AMD,2023-12-11,1.272,gap_1_2,2.0,0.8906
AMD,2024-01-18,3.791,gap_2plus,2.12,-2.4988
AMD,2024-01-19,1.924,gap_1_2,2.09,-0.2086
AMD,2024-01-24,2.47,gap_2plus,1.69,3.1696
AMD,2024-05-23,2.772,gap_2plus,2.03,-4.609
AMD,2024-07-10,1.643,gap_1_2,1.86,1.4796
AMD,2024-07-31,8.872,gap_2plus,2.14,-5.1194
AMZN,2022-11-10,7.888,gap_2plus,1.82,3.6954
AMZN,2023-04-21,2.226,gap_2plus,1.81,0.6531
AMZN,2023-08-04,9.41,gap_2plus,3.12,0.7409
AMZN,2023-10-27,5.457,gap_2plus,2.57,0.9537
AMZN,2024-08-01,1.225,gap_1_2,1.54,-1.4488
APH,2022-04-28,1.626,gap_1_2,1.59,0.3768
APH,2022-12-13,2.316,gap_2plus,1.87,-0.0754
APH,2023-07-27,1.016,gap_1_2,2.27,1.127
APH,2024-01-24,3.223,gap_2plus,3.66,0.8821
APH,2024-07-26,2.35,gap_2plus,1.84,1.6509
APH,2024-10-23,1.726,gap_1_2,2.23,-2.3782
APH,2024-10-24,1.523,gap_1_2,1.5,-0.117
APP,2022-05-10,4.174,gap_2plus,2.78,-14.2456
APP,2022-05-12,17.775,gap_2plus,7.6,14.7556
APP,2022-11-10,13.62,gap_2plus,4.38,6.2667
APP,2022-11-15,5.74,gap_2plus,1.71,-4.6683
APP,2022-12-13,6.966,gap_2plus,1.87,-8.3767
APP,2023-02-02,4.491,gap_2plus,2.13,-1.0939
APP,2023-05-10,2.366,gap_2plus,1.88,-0.5612
APP,2023-05-11,22.219,gap_2plus,6.24,1.0054
APP,2023-05-17,6.512,gap_2plus,1.7,0.2032
APP,2023-07-27,2.02,gap_2plus,1.78,-0.2452
APP,2023-08-04,1.734,gap_1_2,2.01,0.8861
